pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Absol,201,move,1,Sucker Punch,74.6%,,,,,,,,
Absol,201,move,2,Night Slash,52.4%,,,,,,,,
Absol,201,move,3,Close Combat,51.4%,,,,,,,,
Absol,201,move,4,Psycho Cut,43.7%,,,,,,,,
Absol,201,move,5,Protect,38.0%,,,,,,,,
Absol,201,move,6,Knock Off,24.1%,,,,,,,,
Absol,201,move,7,Swords Dance,19.9%,,,,,,,,
Absol,201,move,8,Detect,14.5%,,,,,,,,
Absol,201,move,9,Rock Slide,12.9%,,,,,,,,
Absol,201,move,10,Play Rough,11.5%,,,,,,,,
Absol,201,held_item,1,Scope Lens,37.0%,,,,,,,,
Absol,201,held_item,2,Absolite,33.5%,,,,,,,,
Absol,201,held_item,3,Focus Sash,10.5%,,,,,,,,
Absol,201,held_item,4,Choice Scarf,4.0%,,,,,,,,
Absol,201,held_item,5,Black Glasses,3.8%,,,,,,,,
Absol,201,held_item,6,Life Orb,2.9%,,,,,,,,
Absol,201,held_item,7,Lum Berry,2.2%,,,,,,,,
Absol,201,held_item,8,Leftovers,2.1%,,,,,,,,
Absol,201,held_item,9,Sitrus Berry,1.1%,,,,,,,,
Absol,201,held_item,10,Quick Claw,0.6%,,,,,,,,
Absol,201,teammate,1,Whimsicott,,,,,,,,,
Absol,201,teammate,2,Garchomp,,,,,,,,,
Absol,201,teammate,3,Raichu,,,,,,,,,
Absol,201,teammate,4,Froslass,,,,,,,,,
Absol,201,teammate,5,Corviknight,,,,,,,,,
Absol,201,teammate,6,Sinistcha,,,,,,,,,
Absol,201,teammate,7,Sylveon,,,,,,,,,
Absol,201,teammate,8,Sneasler,,,,,,,,,
Absol,201,teammate,9,Metagross,,,,,,,,,
Absol,201,teammate,10,Milotic,,,,,,,,,
Absol,201,stat_alignment,1,Adamant,64.5%,Attack,Sp. Atk,,,,,,
Absol,201,stat_alignment,2,Jolly,21.6%,Speed,Sp. Atk,,,,,,
Absol,201,stat_alignment,3,Brave,4.8%,Attack,Speed,,,,,,
Absol,201,stat_alignment,4,Naive,4.1%,Speed,Sp. Def,,,,,,
Absol,201,stat_alignment,5,Naughty,0.8%,Attack,Sp. Def,,,,,,
Absol,201,stat_alignment,6,Timid,0.8%,Speed,Attack,,,,,,
Absol,201,stat_alignment,7,Hasty,0.8%,Speed,Defense,,,,,,
Absol,201,stat_alignment,8,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Absol,201,stat_alignment,9,Impish,0.6%,Defense,Sp. Atk,,,,,,
Absol,201,stat_alignment,10,Relaxed,0.4%,Defense,Speed,,,,,,
Absol,201,stat_points,1,,55.6%,,,2,32,0,0,0,32
Absol,201,stat_points,2,,4.3%,,,0,32,0,0,2,32
Absol,201,stat_points,3,,3.4%,,,0,32,0,0,0,32
Absol,201,stat_points,4,,2.8%,,,0,32,2,0,0,32
Absol,201,stat_points,5,,2.8%,,,32,32,2,0,0,0
Absol,201,stat_points,6,,2.5%,,,0,27,0,9,0,30
Absol,201,stat_points,7,,1.9%,,,0,0,20,0,20,26
Absol,201,stat_points,8,,1.9%,,,1,32,0,0,4,29
Absol,201,stat_points,9,,1.5%,,,32,32,0,0,0,2
Absol,201,stat_points,10,,1.5%,,,32,32,1,0,1,0
Absol,201,stat_points,11,,1.4%,,,3,32,19,0,0,12
Absol,201,stat_points,12,,1.3%,,,28,32,0,0,0,6
Absol,201,ability,1,Super Luck,79.7%,,,,,,,,
Absol,201,ability,2,Justified,15.2%,,,,,,,,
Absol,201,ability,3,Pressure,5.1%,,,,,,,,
