pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aegislash Shield Forme,74,move,1,King's Shield,92.2%,,,,,,,,
Aegislash Shield Forme,74,move,2,Shadow Sneak,64.9%,,,,,,,,
Aegislash Shield Forme,74,move,3,Iron Head,62.3%,,,,,,,,
Aegislash Shield Forme,74,move,4,Poltergeist,56.6%,,,,,,,,
Aegislash Shield Forme,74,move,5,Sacred Sword,33.2%,,,,,,,,
Aegislash Shield Forme,74,move,6,Wide Guard,27.9%,,,,,,,,
Aegislash Shield Forme,74,move,7,Shadow Ball,15.7%,,,,,,,,
Aegislash Shield Forme,74,move,8,Flash Cannon,13.6%,,,,,,,,
Aegislash Shield Forme,74,move,9,Close Combat,8.5%,,,,,,,,
Aegislash Shield Forme,74,move,10,Swords Dance,1.9%,,,,,,,,
Aegislash Shield Forme,74,held_item,1,Spell Tag,25.4%,,,,,,,,
Aegislash Shield Forme,74,held_item,2,Leftovers,22.6%,,,,,,,,
Aegislash Shield Forme,74,held_item,3,Life Orb,15.5%,,,,,,,,
Aegislash Shield Forme,74,held_item,4,Focus Sash,9.9%,,,,,,,,
Aegislash Shield Forme,74,held_item,5,Sitrus Berry,7.0%,,,,,,,,
Aegislash Shield Forme,74,held_item,6,Colbur Berry,2.4%,,,,,,,,
Aegislash Shield Forme,74,held_item,7,Expert Belt,2.3%,,,,,,,,
Aegislash Shield Forme,74,held_item,8,Occa Berry,1.7%,,,,,,,,
Aegislash Shield Forme,74,held_item,9,Kasib Berry,1.6%,,,,,,,,
Aegislash Shield Forme,74,held_item,10,Quick Claw,1.5%,,,,,,,,
Aegislash Shield Forme,74,teammate,1,Garchomp,,,,,,,,,
Aegislash Shield Forme,74,teammate,2,Whimsicott,,,,,,,,,
Aegislash Shield Forme,74,teammate,3,Incineroar,,,,,,,,,
Aegislash Shield Forme,74,teammate,4,Sinistcha,,,,,,,,,
Aegislash Shield Forme,74,teammate,5,Staraptor,,,,,,,,,
Aegislash Shield Forme,74,teammate,6,Sylveon,,,,,,,,,
Aegislash Shield Forme,74,teammate,7,Charizard,,,,,,,,,
Aegislash Shield Forme,74,teammate,8,Raichu,,,,,,,,,
Aegislash Shield Forme,74,teammate,9,Farigiraf,,,,,,,,,
Aegislash Shield Forme,74,teammate,10,Sneasler,,,,,,,,,
Aegislash Shield Forme,74,stat_alignment,1,Adamant,55.0%,Attack,Sp. Atk,,,,,,
Aegislash Shield Forme,74,stat_alignment,2,Brave,19.8%,Attack,Speed,,,,,,
Aegislash Shield Forme,74,stat_alignment,3,Quiet,7.4%,Sp. Atk,Speed,,,,,,
Aegislash Shield Forme,74,stat_alignment,4,Modest,5.2%,Sp. Atk,Attack,,,,,,
Aegislash Shield Forme,74,stat_alignment,5,Impish,3.3%,Defense,Sp. Atk,,,,,,
Aegislash Shield Forme,74,stat_alignment,6,Jolly,2.1%,Speed,Sp. Atk,,,,,,
Aegislash Shield Forme,74,stat_alignment,7,Relaxed,2.0%,Defense,Speed,,,,,,
Aegislash Shield Forme,74,stat_alignment,8,Sassy,1.5%,Sp. Def,Speed,,,,,,
Aegislash Shield Forme,74,stat_alignment,9,Careful,1.3%,Sp. Def,Sp. Atk,,,,,,
Aegislash Shield Forme,74,stat_alignment,10,Naughty,0.4%,Attack,Sp. Def,,,,,,
Aegislash Shield Forme,74,stat_points,1,,14.3%,,,32,32,2,0,0,0
Aegislash Shield Forme,74,stat_points,2,,11.9%,,,32,32,0,0,2,0
Aegislash Shield Forme,74,stat_points,3,,8.0%,,,32,32,0,0,0,2
Aegislash Shield Forme,74,stat_points,4,,6.7%,,,32,32,1,0,1,0
Aegislash Shield Forme,74,stat_points,5,,6.6%,,,2,32,0,0,0,32
Aegislash Shield Forme,74,stat_points,6,,2.9%,,,32,0,0,32,2,0
Aegislash Shield Forme,74,stat_points,7,,2.8%,,,32,0,2,32,0,0
Aegislash Shield Forme,74,stat_points,8,,2.0%,,,0,32,32,0,2,0
Aegislash Shield Forme,74,stat_points,9,,1.8%,,,0,32,2,0,32,0
Aegislash Shield Forme,74,stat_points,10,,1.5%,,,2,32,32,0,0,0
Aegislash Shield Forme,74,stat_points,11,,1.3%,,,32,32,0,0,0,0
Aegislash Shield Forme,74,stat_points,12,,1.2%,,,2,32,0,0,32,0
Aegislash Shield Forme,74,ability,1,Stance Change,100.0%,,,,,,,,
