pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aerodactyl,18,move,1,Rock Slide,99.1%,,,,,,,,
Aerodactyl,18,move,2,Tailwind,93.6%,,,,,,,,
Aerodactyl,18,move,3,Dual Wingbeat,88.2%,,,,,,,,
Aerodactyl,18,move,4,Protect,42.6%,,,,,,,,
Aerodactyl,18,move,5,Wide Guard,39.5%,,,,,,,,
Aerodactyl,18,move,6,Ice Fang,23.1%,,,,,,,,
Aerodactyl,18,move,7,Taunt,2.9%,,,,,,,,
Aerodactyl,18,move,8,Earthquake,2.0%,,,,,,,,
Aerodactyl,18,move,9,Psychic Fangs,1.1%,,,,,,,,
Aerodactyl,18,move,10,Iron Head,1.1%,,,,,,,,
Aerodactyl,18,held_item,1,Aerodactylite,50.1%,,,,,,,,
Aerodactyl,18,held_item,2,Focus Sash,42.0%,,,,,,,,
Aerodactyl,18,held_item,3,King's Rock,1.2%,,,,,,,,
Aerodactyl,18,held_item,4,Sitrus Berry,1.1%,,,,,,,,
Aerodactyl,18,held_item,5,Life Orb,0.9%,,,,,,,,
Aerodactyl,18,held_item,6,Wide Lens,0.9%,,,,,,,,
Aerodactyl,18,held_item,7,Hard Stone,0.6%,,,,,,,,
Aerodactyl,18,held_item,8,Quick Claw,0.3%,,,,,,,,
Aerodactyl,18,held_item,9,Leftovers,0.3%,,,,,,,,
Aerodactyl,18,held_item,10,White Herb,0.3%,,,,,,,,
Aerodactyl,18,teammate,1,Garchomp,,,,,,,,,
Aerodactyl,18,teammate,2,Sylveon,,,,,,,,,
Aerodactyl,18,teammate,3,Kingambit,,,,,,,,,
Aerodactyl,18,teammate,4,Basculegion Male,,,,,,,,,
Aerodactyl,18,teammate,5,Charizard,,,,,,,,,
Aerodactyl,18,teammate,6,Sneasler,,,,,,,,,
Aerodactyl,18,teammate,7,Incineroar,,,,,,,,,
Aerodactyl,18,teammate,8,Metagross,,,,,,,,,
Aerodactyl,18,teammate,9,Farigiraf,,,,,,,,,
Aerodactyl,18,teammate,10,Sinistcha,,,,,,,,,
Aerodactyl,18,stat_alignment,1,Jolly,89.7%,Speed,Sp. Atk,,,,,,
Aerodactyl,18,stat_alignment,2,Adamant,7.8%,Attack,Sp. Atk,,,,,,
Aerodactyl,18,stat_alignment,3,Hasty,0.5%,Speed,Defense,,,,,,
Aerodactyl,18,stat_alignment,4,Naive,0.5%,Speed,Sp. Def,,,,,,
Aerodactyl,18,stat_alignment,5,Naughty,0.4%,Attack,Sp. Def,,,,,,
Aerodactyl,18,stat_alignment,6,Lonely,0.3%,Attack,Defense,,,,,,
Aerodactyl,18,stat_alignment,7,Impish,0.2%,Defense,Sp. Atk,,,,,,
Aerodactyl,18,stat_alignment,8,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Aerodactyl,18,stat_alignment,9,Timid,0.1%,Speed,Attack,,,,,,
Aerodactyl,18,stat_alignment,10,Brave,0.1%,Attack,Speed,,,,,,
Aerodactyl,18,stat_points,1,,50.4%,,,2,32,0,0,0,32
Aerodactyl,18,stat_points,2,,7.2%,,,0,32,2,0,0,32
Aerodactyl,18,stat_points,3,,5.9%,,,22,12,0,0,0,32
Aerodactyl,18,stat_points,4,,4.9%,,,0,32,0,0,2,32
Aerodactyl,18,stat_points,5,,3.4%,,,15,17,0,0,5,29
Aerodactyl,18,stat_points,6,,2.1%,,,0,32,0,0,0,32
Aerodactyl,18,stat_points,7,,1.7%,,,22,10,2,0,0,32
Aerodactyl,18,stat_points,8,,1.7%,,,8,15,0,0,11,32
Aerodactyl,18,stat_points,9,,1.2%,,,0,32,1,0,1,32
Aerodactyl,18,stat_points,10,,0.9%,,,12,22,0,0,0,32
Aerodactyl,18,stat_points,11,,0.7%,,,12,12,9,0,1,32
Aerodactyl,18,stat_points,12,,0.6%,,,16,32,0,0,0,18
Aerodactyl,18,ability,1,Unnerve,93.4%,,,,,,,,
Aerodactyl,18,ability,2,Pressure,3.8%,,,,,,,,
Aerodactyl,18,ability,3,Rock Head,2.9%,,,,,,,,
