pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aggron,100,move,1,Body Press,89.6%,,,,,,,,
Aggron,100,move,2,Heavy Slam,81.6%,,,,,,,,
Aggron,100,move,3,Protect,75.4%,,,,,,,,
Aggron,100,move,4,Iron Defense,70.3%,,,,,,,,
Aggron,100,move,5,Rock Slide,19.9%,,,,,,,,
Aggron,100,move,6,Iron Head,12.6%,,,,,,,,
Aggron,100,move,7,Earthquake,5.9%,,,,,,,,
Aggron,100,move,8,Stone Edge,5.8%,,,,,,,,
Aggron,100,move,9,High Horsepower,4.4%,,,,,,,,
Aggron,100,move,10,Metal Burst,3.9%,,,,,,,,
Aggron,100,held_item,1,Aggronite,91.9%,,,,,,,,
Aggron,100,held_item,2,Leftovers,1.5%,,,,,,,,
Aggron,100,held_item,3,Sitrus Berry,1.1%,,,,,,,,
Aggron,100,held_item,4,Quick Claw,0.9%,,,,,,,,
Aggron,100,held_item,5,Life Orb,0.5%,,,,,,,,
Aggron,100,held_item,6,Chople Berry,0.4%,,,,,,,,
Aggron,100,held_item,7,Lum Berry,0.4%,,,,,,,,
Aggron,100,held_item,8,Bright Powder,0.3%,,,,,,,,
Aggron,100,held_item,9,Muscle Band,0.3%,,,,,,,,
Aggron,100,held_item,10,Metal Coat,0.3%,,,,,,,,
Aggron,100,teammate,1,Sinistcha,,,,,,,,,
Aggron,100,teammate,2,Farigiraf,,,,,,,,,
Aggron,100,teammate,3,Tyranitar,,,,,,,,,
Aggron,100,teammate,4,Incineroar,,,,,,,,,
Aggron,100,teammate,5,Sylveon,,,,,,,,,
Aggron,100,teammate,6,Torkoal,,,,,,,,,
Aggron,100,teammate,7,Whimsicott,,,,,,,,,
Aggron,100,teammate,8,Garchomp,,,,,,,,,
Aggron,100,teammate,9,Sneasler,,,,,,,,,
Aggron,100,teammate,10,Basculegion Male,,,,,,,,,
Aggron,100,stat_alignment,1,Careful,26.8%,Sp. Def,Sp. Atk,,,,,,
Aggron,100,stat_alignment,2,Impish,21.3%,Defense,Sp. Atk,,,,,,
Aggron,100,stat_alignment,3,Adamant,17.1%,Attack,Sp. Atk,,,,,,
Aggron,100,stat_alignment,4,Relaxed,12.3%,Defense,Speed,,,,,,
Aggron,100,stat_alignment,5,Sassy,10.7%,Sp. Def,Speed,,,,,,
Aggron,100,stat_alignment,6,Brave,9.7%,Attack,Speed,,,,,,
Aggron,100,stat_alignment,7,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Aggron,100,stat_alignment,8,Bold,0.4%,Defense,Attack,,,,,,
Aggron,100,stat_alignment,9,Lax,0.3%,Defense,Sp. Def,,,,,,
Aggron,100,stat_alignment,10,Lonely,0.3%,Attack,Defense,,,,,,
Aggron,100,stat_points,1,,20.0%,,,32,0,2,0,32,0
Aggron,100,stat_points,2,,7.8%,,,32,0,32,0,2,0
Aggron,100,stat_points,3,,7.7%,,,32,2,0,0,32,0
Aggron,100,stat_points,4,,6.9%,,,32,32,0,0,0,2
Aggron,100,stat_points,5,,4.5%,,,32,32,0,0,2,0
Aggron,100,stat_points,6,,3.3%,,,32,2,32,0,0,0
Aggron,100,stat_points,7,,2.8%,,,2,32,32,0,0,0
Aggron,100,stat_points,8,,2.7%,,,32,0,0,0,32,0
Aggron,100,stat_points,9,,2.6%,,,32,32,2,0,0,0
Aggron,100,stat_points,10,,2.5%,,,32,4,0,0,30,0
Aggron,100,stat_points,11,,1.6%,,,2,32,0,0,32,0
Aggron,100,stat_points,12,,1.6%,,,2,0,32,0,32,0
Aggron,100,ability,1,Sturdy,63.6%,,,,,,,,
Aggron,100,ability,2,Heavy Metal,28.9%,,,,,,,,
Aggron,100,ability,3,Rock Head,7.5%,,,,,,,,
