pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alakazam,132,move,1,Protect,65.3%,,,,,,,,
Alakazam,132,move,2,Psychic,59.6%,,,,,,,,
Alakazam,132,move,3,Expanding Force,40.1%,,,,,,,,
Alakazam,132,move,4,Shadow Ball,39.0%,,,,,,,,
Alakazam,132,move,5,Dazzling Gleam,37.7%,,,,,,,,
Alakazam,132,move,6,Focus Blast,37.5%,,,,,,,,
Alakazam,132,move,7,Energy Ball,25.1%,,,,,,,,
Alakazam,132,move,8,Speed Swap,16.7%,,,,,,,,
Alakazam,132,move,9,Encore,9.0%,,,,,,,,
Alakazam,132,move,10,Taunt,8.5%,,,,,,,,
Alakazam,132,held_item,1,Alakazite,44.3%,,,,,,,,
Alakazam,132,held_item,2,Focus Sash,23.5%,,,,,,,,
Alakazam,132,held_item,3,Life Orb,17.8%,,,,,,,,
Alakazam,132,held_item,4,Choice Scarf,3.6%,,,,,,,,
Alakazam,132,held_item,5,Twisted Spoon,2.1%,,,,,,,,
Alakazam,132,held_item,6,Colbur Berry,1.8%,,,,,,,,
Alakazam,132,held_item,7,Wise Glasses,1.2%,,,,,,,,
Alakazam,132,held_item,8,Light Clay,0.7%,,,,,,,,
Alakazam,132,held_item,9,Mental Herb,0.7%,,,,,,,,
Alakazam,132,held_item,10,Quick Claw,0.6%,,,,,,,,
Alakazam,132,teammate,1,Meowstic,,,,,,,,,
Alakazam,132,teammate,2,Whimsicott,,,,,,,,,
Alakazam,132,teammate,3,Sneasler,,,,,,,,,
Alakazam,132,teammate,4,Garchomp,,,,,,,,,
Alakazam,132,teammate,5,Sinistcha,,,,,,,,,
Alakazam,132,teammate,6,Basculegion Male,,,,,,,,,
Alakazam,132,teammate,7,Incineroar,,,,,,,,,
Alakazam,132,teammate,8,Farigiraf,,,,,,,,,
Alakazam,132,teammate,9,Kingambit,,,,,,,,,
Alakazam,132,teammate,10,Raichu,,,,,,,,,
Alakazam,132,stat_alignment,1,Timid,67.9%,Speed,Attack,,,,,,
Alakazam,132,stat_alignment,2,Modest,25.5%,Sp. Atk,Attack,,,,,,
Alakazam,132,stat_alignment,3,Hasty,1.6%,Speed,Defense,,,,,,
Alakazam,132,stat_alignment,4,Mild,1.4%,Sp. Atk,Defense,,,,,,
Alakazam,132,stat_alignment,5,Relaxed,0.7%,Defense,Speed,,,,,,
Alakazam,132,stat_alignment,6,Calm,0.6%,Sp. Def,Attack,,,,,,
Alakazam,132,stat_alignment,7,Bold,0.6%,Defense,Attack,,,,,,
Alakazam,132,stat_alignment,8,Naive,0.5%,Speed,Sp. Def,,,,,,
Alakazam,132,stat_alignment,9,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Alakazam,132,stat_alignment,10,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Alakazam,132,stat_points,1,,44.3%,,,2,0,0,32,0,32
Alakazam,132,stat_points,2,,17.1%,,,0,0,0,32,2,32
Alakazam,132,stat_points,3,,10.0%,,,0,0,2,32,0,32
Alakazam,132,stat_points,4,,5.9%,,,0,0,0,32,0,32
Alakazam,132,stat_points,5,,1.5%,,,1,0,0,32,1,32
Alakazam,132,stat_points,6,,1.2%,,,0,0,1,32,1,32
Alakazam,132,stat_points,7,,0.9%,,,1,0,1,32,0,32
Alakazam,132,stat_points,8,,0.9%,,,32,0,2,0,0,32
Alakazam,132,stat_points,9,,0.8%,,,2,0,32,32,0,0
Alakazam,132,stat_points,10,,0.7%,,,0,0,0,32,1,32
Alakazam,132,stat_points,11,,0.7%,,,32,0,0,32,0,2
Alakazam,132,ability,1,Inner Focus,56.6%,,,,,,,,
Alakazam,132,ability,2,Magic Guard,36.0%,,,,,,,,
Alakazam,132,ability,3,Synchronize,7.4%,,,,,,,,
