pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Alolan Raichu,199,move,1,Fake Out,54.0%,,,,,,,,
Alolan Raichu,199,move,2,Psychic,50.5%,,,,,,,,
Alolan Raichu,199,move,3,Thunderbolt,44.6%,,,,,,,,
Alolan Raichu,199,move,4,Protect,37.9%,,,,,,,,
Alolan Raichu,199,move,5,Discharge,22.8%,,,,,,,,
Alolan Raichu,199,move,6,Volt Switch,19.5%,,,,,,,,
Alolan Raichu,199,move,7,Skill Swap,14.5%,,,,,,,,
Alolan Raichu,199,move,8,Dazzling Gleam,13.3%,,,,,,,,
Alolan Raichu,199,move,9,Electric Terrain,12.5%,,,,,,,,
Alolan Raichu,199,move,10,Rising Voltage,12.2%,,,,,,,,
Alolan Raichu,199,held_item,1,Focus Sash,50.3%,,,,,,,,
Alolan Raichu,199,held_item,2,Life Orb,10.2%,,,,,,,,
Alolan Raichu,199,held_item,3,Choice Scarf,9.4%,,,,,,,,
Alolan Raichu,199,held_item,4,Magnet,5.9%,,,,,,,,
Alolan Raichu,199,held_item,5,Sitrus Berry,3.2%,,,,,,,,
Alolan Raichu,199,held_item,6,Bright Powder,2.3%,,,,,,,,
Alolan Raichu,199,held_item,7,King's Rock,2.2%,,,,,,,,
Alolan Raichu,199,held_item,8,Twisted Spoon,2.2%,,,,,,,,
Alolan Raichu,199,held_item,9,Shell Bell,2.1%,,,,,,,,
Alolan Raichu,199,held_item,10,Wise Glasses,1.9%,,,,,,,,
Alolan Raichu,199,teammate,1,Sceptile,,,,,,,,,
Alolan Raichu,199,teammate,2,Charizard,,,,,,,,,
Alolan Raichu,199,teammate,3,Pelipper,,,,,,,,,
Alolan Raichu,199,teammate,4,Archaludon,,,,,,,,,
Alolan Raichu,199,teammate,5,Metagross,,,,,,,,,
Alolan Raichu,199,teammate,6,Garchomp,,,,,,,,,
Alolan Raichu,199,teammate,7,Sinistcha,,,,,,,,,
Alolan Raichu,199,teammate,8,Incineroar,,,,,,,,,
Alolan Raichu,199,teammate,9,Whimsicott,,,,,,,,,
Alolan Raichu,199,teammate,10,Meowstic,,,,,,,,,
Alolan Raichu,199,stat_alignment,1,Timid,51.4%,Speed,Attack,,,,,,
Alolan Raichu,199,stat_alignment,2,Modest,37.3%,Sp. Atk,Attack,,,,,,
Alolan Raichu,199,stat_alignment,3,Jolly,3.1%,Speed,Sp. Atk,,,,,,
Alolan Raichu,199,stat_alignment,4,Hasty,2.4%,Speed,Defense,,,,,,
Alolan Raichu,199,stat_alignment,5,Mild,1.3%,Sp. Atk,Defense,,,,,,
Alolan Raichu,199,stat_alignment,6,Quiet,0.7%,Sp. Atk,Speed,,,,,,
Alolan Raichu,199,stat_alignment,7,Naive,0.6%,Speed,Sp. Def,,,,,,
Alolan Raichu,199,stat_alignment,8,Calm,0.6%,Sp. Def,Attack,,,,,,
Alolan Raichu,199,stat_alignment,9,Bold,0.4%,Defense,Attack,,,,,,
Alolan Raichu,199,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Alolan Raichu,199,stat_points,1,,40.9%,,,2,0,0,32,0,32
Alolan Raichu,199,stat_points,2,,15.2%,,,0,0,0,32,2,32
Alolan Raichu,199,stat_points,3,,8.7%,,,0,0,0,32,0,32
Alolan Raichu,199,stat_points,4,,7.1%,,,0,0,2,32,0,32
Alolan Raichu,199,stat_points,5,,4.7%,,,2,0,32,0,0,32
Alolan Raichu,199,stat_points,6,,2.0%,,,32,0,0,32,0,2
Alolan Raichu,199,stat_points,7,,1.7%,,,15,0,0,32,0,19
Alolan Raichu,199,stat_points,8,,1.6%,,,0,0,1,32,1,32
Alolan Raichu,199,stat_points,9,,1.5%,,,1,0,0,32,0,32
Alolan Raichu,199,stat_points,10,,1.2%,,,0,2,0,32,0,32
Alolan Raichu,199,stat_points,11,,1.0%,,,23,0,0,0,11,32
Alolan Raichu,199,stat_points,12,,1.0%,,,2,0,0,32,32,0
Alolan Raichu,199,ability,1,Surge Surfer,100.0%,,,,,,,,
