pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Altaria,135,move,1,Protect,65.8%,,,,,,,,
Altaria,135,move,2,Hyper Voice,53.1%,,,,,,,,
Altaria,135,move,3,Tailwind,50.2%,,,,,,,,
Altaria,135,move,4,Roost,34.3%,,,,,,,,
Altaria,135,move,5,Will-O-Wisp,25.9%,,,,,,,,
Altaria,135,move,6,Cotton Guard,18.0%,,,,,,,,
Altaria,135,move,7,Draco Meteor,17.9%,,,,,,,,
Altaria,135,move,8,Brave Bird,15.1%,,,,,,,,
Altaria,135,move,9,Dragon Pulse,14.7%,,,,,,,,
Altaria,135,move,10,Helping Hand,13.0%,,,,,,,,
Altaria,135,held_item,1,Altarianite,58.2%,,,,,,,,
Altaria,135,held_item,2,Sitrus Berry,10.7%,,,,,,,,
Altaria,135,held_item,3,Leftovers,9.3%,,,,,,,,
Altaria,135,held_item,4,Yache Berry,5.4%,,,,,,,,
Altaria,135,held_item,5,Roseli Berry,3.1%,,,,,,,,
Altaria,135,held_item,6,Haban Berry,2.8%,,,,,,,,
Altaria,135,held_item,7,Bright Powder,2.5%,,,,,,,,
Altaria,135,held_item,8,Focus Sash,2.2%,,,,,,,,
Altaria,135,held_item,9,Wide Lens,0.9%,,,,,,,,
Altaria,135,held_item,10,Quick Claw,0.8%,,,,,,,,
Altaria,135,teammate,1,Incineroar,,,,,,,,,
Altaria,135,teammate,2,Kingambit,,,,,,,,,
Altaria,135,teammate,3,Sinistcha,,,,,,,,,
Altaria,135,teammate,4,Garchomp,,,,,,,,,
Altaria,135,teammate,5,Milotic,,,,,,,,,
Altaria,135,teammate,6,Raichu,,,,,,,,,
Altaria,135,teammate,7,Sneasler,,,,,,,,,
Altaria,135,teammate,8,Basculegion Male,,,,,,,,,
Altaria,135,teammate,9,Whimsicott,,,,,,,,,
Altaria,135,teammate,10,Metagross,,,,,,,,,
Altaria,135,stat_alignment,1,Modest,39.8%,Sp. Atk,Attack,,,,,,
Altaria,135,stat_alignment,2,Calm,11.7%,Sp. Def,Attack,,,,,,
Altaria,135,stat_alignment,3,Timid,10.1%,Speed,Attack,,,,,,
Altaria,135,stat_alignment,4,Bold,9.1%,Defense,Attack,,,,,,
Altaria,135,stat_alignment,5,Impish,7.6%,Defense,Sp. Atk,,,,,,
Altaria,135,stat_alignment,6,Careful,5.6%,Sp. Def,Sp. Atk,,,,,,
Altaria,135,stat_alignment,7,Jolly,4.5%,Speed,Sp. Atk,,,,,,
Altaria,135,stat_alignment,8,Quiet,3.9%,Sp. Atk,Speed,,,,,,
Altaria,135,stat_alignment,9,Adamant,3.6%,Attack,Sp. Atk,,,,,,
Altaria,135,stat_alignment,10,Sassy,1.5%,Sp. Def,Speed,,,,,,
Altaria,135,stat_points,1,,10.4%,,,32,0,0,32,0,2
Altaria,135,stat_points,2,,6.2%,,,32,0,2,32,0,0
Altaria,135,stat_points,3,,4.5%,,,2,0,0,32,0,32
Altaria,135,stat_points,4,,4.4%,,,32,0,0,32,2,0
Altaria,135,stat_points,5,,4.1%,,,32,0,2,0,32,0
Altaria,135,stat_points,6,,2.0%,,,32,0,1,0,1,32
Altaria,135,stat_points,7,,1.9%,,,32,0,19,0,15,0
Altaria,135,stat_points,8,,1.9%,,,2,0,0,32,32,0
Altaria,135,stat_points,9,,1.8%,,,32,23,1,0,1,9
Altaria,135,stat_points,10,,1.6%,,,32,0,2,0,0,32
Altaria,135,stat_points,11,,1.4%,,,32,0,29,0,5,0
Altaria,135,stat_points,12,,1.3%,,,32,0,9,0,25,0
Altaria,135,ability,1,Cloud Nine,95.1%,,,,,,,,
Altaria,135,ability,2,Natural Cure,4.9%,,,,,,,,
