pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ampharos,113,move,1,Dragon Pulse,91.3%,,,,,,,,
Ampharos,113,move,2,Protect,86.2%,,,,,,,,
Ampharos,113,move,3,Thunderbolt,81.3%,,,,,,,,
Ampharos,113,move,4,Focus Blast,37.1%,,,,,,,,
Ampharos,113,move,5,Cotton Guard,26.7%,,,,,,,,
Ampharos,113,move,6,Parabolic Charge,18.2%,,,,,,,,
Ampharos,113,move,7,Power Gem,15.0%,,,,,,,,
Ampharos,113,move,8,Dazzling Gleam,10.8%,,,,,,,,
Ampharos,113,move,9,Volt Switch,7.1%,,,,,,,,
Ampharos,113,move,10,Thunder,6.1%,,,,,,,,
Ampharos,113,held_item,1,Ampharosite,90.1%,,,,,,,,
Ampharos,113,held_item,2,Magnet,2.8%,,,,,,,,
Ampharos,113,held_item,3,Life Orb,1.2%,,,,,,,,
Ampharos,113,held_item,4,Leftovers,1.1%,,,,,,,,
Ampharos,113,held_item,5,Shuca Berry,1.1%,,,,,,,,
Ampharos,113,held_item,6,Quick Claw,0.8%,,,,,,,,
Ampharos,113,held_item,7,Sitrus Berry,0.6%,,,,,,,,
Ampharos,113,held_item,8,Big Root,0.4%,,,,,,,,
Ampharos,113,held_item,9,Wide Lens,0.4%,,,,,,,,
Ampharos,113,held_item,10,Choice Scarf,0.4%,,,,,,,,
Ampharos,113,teammate,1,Farigiraf,,,,,,,,,
Ampharos,113,teammate,2,Incineroar,,,,,,,,,
Ampharos,113,teammate,3,Mawile,,,,,,,,,
Ampharos,113,teammate,4,Staraptor,,,,,,,,,
Ampharos,113,teammate,5,Basculegion Male,,,,,,,,,
Ampharos,113,teammate,6,Torkoal,,,,,,,,,
Ampharos,113,teammate,7,Sinistcha,,,,,,,,,
Ampharos,113,teammate,8,Kingambit,,,,,,,,,
Ampharos,113,teammate,9,Sneasler,,,,,,,,,
Ampharos,113,teammate,10,Sylveon,,,,,,,,,
Ampharos,113,stat_alignment,1,Quiet,75.4%,Sp. Atk,Speed,,,,,,
Ampharos,113,stat_alignment,2,Modest,18.5%,Sp. Atk,Attack,,,,,,
Ampharos,113,stat_alignment,3,Sassy,1.3%,Sp. Def,Speed,,,,,,
Ampharos,113,stat_alignment,4,Bold,1.2%,Defense,Attack,,,,,,
Ampharos,113,stat_alignment,5,Calm,1.1%,Sp. Def,Attack,,,,,,
Ampharos,113,stat_alignment,6,Timid,0.9%,Speed,Attack,,,,,,
Ampharos,113,stat_alignment,7,Relaxed,0.7%,Defense,Speed,,,,,,
Ampharos,113,stat_alignment,8,Mild,0.4%,Sp. Atk,Defense,,,,,,
Ampharos,113,stat_alignment,9,Adamant,0.2%,Attack,Sp. Atk,,,,,,
Ampharos,113,stat_alignment,10,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Ampharos,113,stat_points,1,,50.1%,,,32,0,2,32,0,0
Ampharos,113,stat_points,2,,13.3%,,,32,0,0,32,2,0
Ampharos,113,stat_points,3,,5.2%,,,32,0,0,25,9,0
Ampharos,113,stat_points,4,,1.6%,,,32,0,0,32,0,0
Ampharos,113,stat_points,5,,1.5%,,,0,0,2,32,32,0
Ampharos,113,stat_points,6,,1.2%,,,0,0,32,32,2,0
Ampharos,113,stat_points,7,,1.2%,,,2,0,0,32,32,0
Ampharos,113,stat_points,8,,1.0%,,,32,0,1,32,0,0
Ampharos,113,stat_points,9,,1.0%,,,32,0,1,32,1,0
Ampharos,113,stat_points,10,,0.9%,,,32,0,0,32,0,2
Ampharos,113,stat_points,11,,0.8%,,,31,0,17,5,12,1
Ampharos,113,stat_points,12,,0.8%,,,2,0,32,32,0,0
Ampharos,113,ability,1,Static,95.2%,,,,,,,,
Ampharos,113,ability,2,Plus,4.8%,,,,,,,,
