pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Annihilape,33,move,1,Rage Fist,93.5%,,,,,,,,
Annihilape,33,move,2,Protect,73.8%,,,,,,,,
Annihilape,33,move,3,Drain Punch,73.4%,,,,,,,,
Annihilape,33,move,4,Bulk Up,35.7%,,,,,,,,
Annihilape,33,move,5,Close Combat,25.0%,,,,,,,,
Annihilape,33,move,6,Taunt,10.3%,,,,,,,,
Annihilape,33,move,7,Coaching,9.2%,,,,,,,,
Annihilape,33,move,8,U-turn,8.6%,,,,,,,,
Annihilape,33,move,9,Ice Punch,8.1%,,,,,,,,
Annihilape,33,move,10,Rock Slide,7.8%,,,,,,,,
Annihilape,33,held_item,1,Leftovers,40.6%,,,,,,,,
Annihilape,33,held_item,2,Sitrus Berry,20.1%,,,,,,,,
Annihilape,33,held_item,3,Choice Scarf,11.3%,,,,,,,,
Annihilape,33,held_item,4,Focus Sash,6.6%,,,,,,,,
Annihilape,33,held_item,5,Life Orb,5.9%,,,,,,,,
Annihilape,33,held_item,6,Spell Tag,2.4%,,,,,,,,
Annihilape,33,held_item,7,Roseli Berry,2.2%,,,,,,,,
Annihilape,33,held_item,8,Lum Berry,2.0%,,,,,,,,
Annihilape,33,held_item,9,Expert Belt,1.2%,,,,,,,,
Annihilape,33,held_item,10,Muscle Band,1.0%,,,,,,,,
Annihilape,33,teammate,1,Sinistcha,,,,,,,,,
Annihilape,33,teammate,2,Maushold Family of Four,,,,,,,,,
Annihilape,33,teammate,3,Whimsicott,,,,,,,,,
Annihilape,33,teammate,4,Garchomp,,,,,,,,,
Annihilape,33,teammate,5,Metagross,,,,,,,,,
Annihilape,33,teammate,6,Incineroar,,,,,,,,,
Annihilape,33,teammate,7,Grimmsnarl,,,,,,,,,
Annihilape,33,teammate,8,Pelipper,,,,,,,,,
Annihilape,33,teammate,9,Charizard,,,,,,,,,
Annihilape,33,teammate,10,Raichu,,,,,,,,,
Annihilape,33,stat_alignment,1,Adamant,55.0%,Attack,Sp. Atk,,,,,,
Annihilape,33,stat_alignment,2,Jolly,29.2%,Speed,Sp. Atk,,,,,,
Annihilape,33,stat_alignment,3,Careful,8.1%,Sp. Def,Sp. Atk,,,,,,
Annihilape,33,stat_alignment,4,Brave,3.3%,Attack,Speed,,,,,,
Annihilape,33,stat_alignment,5,Impish,2.1%,Defense,Sp. Atk,,,,,,
Annihilape,33,stat_alignment,6,Naughty,0.4%,Attack,Sp. Def,,,,,,
Annihilape,33,stat_alignment,7,Lonely,0.3%,Attack,Defense,,,,,,
Annihilape,33,stat_alignment,8,Sassy,0.2%,Sp. Def,Speed,,,,,,
Annihilape,33,stat_alignment,9,Relaxed,0.2%,Defense,Speed,,,,,,
Annihilape,33,stat_alignment,10,Naive,0.1%,Speed,Sp. Def,,,,,,
Annihilape,33,stat_points,1,,17.0%,,,2,32,0,0,0,32
Annihilape,33,stat_points,2,,6.5%,,,32,32,2,0,0,0
Annihilape,33,stat_points,3,,6.2%,,,32,32,0,0,0,2
Annihilape,33,stat_points,4,,3.4%,,,32,32,0,0,2,0
Annihilape,33,stat_points,5,,2.2%,,,0,32,2,0,0,32
Annihilape,33,stat_points,6,,1.7%,,,0,32,0,0,2,32
Annihilape,33,stat_points,7,,1.6%,,,32,2,0,0,0,32
Annihilape,33,stat_points,8,,1.2%,,,32,0,2,0,32,0
Annihilape,33,stat_points,9,,1.1%,,,32,7,18,0,8,1
Annihilape,33,stat_points,10,,0.9%,,,19,15,0,0,0,32
Annihilape,33,stat_points,11,,0.9%,,,0,32,0,0,0,32
Annihilape,33,ability,1,Defiant,97.0%,,,,,,,,
Annihilape,33,ability,2,Inner Focus,2.0%,,,,,,,,
Annihilape,33,ability,3,Vital Spirit,1.0%,,,,,,,,
