pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Appletun,207,move,1,Apple Acid,86.6%,,,,,,,,
Appletun,207,move,2,Protect,58.5%,,,,,,,,
Appletun,207,move,3,Dragon Pulse,43.7%,,,,,,,,
Appletun,207,move,4,Draco Meteor,40.5%,,,,,,,,
Appletun,207,move,5,Leech Seed,39.0%,,,,,,,,
Appletun,207,move,6,Giga Drain,20.3%,,,,,,,,
Appletun,207,move,7,Recover,16.8%,,,,,,,,
Appletun,207,move,8,Sucker Punch,12.8%,,,,,,,,
Appletun,207,move,9,Body Press,8.9%,,,,,,,,
Appletun,207,move,10,Recycle,8.4%,,,,,,,,
Appletun,207,held_item,1,Leftovers,36.1%,,,,,,,,
Appletun,207,held_item,2,Sitrus Berry,26.5%,,,,,,,,
Appletun,207,held_item,3,White Herb,8.0%,,,,,,,,
Appletun,207,held_item,4,Life Orb,6.5%,,,,,,,,
Appletun,207,held_item,5,Big Root,5.3%,,,,,,,,
Appletun,207,held_item,6,Yache Berry,5.1%,,,,,,,,
Appletun,207,held_item,7,Miracle Seed,3.5%,,,,,,,,
Appletun,207,held_item,8,Focus Sash,3.3%,,,,,,,,
Appletun,207,held_item,9,Roseli Berry,1.0%,,,,,,,,
Appletun,207,held_item,10,Shell Bell,0.7%,,,,,,,,
Appletun,207,teammate,1,Farigiraf,,,,,,,,,
Appletun,207,teammate,2,Torkoal,,,,,,,,,
Appletun,207,teammate,3,Incineroar,,,,,,,,,
Appletun,207,teammate,4,Kingambit,,,,,,,,,
Appletun,207,teammate,5,Raichu,,,,,,,,,
Appletun,207,teammate,6,Hatterene,,,,,,,,,
Appletun,207,teammate,7,Mawile,,,,,,,,,
Appletun,207,teammate,8,Swampert,,,,,,,,,
Appletun,207,teammate,9,Sylveon,,,,,,,,,
Appletun,207,teammate,10,Sinistcha,,,,,,,,,
Appletun,207,stat_alignment,1,Quiet,41.1%,Sp. Atk,Speed,,,,,,
Appletun,207,stat_alignment,2,Modest,17.2%,Sp. Atk,Attack,,,,,,
Appletun,207,stat_alignment,3,Sassy,14.6%,Sp. Def,Speed,,,,,,
Appletun,207,stat_alignment,4,Bold,11.1%,Defense,Attack,,,,,,
Appletun,207,stat_alignment,5,Calm,6.8%,Sp. Def,Attack,,,,,,
Appletun,207,stat_alignment,6,Relaxed,6.3%,Defense,Speed,,,,,,
Appletun,207,stat_alignment,7,Adamant,1.3%,Attack,Sp. Atk,,,,,,
Appletun,207,stat_alignment,8,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Appletun,207,stat_alignment,9,Impish,0.6%,Defense,Sp. Atk,,,,,,
Appletun,207,stat_alignment,10,Brave,0.2%,Attack,Speed,,,,,,
Appletun,207,stat_points,1,,20.7%,,,32,0,0,32,2,0
Appletun,207,stat_points,2,,8.1%,,,32,0,2,32,0,0
Appletun,207,stat_points,3,,4.9%,,,31,0,15,0,20,0
Appletun,207,stat_points,4,,3.9%,,,2,0,0,32,32,0
Appletun,207,stat_points,5,,3.6%,,,0,0,19,32,15,0
Appletun,207,stat_points,6,,3.5%,,,32,0,32,0,2,0
Appletun,207,stat_points,7,,3.3%,,,32,0,2,0,32,0
Appletun,207,stat_points,8,,3.1%,,,0,0,32,32,2,0
Appletun,207,stat_points,9,,2.7%,,,30,0,0,16,20,0
Appletun,207,stat_points,10,,2.1%,,,32,0,1,32,1,0
Appletun,207,ability,1,Thick Fat,83.2%,,,,,,,,
Appletun,207,ability,2,Ripen,11.8%,,,,,,,,
Appletun,207,ability,3,Gluttony,5.0%,,,,,,,,
