pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Araquanid,95,move,1,Liquidation,87.0%,,,,,,,,
Araquanid,95,move,2,Wide Guard,80.2%,,,,,,,,
Araquanid,95,move,3,Protect,63.5%,,,,,,,,
Araquanid,95,move,4,Leech Life,54.1%,,,,,,,,
Araquanid,95,move,5,Lunge,12.0%,,,,,,,,
Araquanid,95,move,6,Surf,9.5%,,,,,,,,
Araquanid,95,move,7,Mirror Coat,9.0%,,,,,,,,
Araquanid,95,move,8,Poison Jab,8.8%,,,,,,,,
Araquanid,95,move,9,Hydro Pump,8.0%,,,,,,,,
Araquanid,95,move,10,Sticky Web,7.4%,,,,,,,,
Araquanid,95,held_item,1,Mystic Water,50.6%,,,,,,,,
Araquanid,95,held_item,2,Leftovers,14.8%,,,,,,,,
Araquanid,95,held_item,3,Sitrus Berry,13.1%,,,,,,,,
Araquanid,95,held_item,4,Life Orb,10.1%,,,,,,,,
Araquanid,95,held_item,5,Quick Claw,2.4%,,,,,,,,
Araquanid,95,held_item,6,Muscle Band,1.4%,,,,,,,,
Araquanid,95,held_item,7,White Herb,0.9%,,,,,,,,
Araquanid,95,held_item,8,Expert Belt,0.8%,,,,,,,,
Araquanid,95,held_item,9,Focus Sash,0.8%,,,,,,,,
Araquanid,95,held_item,10,Bright Powder,0.8%,,,,,,,,
Araquanid,95,teammate,1,Farigiraf,,,,,,,,,
Araquanid,95,teammate,2,Sinistcha,,,,,,,,,
Araquanid,95,teammate,3,Mawile,,,,,,,,,
Araquanid,95,teammate,4,Torkoal,,,,,,,,,
Araquanid,95,teammate,5,Incineroar,,,,,,,,,
Araquanid,95,teammate,6,Kingambit,,,,,,,,,
Araquanid,95,teammate,7,Sylveon,,,,,,,,,
Araquanid,95,teammate,8,Oranguru,,,,,,,,,
Araquanid,95,teammate,9,Raichu,,,,,,,,,
Araquanid,95,teammate,10,Whimsicott,,,,,,,,,
Araquanid,95,stat_alignment,1,Brave,44.6%,Attack,Speed,,,,,,
Araquanid,95,stat_alignment,2,Adamant,26.5%,Attack,Sp. Atk,,,,,,
Araquanid,95,stat_alignment,3,Quiet,7.7%,Sp. Atk,Speed,,,,,,
Araquanid,95,stat_alignment,4,Impish,6.6%,Defense,Sp. Atk,,,,,,
Araquanid,95,stat_alignment,5,Careful,3.7%,Sp. Def,Sp. Atk,,,,,,
Araquanid,95,stat_alignment,6,Sassy,3.6%,Sp. Def,Speed,,,,,,
Araquanid,95,stat_alignment,7,Relaxed,3.3%,Defense,Speed,,,,,,
Araquanid,95,stat_alignment,8,Modest,2.2%,Sp. Atk,Attack,,,,,,
Araquanid,95,stat_alignment,9,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Araquanid,95,stat_alignment,10,Bold,0.3%,Defense,Attack,,,,,,
Araquanid,95,stat_points,1,,29.7%,,,32,32,2,0,0,0
Araquanid,95,stat_points,2,,11.9%,,,32,32,0,0,2,0
Araquanid,95,stat_points,3,,6.6%,,,32,0,2,32,0,0
Araquanid,95,stat_points,4,,3.3%,,,32,0,32,0,2,0
Araquanid,95,stat_points,5,,2.8%,,,2,32,32,0,0,0
Araquanid,95,stat_points,6,,2.7%,,,0,32,2,0,32,0
Araquanid,95,stat_points,7,,2.6%,,,2,32,0,0,32,0
Araquanid,95,stat_points,8,,2.4%,,,7,30,8,0,21,0
Araquanid,95,stat_points,9,,2.2%,,,0,32,32,0,2,0
Araquanid,95,stat_points,10,,1.2%,,,32,32,0,0,0,2
Araquanid,95,stat_points,11,,1.2%,,,32,32,0,0,0,0
Araquanid,95,stat_points,12,,0.8%,,,32,30,4,0,0,0
Araquanid,95,ability,1,Water Bubble,98.1%,,,,,,,,
Araquanid,95,ability,2,Water Absorb,1.9%,,,,,,,,
