pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Arcanine,97,move,1,Flare Blitz,81.2%,,,,,,,,
Arcanine,97,move,2,Extreme Speed,72.6%,,,,,,,,
Arcanine,97,move,3,Protect,50.3%,,,,,,,,
Arcanine,97,move,4,Will-O-Wisp,45.5%,,,,,,,,
Arcanine,97,move,5,,30.0%,,,,,,,,
Arcanine,97,move,6,Play Rough,23.2%,,,,,,,,
Arcanine,97,move,7,Close Combat,16.6%,,,,,,,,
Arcanine,97,move,8,Wild Charge,14.0%,,,,,,,,
Arcanine,97,move,9,Bulldoze,11.0%,,,,,,,,
Arcanine,97,move,10,Psychic Fangs,7.4%,,,,,,,,
Arcanine,97,held_item,1,Sitrus Berry,51.5%,,,,,,,,
Arcanine,97,held_item,2,Leftovers,15.5%,,,,,,,,
Arcanine,97,held_item,3,Life Orb,8.4%,,,,,,,,
Arcanine,97,held_item,4,Charcoal,3.2%,,,,,,,,
Arcanine,97,held_item,5,Choice Scarf,2.9%,,,,,,,,
Arcanine,97,held_item,6,Shuca Berry,2.9%,,,,,,,,
Arcanine,97,held_item,7,White Herb,2.6%,,,,,,,,
Arcanine,97,held_item,8,Expert Belt,2.0%,,,,,,,,
Arcanine,97,held_item,9,Muscle Band,1.7%,,,,,,,,
Arcanine,97,held_item,10,Quick Claw,1.6%,,,,,,,,
Arcanine,97,teammate,1,Whimsicott,,,,,,,,,
Arcanine,97,teammate,2,Sylveon,,,,,,,,,
Arcanine,97,teammate,3,Tyranitar,,,,,,,,,
Arcanine,97,teammate,4,Garchomp,,,,,,,,,
Arcanine,97,teammate,5,Raichu,,,,,,,,,
Arcanine,97,teammate,6,Dragonite,,,,,,,,,
Arcanine,97,teammate,7,Sinistcha,,,,,,,,,
Arcanine,97,teammate,8,Sneasler,,,,,,,,,
Arcanine,97,teammate,9,Kingambit,,,,,,,,,
Arcanine,97,teammate,10,Staraptor,,,,,,,,,
Arcanine,97,stat_alignment,1,Adamant,62.6%,Attack,Sp. Atk,,,,,,
Arcanine,97,stat_alignment,2,Jolly,9.9%,Speed,Sp. Atk,,,,,,
Arcanine,97,stat_alignment,3,Impish,5.9%,Defense,Sp. Atk,,,,,,
Arcanine,97,stat_alignment,4,Careful,4.6%,Sp. Def,Sp. Atk,,,,,,
Arcanine,97,stat_alignment,5,Timid,3.4%,Speed,Attack,,,,,,
Arcanine,97,stat_alignment,6,Modest,3.2%,Sp. Atk,Attack,,,,,,
Arcanine,97,stat_alignment,7,Bold,3.1%,Defense,Attack,,,,,,
Arcanine,97,stat_alignment,8,Calm,2.9%,Sp. Def,Attack,,,,,,
Arcanine,97,stat_alignment,9,Naughty,0.9%,Attack,Sp. Def,,,,,,
Arcanine,97,stat_alignment,10,Quiet,0.8%,Sp. Atk,Speed,,,,,,
Arcanine,97,stat_points,1,,39.0%,,,32,32,0,0,0,2
Arcanine,97,stat_points,2,,6.3%,,,2,32,0,0,0,32
Arcanine,97,stat_points,3,,1.8%,,,32,32,2,0,0,0
Arcanine,97,stat_points,4,,1.4%,,,32,32,0,0,2,0
Arcanine,97,stat_points,5,,1.4%,,,32,0,32,0,0,2
Arcanine,97,stat_points,6,,1.3%,,,32,0,0,32,0,2
Arcanine,97,stat_points,7,,1.0%,,,32,0,32,0,2,0
Arcanine,97,stat_points,8,,0.9%,,,0,32,2,0,0,32
Arcanine,97,stat_points,9,,0.9%,,,0,32,0,0,0,32
Arcanine,97,stat_points,10,,0.8%,,,32,0,0,2,0,32
Arcanine,97,stat_points,11,,0.8%,,,32,0,24,0,10,0
Arcanine,97,stat_points,12,,0.8%,,,32,0,2,0,32,0
Arcanine,97,ability,1,Intimidate,94.2%,,,,,,,,
Arcanine,97,ability,2,Flash Fire,3.9%,,,,,,,,
Arcanine,97,ability,3,Justified,1.9%,,,,,,,,
