pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Armarouge,83,move,1,Armor Cannon,68.6%,,,,,,,,
Armarouge,83,move,2,Psychic,49.5%,,,,,,,,
Armarouge,83,move,3,Protect,48.7%,,,,,,,,
Armarouge,83,move,4,Trick Room,41.8%,,,,,,,,
Armarouge,83,move,5,Wide Guard,38.0%,,,,,,,,
Armarouge,83,move,6,Heat Wave,32.7%,,,,,,,,
Armarouge,83,move,7,Expanding Force,31.6%,,,,,,,,
Armarouge,83,move,8,Aura Sphere,23.0%,,,,,,,,
Armarouge,83,move,9,Energy Ball,13.0%,,,,,,,,
Armarouge,83,move,10,Psychic Terrain,5.3%,,,,,,,,
Armarouge,83,held_item,1,Life Orb,24.0%,,,,,,,,
Armarouge,83,held_item,2,Focus Sash,21.9%,,,,,,,,
Armarouge,83,held_item,3,Sitrus Berry,8.4%,,,,,,,,
Armarouge,83,held_item,4,Colbur Berry,7.6%,,,,,,,,
Armarouge,83,held_item,5,White Herb,5.7%,,,,,,,,
Armarouge,83,held_item,6,Charcoal,5.1%,,,,,,,,
Armarouge,83,held_item,7,Wise Glasses,3.4%,,,,,,,,
Armarouge,83,held_item,8,Leftovers,3.2%,,,,,,,,
Armarouge,83,held_item,9,Twisted Spoon,3.2%,,,,,,,,
Armarouge,83,held_item,10,Choice Scarf,3.1%,,,,,,,,
Armarouge,83,teammate,1,Farigiraf,,,,,,,,,
Armarouge,83,teammate,2,Mawile,,,,,,,,,
Armarouge,83,teammate,3,Torkoal,,,,,,,,,
Armarouge,83,teammate,4,Sinistcha,,,,,,,,,
Armarouge,83,teammate,5,Whimsicott,,,,,,,,,
Armarouge,83,teammate,6,Kingambit,,,,,,,,,
Armarouge,83,teammate,7,Raichu,,,,,,,,,
Armarouge,83,teammate,8,Garchomp,,,,,,,,,
Armarouge,83,teammate,9,Staraptor,,,,,,,,,
Armarouge,83,teammate,10,Scrafty,,,,,,,,,
Armarouge,83,stat_alignment,1,Modest,45.2%,Sp. Atk,Attack,,,,,,
Armarouge,83,stat_alignment,2,Quiet,38.2%,Sp. Atk,Speed,,,,,,
Armarouge,83,stat_alignment,3,Timid,6.3%,Speed,Attack,,,,,,
Armarouge,83,stat_alignment,4,Bold,2.8%,Defense,Attack,,,,,,
Armarouge,83,stat_alignment,5,Calm,2.5%,Sp. Def,Attack,,,,,,
Armarouge,83,stat_alignment,6,Relaxed,2.0%,Defense,Speed,,,,,,
Armarouge,83,stat_alignment,7,Sassy,1.6%,Sp. Def,Speed,,,,,,
Armarouge,83,stat_alignment,8,Mild,0.7%,Sp. Atk,Defense,,,,,,
Armarouge,83,stat_alignment,9,Quirky,0.2%,,,,,,,,
Armarouge,83,stat_alignment,10,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Armarouge,83,stat_points,1,,19.1%,,,32,0,0,32,2,0
Armarouge,83,stat_points,2,,12.3%,,,2,0,0,32,0,32
Armarouge,83,stat_points,3,,11.9%,,,32,0,2,32,0,0
Armarouge,83,stat_points,4,,9.2%,,,32,0,1,32,1,0
Armarouge,83,stat_points,5,,2.8%,,,0,0,0,32,2,32
Armarouge,83,stat_points,6,,2.6%,,,32,0,0,32,0,0
Armarouge,83,stat_points,7,,2.2%,,,2,0,32,32,0,0
Armarouge,83,stat_points,8,,1.8%,,,0,0,2,32,0,32
Armarouge,83,stat_points,9,,1.6%,,,2,0,0,32,32,0
Armarouge,83,stat_points,10,,1.5%,,,32,0,0,32,0,2
Armarouge,83,stat_points,11,,1.4%,,,0,0,32,32,2,0
Armarouge,83,stat_points,12,,1.2%,,,0,0,2,32,32,0
Armarouge,83,ability,1,Flash Fire,80.8%,,,,,,,,
Armarouge,83,ability,2,Weak Armor,19.2%,,,,,,,,
