pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Audino,162,move,1,Trick Room,80.4%,,,,,,,,
Audino,162,move,2,Life Dew,55.5%,,,,,,,,
Audino,162,move,3,Simple Beam,52.2%,,,,,,,,
Audino,162,move,4,Heal Pulse,34.2%,,,,,,,,
Audino,162,move,5,Protect,22.8%,,,,,,,,
Audino,162,move,6,Dazzling Gleam,16.1%,,,,,,,,
Audino,162,move,7,Ally Switch,16.0%,,,,,,,,
Audino,162,move,8,Encore,14.7%,,,,,,,,
Audino,162,move,9,Helping Hand,14.5%,,,,,,,,
Audino,162,move,10,Yawn,11.1%,,,,,,,,
Audino,162,held_item,1,Audinite,50.3%,,,,,,,,
Audino,162,held_item,2,Mental Herb,18.9%,,,,,,,,
Audino,162,held_item,3,Chople Berry,7.8%,,,,,,,,
Audino,162,held_item,4,Sitrus Berry,7.0%,,,,,,,,
Audino,162,held_item,5,Leftovers,7.0%,,,,,,,,
Audino,162,held_item,6,Focus Sash,1.6%,,,,,,,,
Audino,162,held_item,7,Bright Powder,1.3%,,,,,,,,
Audino,162,held_item,8,King's Rock,1.0%,,,,,,,,
Audino,162,held_item,9,Light Clay,0.9%,,,,,,,,
Audino,162,held_item,10,Big Root,0.7%,,,,,,,,
Audino,162,teammate,1,Sinistcha,,,,,,,,,
Audino,162,teammate,2,Farigiraf,,,,,,,,,
Audino,162,teammate,3,Chandelure,,,,,,,,,
Audino,162,teammate,4,Clefable,,,,,,,,,
Audino,162,teammate,5,Sableye,,,,,,,,,
Audino,162,teammate,6,Sylveon,,,,,,,,,
Audino,162,teammate,7,Torkoal,,,,,,,,,
Audino,162,teammate,8,Incineroar,,,,,,,,,
Audino,162,teammate,9,Snorlax,,,,,,,,,
Audino,162,teammate,10,Milotic,,,,,,,,,
Audino,162,stat_alignment,1,Relaxed,46.6%,Defense,Speed,,,,,,
Audino,162,stat_alignment,2,Sassy,17.4%,Sp. Def,Speed,,,,,,
Audino,162,stat_alignment,3,Bold,15.9%,Defense,Attack,,,,,,
Audino,162,stat_alignment,4,Calm,5.3%,Sp. Def,Attack,,,,,,
Audino,162,stat_alignment,5,Quiet,5.0%,Sp. Atk,Speed,,,,,,
Audino,162,stat_alignment,6,Timid,3.7%,Speed,Attack,,,,,,
Audino,162,stat_alignment,7,Modest,2.9%,Sp. Atk,Attack,,,,,,
Audino,162,stat_alignment,8,Impish,1.5%,Defense,Sp. Atk,,,,,,
Audino,162,stat_alignment,9,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Audino,162,stat_alignment,10,Jolly,0.4%,Speed,Sp. Atk,,,,,,
Audino,162,stat_points,1,,20.0%,,,32,0,14,0,20,0
Audino,162,stat_points,2,,10.6%,,,32,0,32,0,2,0
Audino,162,stat_points,3,,6.8%,,,32,0,24,0,10,0
Audino,162,stat_points,4,,6.7%,,,32,0,2,0,32,0
Audino,162,stat_points,5,,4.0%,,,32,0,20,0,14,0
Audino,162,stat_points,6,,3.5%,,,2,0,32,0,32,0
Audino,162,stat_points,7,,3.2%,,,32,0,17,0,17,0
Audino,162,stat_points,8,,2.3%,,,31,0,24,0,11,0
Audino,162,stat_points,9,,1.8%,,,22,0,20,0,24,0
Audino,162,stat_points,10,,1.8%,,,32,0,32,2,0,0
Audino,162,stat_points,11,,1.8%,,,32,0,9,0,25,0
Audino,162,stat_points,12,,1.6%,,,32,0,16,0,18,0
Audino,162,ability,1,Regenerator,51.5%,,,,,,,,
Audino,162,ability,2,Healer,46.4%,,,,,,,,
Audino,162,ability,3,Klutz,2.1%,,,,,,,,
