pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Aurorus,154,move,1,Blizzard,71.0%,,,,,,,,
Aurorus,154,move,2,Protect,69.3%,,,,,,,,
Aurorus,154,move,3,Ancient Power,57.5%,,,,,,,,
Aurorus,154,move,4,Freeze-Dry,56.2%,,,,,,,,
Aurorus,154,move,5,Aurora Veil,40.3%,,,,,,,,
Aurorus,154,move,6,Earth Power,25.1%,,,,,,,,
Aurorus,154,move,7,Hyper Voice,20.9%,,,,,,,,
Aurorus,154,move,8,Round,5.1%,,,,,,,,
Aurorus,154,move,9,Thunderbolt,4.4%,,,,,,,,
Aurorus,154,move,10,Rock Slide,4.2%,,,,,,,,
Aurorus,154,held_item,1,Focus Sash,21.4%,,,,,,,,
Aurorus,154,held_item,2,Sitrus Berry,16.8%,,,,,,,,
Aurorus,154,held_item,3,Never-Melt Ice,14.8%,,,,,,,,
Aurorus,154,held_item,4,Light Clay,10.8%,,,,,,,,
Aurorus,154,held_item,5,Life Orb,8.0%,,,,,,,,
Aurorus,154,held_item,6,Chople Berry,6.2%,,,,,,,,
Aurorus,154,held_item,7,Leftovers,3.7%,,,,,,,,
Aurorus,154,held_item,8,Choice Scarf,3.5%,,,,,,,,
Aurorus,154,held_item,9,Icy Rock,3.0%,,,,,,,,
Aurorus,154,held_item,10,Muscle Band,2.2%,,,,,,,,
Aurorus,154,teammate,1,Farigiraf,,,,,,,,,
Aurorus,154,teammate,2,Sinistcha,,,,,,,,,
Aurorus,154,teammate,3,Sylveon,,,,,,,,,
Aurorus,154,teammate,4,Froslass,,,,,,,,,
Aurorus,154,teammate,5,Incineroar,,,,,,,,,
Aurorus,154,teammate,6,Mawile,,,,,,,,,
Aurorus,154,teammate,7,Kingambit,,,,,,,,,
Aurorus,154,teammate,8,Torkoal,,,,,,,,,
Aurorus,154,teammate,9,Hisuian Zoroark,,,,,,,,,
Aurorus,154,teammate,10,Whimsicott,,,,,,,,,
Aurorus,154,stat_alignment,1,Modest,41.1%,Sp. Atk,Attack,,,,,,
Aurorus,154,stat_alignment,2,Quiet,37.7%,Sp. Atk,Speed,,,,,,
Aurorus,154,stat_alignment,3,Bold,7.1%,Defense,Attack,,,,,,
Aurorus,154,stat_alignment,4,Relaxed,5.3%,Defense,Speed,,,,,,
Aurorus,154,stat_alignment,5,Timid,3.1%,Speed,Attack,,,,,,
Aurorus,154,stat_alignment,6,Careful,2.2%,Sp. Def,Sp. Atk,,,,,,
Aurorus,154,stat_alignment,7,Calm,1.5%,Sp. Def,Attack,,,,,,
Aurorus,154,stat_alignment,8,Mild,0.8%,Sp. Atk,Defense,,,,,,
Aurorus,154,stat_alignment,9,Sassy,0.7%,Sp. Def,Speed,,,,,,
Aurorus,154,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Aurorus,154,stat_points,1,,16.6%,,,32,0,2,32,0,0
Aurorus,154,stat_points,2,,11.9%,,,32,0,0,32,2,0
Aurorus,154,stat_points,3,,10.2%,,,2,0,8,32,18,6
Aurorus,154,stat_points,4,,5.0%,,,2,0,0,32,0,32
Aurorus,154,stat_points,5,,3.8%,,,2,0,0,32,32,0
Aurorus,154,stat_points,6,,3.8%,,,2,0,32,32,0,0
Aurorus,154,stat_points,7,,2.5%,,,8,0,8,32,18,0
Aurorus,154,stat_points,8,,2.2%,,,6,32,0,0,28,0
Aurorus,154,stat_points,9,,1.9%,,,2,0,26,32,6,0
Aurorus,154,stat_points,10,,1.8%,,,32,0,0,32,0,2
Aurorus,154,stat_points,11,,1.7%,,,26,0,8,32,0,0
Aurorus,154,stat_points,12,,1.5%,,,21,0,18,19,8,0
Aurorus,154,ability,1,Snow Warning,75.5%,,,,,,,,
Aurorus,154,ability,2,Refrigerate,24.5%,,,,,,,,
