pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Azumarill,85,move,1,Play Rough,92.2%,,,,,,,,
Azumarill,85,move,2,Aqua Jet,92.1%,,,,,,,,
Azumarill,85,move,3,Protect,60.9%,,,,,,,,
Azumarill,85,move,4,Belly Drum,56.1%,,,,,,,,
Azumarill,85,move,5,Liquidation,34.3%,,,,,,,,
Azumarill,85,move,6,Superpower,27.4%,,,,,,,,
Azumarill,85,move,7,Ice Spinner,6.2%,,,,,,,,
Azumarill,85,move,8,Knock Off,4.9%,,,,,,,,
Azumarill,85,move,9,Brick Break,3.4%,,,,,,,,
Azumarill,85,move,10,Waterfall,3.1%,,,,,,,,
Azumarill,85,held_item,1,Sitrus Berry,57.5%,,,,,,,,
Azumarill,85,held_item,2,Mystic Water,14.1%,,,,,,,,
Azumarill,85,held_item,3,Life Orb,9.0%,,,,,,,,
Azumarill,85,held_item,4,Leftovers,6.1%,,,,,,,,
Azumarill,85,held_item,5,White Herb,3.4%,,,,,,,,
Azumarill,85,held_item,6,Muscle Band,2.1%,,,,,,,,
Azumarill,85,held_item,7,Quick Claw,1.2%,,,,,,,,
Azumarill,85,held_item,8,Lum Berry,1.1%,,,,,,,,
Azumarill,85,held_item,9,Focus Sash,0.9%,,,,,,,,
Azumarill,85,held_item,10,Expert Belt,0.8%,,,,,,,,
Azumarill,85,teammate,1,Farigiraf,,,,,,,,,
Azumarill,85,teammate,2,Sinistcha,,,,,,,,,
Azumarill,85,teammate,3,Raichu,,,,,,,,,
Azumarill,85,teammate,4,Kingambit,,,,,,,,,
Azumarill,85,teammate,5,Whimsicott,,,,,,,,,
Azumarill,85,teammate,6,Incineroar,,,,,,,,,
Azumarill,85,teammate,7,Garchomp,,,,,,,,,
Azumarill,85,teammate,8,Charizard,,,,,,,,,
Azumarill,85,teammate,9,Sneasler,,,,,,,,,
Azumarill,85,teammate,10,Gengar,,,,,,,,,
Azumarill,85,stat_alignment,1,Adamant,70.8%,Attack,Sp. Atk,,,,,,
Azumarill,85,stat_alignment,2,Brave,23.7%,Attack,Speed,,,,,,
Azumarill,85,stat_alignment,3,Relaxed,1.2%,Defense,Speed,,,,,,
Azumarill,85,stat_alignment,4,Jolly,1.1%,Speed,Sp. Atk,,,,,,
Azumarill,85,stat_alignment,5,Impish,0.8%,Defense,Sp. Atk,,,,,,
Azumarill,85,stat_alignment,6,Sassy,0.6%,Sp. Def,Speed,,,,,,
Azumarill,85,stat_alignment,7,Bold,0.4%,Defense,Attack,,,,,,
Azumarill,85,stat_alignment,8,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Azumarill,85,stat_alignment,9,Naughty,0.2%,Attack,Sp. Def,,,,,,
Azumarill,85,stat_alignment,10,Calm,0.2%,Sp. Def,Attack,,,,,,
Azumarill,85,stat_points,1,,25.3%,,,32,32,0,0,0,2
Azumarill,85,stat_points,2,,13.9%,,,32,32,0,0,2,0
Azumarill,85,stat_points,3,,9.5%,,,32,32,2,0,0,0
Azumarill,85,stat_points,4,,4.9%,,,31,32,0,0,0,3
Azumarill,85,stat_points,5,,4.2%,,,31,32,0,0,3,0
Azumarill,85,stat_points,6,,3.9%,,,32,32,1,0,1,0
Azumarill,85,stat_points,7,,3.7%,,,31,32,3,0,0,0
Azumarill,85,stat_points,8,,2.4%,,,31,32,2,0,1,0
Azumarill,85,stat_points,9,,1.6%,,,32,32,0,0,0,0
Azumarill,85,stat_points,10,,1.6%,,,31,32,1,0,2,0
Azumarill,85,stat_points,11,,1.2%,,,31,32,1,0,1,1
Azumarill,85,ability,1,Huge Power,96.1%,,,,,,,,
Azumarill,85,ability,2,Sap Sipper,3.7%,,,,,,,,
Azumarill,85,ability,3,Thick Fat,0.2%,,,,,,,,
