pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Banette,168,move,1,Poltergeist,80.8%,,,,,,,,
Banette,168,move,2,Destiny Bond,60.3%,,,,,,,,
Banette,168,move,3,Encore,48.2%,,,,,,,,
Banette,168,move,4,Will-O-Wisp,42.1%,,,,,,,,
Banette,168,move,5,Trick Room,24.4%,,,,,,,,
Banette,168,move,6,Protect,19.3%,,,,,,,,
Banette,168,move,7,Shadow Sneak,17.9%,,,,,,,,
Banette,168,move,8,Rain Dance,15.3%,,,,,,,,
Banette,168,move,9,Disable,14.3%,,,,,,,,
Banette,168,move,10,Sucker Punch,8.9%,,,,,,,,
Banette,168,held_item,1,Banettite,93.2%,,,,,,,,
Banette,168,held_item,2,Focus Sash,3.7%,,,,,,,,
Banette,168,held_item,3,Life Orb,1.2%,,,,,,,,
Banette,168,held_item,4,Leftovers,0.6%,,,,,,,,
Banette,168,held_item,5,Spell Tag,0.2%,,,,,,,,
Banette,168,held_item,6,Mental Herb,0.1%,,,,,,,,
Banette,168,held_item,7,Quick Claw,0.1%,,,,,,,,
Banette,168,held_item,8,Choice Scarf,0.1%,,,,,,,,
Banette,168,held_item,9,Colbur Berry,0.1%,,,,,,,,
Banette,168,held_item,10,Kasib Berry,0.1%,,,,,,,,
Banette,168,teammate,1,Sylveon,,,,,,,,,
Banette,168,teammate,2,Sneasler,,,,,,,,,
Banette,168,teammate,3,Basculegion Male,,,,,,,,,
Banette,168,teammate,4,Kingambit,,,,,,,,,
Banette,168,teammate,5,Archaludon,,,,,,,,,
Banette,168,teammate,6,Farigiraf,,,,,,,,,
Banette,168,teammate,7,Sinistcha,,,,,,,,,
Banette,168,teammate,8,Incineroar,,,,,,,,,
Banette,168,teammate,9,Torkoal,,,,,,,,,
Banette,168,teammate,10,Garchomp,,,,,,,,,
Banette,168,stat_alignment,1,Adamant,47.6%,Attack,Sp. Atk,,,,,,
Banette,168,stat_alignment,2,Brave,21.0%,Attack,Speed,,,,,,
Banette,168,stat_alignment,3,Impish,11.2%,Defense,Sp. Atk,,,,,,
Banette,168,stat_alignment,4,Relaxed,6.0%,Defense,Speed,,,,,,
Banette,168,stat_alignment,5,Careful,5.4%,Sp. Def,Sp. Atk,,,,,,
Banette,168,stat_alignment,6,Sassy,3.4%,Sp. Def,Speed,,,,,,
Banette,168,stat_alignment,7,Jolly,2.0%,Speed,Sp. Atk,,,,,,
Banette,168,stat_alignment,8,Quiet,0.8%,Sp. Atk,Speed,,,,,,
Banette,168,stat_alignment,9,Hasty,0.6%,Speed,Defense,,,,,,
Banette,168,stat_alignment,10,Bold,0.5%,Defense,Attack,,,,,,
Banette,168,stat_points,1,,14.6%,,,32,32,2,0,0,0
Banette,168,stat_points,2,,13.6%,,,32,32,0,0,2,0
Banette,168,stat_points,3,,6.9%,,,32,27,0,0,7,0
Banette,168,stat_points,4,,3.2%,,,32,0,15,0,19,0
Banette,168,stat_points,5,,3.2%,,,2,32,32,0,0,0
Banette,168,stat_points,6,,2.9%,,,32,32,0,0,0,0
Banette,168,stat_points,7,,2.7%,,,2,32,0,0,0,32
Banette,168,stat_points,8,,2.7%,,,32,8,7,0,19,0
Banette,168,stat_points,9,,2.4%,,,32,0,18,0,16,0
Banette,168,stat_points,10,,2.1%,,,32,0,32,0,2,0
Banette,168,stat_points,11,,1.8%,,,32,32,1,0,1,0
Banette,168,stat_points,12,,1.7%,,,32,0,2,0,32,0
Banette,168,ability,1,Frisk,81.4%,,,,,,,,
Banette,168,ability,2,Cursed Body,10.0%,,,,,,,,
Banette,168,ability,3,Insomnia,8.6%,,,,,,,,
