pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Barbaracle,159,move,1,Rock Slide,87.8%,,,,,,,,
Barbaracle,159,move,2,Protect,83.8%,,,,,,,,
Barbaracle,159,move,3,Close Combat,83.3%,,,,,,,,
Barbaracle,159,move,4,Shell Smash,46.9%,,,,,,,,
Barbaracle,159,move,5,Liquidation,44.3%,,,,,,,,
Barbaracle,159,move,6,Poison Jab,13.9%,,,,,,,,
Barbaracle,159,move,7,Brick Break,5.9%,,,,,,,,
Barbaracle,159,move,8,Night Slash,4.0%,,,,,,,,
Barbaracle,159,move,9,Stone Edge,3.4%,,,,,,,,
Barbaracle,159,move,10,Aqua Cutter,3.1%,,,,,,,,
Barbaracle,159,held_item,1,Barbaracite,89.7%,,,,,,,,
Barbaracle,159,held_item,2,Focus Sash,1.9%,,,,,,,,
Barbaracle,159,held_item,3,White Herb,1.6%,,,,,,,,
Barbaracle,159,held_item,4,Scope Lens,1.4%,,,,,,,,
Barbaracle,159,held_item,5,Life Orb,1.0%,,,,,,,,
Barbaracle,159,held_item,6,Expert Belt,0.6%,,,,,,,,
Barbaracle,159,held_item,7,Mystic Water,0.6%,,,,,,,,
Barbaracle,159,held_item,8,Sitrus Berry,0.5%,,,,,,,,
Barbaracle,159,held_item,9,Chople Berry,0.4%,,,,,,,,
Barbaracle,159,held_item,10,Muscle Band,0.4%,,,,,,,,
Barbaracle,159,teammate,1,Whimsicott,,,,,,,,,
Barbaracle,159,teammate,2,Basculegion Male,,,,,,,,,
Barbaracle,159,teammate,3,Kingambit,,,,,,,,,
Barbaracle,159,teammate,4,Garchomp,,,,,,,,,
Barbaracle,159,teammate,5,Sinistcha,,,,,,,,,
Barbaracle,159,teammate,6,Incineroar,,,,,,,,,
Barbaracle,159,teammate,7,Froslass,,,,,,,,,
Barbaracle,159,teammate,8,Farigiraf,,,,,,,,,
Barbaracle,159,teammate,9,Gholdengo,,,,,,,,,
Barbaracle,159,teammate,10,Sylveon,,,,,,,,,
Barbaracle,159,stat_alignment,1,Adamant,55.2%,Attack,Sp. Atk,,,,,,
Barbaracle,159,stat_alignment,2,Jolly,32.9%,Speed,Sp. Atk,,,,,,
Barbaracle,159,stat_alignment,3,Brave,6.7%,Attack,Speed,,,,,,
Barbaracle,159,stat_alignment,4,Impish,1.4%,Defense,Sp. Atk,,,,,,
Barbaracle,159,stat_alignment,5,Relaxed,0.9%,Defense,Speed,,,,,,
Barbaracle,159,stat_alignment,6,Serious,0.5%,,,,,,,,
Barbaracle,159,stat_alignment,7,Naive,0.5%,Speed,Sp. Def,,,,,,
Barbaracle,159,stat_alignment,8,Careful,0.5%,Sp. Def,Sp. Atk,,,,,,
Barbaracle,159,stat_alignment,9,Naughty,0.4%,Attack,Sp. Def,,,,,,
Barbaracle,159,stat_alignment,10,Sassy,0.4%,Sp. Def,Speed,,,,,,
Barbaracle,159,stat_points,1,,41.2%,,,2,32,0,0,0,32
Barbaracle,159,stat_points,2,,4.4%,,,32,32,0,0,2,0
Barbaracle,159,stat_points,3,,3.9%,,,0,32,2,0,0,32
Barbaracle,159,stat_points,4,,3.4%,,,32,32,0,0,0,2
Barbaracle,159,stat_points,5,,3.1%,,,32,32,2,0,0,0
Barbaracle,159,stat_points,6,,2.1%,,,0,32,0,0,2,32
Barbaracle,159,stat_points,7,,1.4%,,,11,32,0,0,2,21
Barbaracle,159,stat_points,8,,1.3%,,,2,32,0,0,32,0
Barbaracle,159,stat_points,9,,1.2%,,,11,32,1,0,1,21
Barbaracle,159,stat_points,10,,1.1%,,,0,32,2,0,32,0
Barbaracle,159,stat_points,11,,1.0%,,,9,32,0,0,0,25
Barbaracle,159,stat_points,12,,1.0%,,,0,32,32,0,2,0
Barbaracle,159,ability,1,Tough Claws,87.5%,,,,,,,,
Barbaracle,159,ability,2,Sniper,10.5%,,,,,,,,
Barbaracle,159,ability,3,Pickpocket,1.9%,,,,,,,,
