pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Basculegion Female,64,move,1,Last Respects,66.0%,,,,,,,,
Basculegion Female,64,move,2,Aqua Jet,61.4%,,,,,,,,
Basculegion Female,64,move,3,Protect,55.4%,,,,,,,,
Basculegion Female,64,move,4,Wave Crash,55.0%,,,,,,,,
Basculegion Female,64,move,5,Flip Turn,34.1%,,,,,,,,
Basculegion Female,64,move,6,Shadow Ball,32.0%,,,,,,,,
Basculegion Female,64,move,7,Muddy Water,28.6%,,,,,,,,
Basculegion Female,64,move,8,Ice Beam,17.6%,,,,,,,,
Basculegion Female,64,move,9,Hydro Pump,9.5%,,,,,,,,
Basculegion Female,64,move,10,Liquidation,5.8%,,,,,,,,
Basculegion Female,64,held_item,1,Choice Scarf,39.5%,,,,,,,,
Basculegion Female,64,held_item,2,Mystic Water,21.4%,,,,,,,,
Basculegion Female,64,held_item,3,Life Orb,18.0%,,,,,,,,
Basculegion Female,64,held_item,4,Focus Sash,9.1%,,,,,,,,
Basculegion Female,64,held_item,5,Sitrus Berry,3.8%,,,,,,,,
Basculegion Female,64,held_item,6,Quick Claw,1.2%,,,,,,,,
Basculegion Female,64,held_item,7,Leftovers,1.2%,,,,,,,,
Basculegion Female,64,held_item,8,Muscle Band,1.0%,,,,,,,,
Basculegion Female,64,held_item,9,Spell Tag,0.7%,,,,,,,,
Basculegion Female,64,held_item,10,Kasib Berry,0.6%,,,,,,,,
Basculegion Female,64,teammate,1,Whimsicott,,,,,,,,,
Basculegion Female,64,teammate,2,Garchomp,,,,,,,,,
Basculegion Female,64,teammate,3,Pelipper,,,,,,,,,
Basculegion Female,64,teammate,4,Charizard,,,,,,,,,
Basculegion Female,64,teammate,5,Kingambit,,,,,,,,,
Basculegion Female,64,teammate,6,Sneasler,,,,,,,,,
Basculegion Female,64,teammate,7,Archaludon,,,,,,,,,
Basculegion Female,64,teammate,8,Sylveon,,,,,,,,,
Basculegion Female,64,teammate,9,Swampert,,,,,,,,,
Basculegion Female,64,teammate,10,Sinistcha,,,,,,,,,
Basculegion Female,64,stat_alignment,1,Adamant,35.6%,Attack,Sp. Atk,,,,,,
Basculegion Female,64,stat_alignment,2,Modest,27.2%,Sp. Atk,Attack,,,,,,
Basculegion Female,64,stat_alignment,3,Jolly,22.0%,Speed,Sp. Atk,,,,,,
Basculegion Female,64,stat_alignment,4,Timid,9.4%,Speed,Attack,,,,,,
Basculegion Female,64,stat_alignment,5,Mild,1.2%,Sp. Atk,Defense,,,,,,
Basculegion Female,64,stat_alignment,6,Quiet,1.2%,Sp. Atk,Speed,,,,,,
Basculegion Female,64,stat_alignment,7,Hasty,0.8%,Speed,Defense,,,,,,
Basculegion Female,64,stat_alignment,8,Brave,0.5%,Attack,Speed,,,,,,
Basculegion Female,64,stat_alignment,9,Naive,0.5%,Speed,Sp. Def,,,,,,
Basculegion Female,64,stat_alignment,10,Calm,0.3%,Sp. Def,Attack,,,,,,
Basculegion Female,64,stat_points,1,,27.8%,,,2,32,0,0,0,32
Basculegion Female,64,stat_points,2,,13.9%,,,2,0,0,32,0,32
Basculegion Female,64,stat_points,3,,7.5%,,,0,32,2,0,0,32
Basculegion Female,64,stat_points,4,,6.1%,,,0,0,2,32,0,32
Basculegion Female,64,stat_points,5,,3.6%,,,0,32,0,0,2,32
Basculegion Female,64,stat_points,6,,1.9%,,,0,32,0,0,0,32
Basculegion Female,64,stat_points,7,,1.6%,,,0,0,0,32,2,32
Basculegion Female,64,stat_points,8,,1.4%,,,12,32,7,0,0,15
Basculegion Female,64,stat_points,9,,1.4%,,,30,0,17,11,3,5
Basculegion Female,64,stat_points,10,,1.1%,,,2,0,32,17,0,15
Basculegion Female,64,stat_points,11,,0.9%,,,32,0,0,32,0,2
Basculegion Female,64,stat_points,12,,0.9%,,,4,31,11,0,0,20
Basculegion Female,64,ability,1,Adaptability,77.6%,,,,,,,,
Basculegion Female,64,ability,2,Swift Swim,20.9%,,,,,,,,
Basculegion Female,64,ability,3,Mold Breaker,1.5%,,,,,,,,
