pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Basculegion Male,3,move,1,Last Respects,99.9%,,,,,,,,
Basculegion Male,3,move,2,Aqua Jet,91.0%,,,,,,,,
Basculegion Male,3,move,3,Wave Crash,88.0%,,,,,,,,
Basculegion Male,3,move,4,Protect,54.6%,,,,,,,,
Basculegion Male,3,move,5,Flip Turn,43.1%,,,,,,,,
Basculegion Male,3,move,6,Liquidation,10.8%,,,,,,,,
Basculegion Male,3,move,7,Psychic Fangs,4.8%,,,,,,,,
Basculegion Male,3,move,8,Ice Fang,1.9%,,,,,,,,
Basculegion Male,3,move,9,Head Smash,1.2%,,,,,,,,
Basculegion Male,3,move,10,Waterfall,0.8%,,,,,,,,
Basculegion Male,3,held_item,1,Choice Scarf,42.4%,,,,,,,,
Basculegion Male,3,held_item,2,Mystic Water,21.6%,,,,,,,,
Basculegion Male,3,held_item,3,Life Orb,16.6%,,,,,,,,
Basculegion Male,3,held_item,4,Focus Sash,11.9%,,,,,,,,
Basculegion Male,3,held_item,5,Sitrus Berry,4.5%,,,,,,,,
Basculegion Male,3,held_item,6,Colbur Berry,0.6%,,,,,,,,
Basculegion Male,3,held_item,7,Muscle Band,0.6%,,,,,,,,
Basculegion Male,3,held_item,8,Kasib Berry,0.3%,,,,,,,,
Basculegion Male,3,held_item,9,Quick Claw,0.3%,,,,,,,,
Basculegion Male,3,held_item,10,Spell Tag,0.3%,,,,,,,,
Basculegion Male,3,teammate,1,Whimsicott,,,,,,,,,
Basculegion Male,3,teammate,2,Garchomp,,,,,,,,,
Basculegion Male,3,teammate,3,Kingambit,,,,,,,,,
Basculegion Male,3,teammate,4,Charizard,,,,,,,,,
Basculegion Male,3,teammate,5,Pelipper,,,,,,,,,
Basculegion Male,3,teammate,6,Archaludon,,,,,,,,,
Basculegion Male,3,teammate,7,Sylveon,,,,,,,,,
Basculegion Male,3,teammate,8,Sneasler,,,,,,,,,
Basculegion Male,3,teammate,9,Sinistcha,,,,,,,,,
Basculegion Male,3,teammate,10,Staraptor,,,,,,,,,
Basculegion Male,3,stat_alignment,1,Adamant,60.0%,Attack,Sp. Atk,,,,,,
Basculegion Male,3,stat_alignment,2,Jolly,37.4%,Speed,Sp. Atk,,,,,,
Basculegion Male,3,stat_alignment,3,Brave,0.6%,Attack,Speed,,,,,,
Basculegion Male,3,stat_alignment,4,Naughty,0.5%,Attack,Sp. Def,,,,,,
Basculegion Male,3,stat_alignment,5,Lonely,0.4%,Attack,Defense,,,,,,
Basculegion Male,3,stat_alignment,6,Naive,0.3%,Speed,Sp. Def,,,,,,
Basculegion Male,3,stat_alignment,7,Hasty,0.2%,Speed,Defense,,,,,,
Basculegion Male,3,stat_alignment,8,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Basculegion Male,3,stat_alignment,9,Impish,0.1%,Defense,Sp. Atk,,,,,,
Basculegion Male,3,stat_alignment,10,Timid,0.1%,Speed,Attack,,,,,,
Basculegion Male,3,stat_points,1,,36.5%,,,2,32,0,0,0,32
Basculegion Male,3,stat_points,2,,15.4%,,,0,32,2,0,0,32
Basculegion Male,3,stat_points,3,,5.9%,,,4,31,11,0,0,20
Basculegion Male,3,stat_points,4,,3.7%,,,0,32,0,0,2,32
Basculegion Male,3,stat_points,5,,2.0%,,,12,32,7,0,0,15
Basculegion Male,3,stat_points,6,,1.7%,,,24,18,2,0,8,14
Basculegion Male,3,stat_points,7,,1.7%,,,4,32,10,0,0,20
Basculegion Male,3,stat_points,8,,1.7%,,,0,32,0,0,0,32
Basculegion Male,3,stat_points,9,,1.6%,,,0,20,14,0,0,32
Basculegion Male,3,stat_points,10,,1.6%,,,0,32,1,0,1,32
Basculegion Male,3,stat_points,11,,1.4%,,,3,18,32,0,0,13
Basculegion Male,3,stat_points,12,,1.2%,,,0,18,30,0,0,18
Basculegion Male,3,ability,1,Adaptability,92.1%,,,,,,,,
Basculegion Male,3,ability,2,Swift Swim,7.6%,,,,,,,,
Basculegion Male,3,ability,3,Mold Breaker,0.3%,,,,,,,,
