pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Beartic,182,move,1,Icicle Crash,84.4%,,,,,,,,
Beartic,182,move,2,Close Combat,73.9%,,,,,,,,
Beartic,182,move,3,Protect,65.3%,,,,,,,,
Beartic,182,move,4,Rock Slide,30.0%,,,,,,,,
Beartic,182,move,5,Throat Chop,26.9%,,,,,,,,
Beartic,182,move,6,Earthquake,17.7%,,,,,,,,
Beartic,182,move,7,Liquidation,16.5%,,,,,,,,
Beartic,182,move,8,Aqua Jet,12.7%,,,,,,,,
Beartic,182,move,9,Play Rough,9.3%,,,,,,,,
Beartic,182,move,10,Ice Punch,8.9%,,,,,,,,
Beartic,182,held_item,1,Life Orb,34.3%,,,,,,,,
Beartic,182,held_item,2,Focus Sash,13.3%,,,,,,,,
Beartic,182,held_item,3,Expert Belt,10.8%,,,,,,,,
Beartic,182,held_item,4,Black Belt,8.5%,,,,,,,,
Beartic,182,held_item,5,Sitrus Berry,6.8%,,,,,,,,
Beartic,182,held_item,6,White Herb,3.6%,,,,,,,,
Beartic,182,held_item,7,Quick Claw,2.7%,,,,,,,,
Beartic,182,held_item,8,Never-Melt Ice,2.7%,,,,,,,,
Beartic,182,held_item,9,Chople Berry,2.4%,,,,,,,,
Beartic,182,held_item,10,Wide Lens,2.4%,,,,,,,,
Beartic,182,teammate,1,Froslass,,,,,,,,,
Beartic,182,teammate,2,Pelipper,,,,,,,,,
Beartic,182,teammate,3,Milotic,,,,,,,,,
Beartic,182,teammate,4,Sylveon,,,,,,,,,
Beartic,182,teammate,5,Kingambit,,,,,,,,,
Beartic,182,teammate,6,Sneasler,,,,,,,,,
Beartic,182,teammate,7,Swampert,,,,,,,,,
Beartic,182,teammate,8,Basculegion Male,,,,,,,,,
Beartic,182,teammate,9,Archaludon,,,,,,,,,
Beartic,182,teammate,10,Sinistcha,,,,,,,,,
Beartic,182,stat_alignment,1,Adamant,48.2%,Attack,Sp. Atk,,,,,,
Beartic,182,stat_alignment,2,Jolly,44.4%,Speed,Sp. Atk,,,,,,
Beartic,182,stat_alignment,3,Brave,1.5%,Attack,Speed,,,,,,
Beartic,182,stat_alignment,4,Lonely,1.3%,Attack,Defense,,,,,,
Beartic,182,stat_alignment,5,Relaxed,0.8%,Defense,Speed,,,,,,
Beartic,182,stat_alignment,6,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Beartic,182,stat_alignment,7,Naughty,0.6%,Attack,Sp. Def,,,,,,
Beartic,182,stat_alignment,8,Hasty,0.5%,Speed,Defense,,,,,,
Beartic,182,stat_alignment,9,Naive,0.3%,Speed,Sp. Def,,,,,,
Beartic,182,stat_alignment,10,Impish,0.3%,Defense,Sp. Atk,,,,,,
Beartic,182,stat_points,1,,37.2%,,,2,32,0,0,0,32
Beartic,182,stat_points,2,,12.6%,,,12,32,0,0,0,22
Beartic,182,stat_points,3,,11.8%,,,0,32,2,0,0,32
Beartic,182,stat_points,4,,5.6%,,,0,32,0,0,2,32
Beartic,182,stat_points,5,,4.3%,,,0,32,0,0,0,32
Beartic,182,stat_points,6,,1.3%,,,32,32,1,0,1,0
Beartic,182,stat_points,7,,1.2%,,,2,32,32,0,0,0
Beartic,182,stat_points,8,,1.1%,,,3,32,0,0,0,31
Beartic,182,stat_points,9,,1.1%,,,32,32,2,0,0,0
Beartic,182,stat_points,10,,0.9%,,,1,32,1,0,0,32
Beartic,182,stat_points,11,,0.8%,,,2,32,0,0,2,30
Beartic,182,stat_points,12,,0.7%,,,10,32,0,0,0,24
Beartic,182,ability,1,Slush Rush,59.9%,,,,,,,,
Beartic,182,ability,2,Swift Swim,35.8%,,,,,,,,
Beartic,182,ability,3,Snow Cloak,4.3%,,,,,,,,
