pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Beedrill,197,move,1,Poison Jab,84.5%,,,,,,,,
Beedrill,197,move,2,Protect,76.7%,,,,,,,,
Beedrill,197,move,3,U-turn,75.0%,,,,,,,,
Beedrill,197,move,4,Drill Run,61.7%,,,,,,,,
Beedrill,197,move,5,Knock Off,22.6%,,,,,,,,
Beedrill,197,move,6,Fell Stinger,18.0%,,,,,,,,
Beedrill,197,move,7,Cross Poison,14.7%,,,,,,,,
Beedrill,197,move,8,Lunge,14.6%,,,,,,,,
Beedrill,197,move,9,Brick Break,8.9%,,,,,,,,
Beedrill,197,move,10,Dual Wingbeat,4.1%,,,,,,,,
Beedrill,197,held_item,1,Beedrillite,94.9%,,,,,,,,
Beedrill,197,held_item,2,Scope Lens,1.4%,,,,,,,,
Beedrill,197,held_item,3,Leftovers,0.7%,,,,,,,,
Beedrill,197,held_item,4,Focus Sash,0.6%,,,,,,,,
Beedrill,197,held_item,5,Expert Belt,0.5%,,,,,,,,
Beedrill,197,held_item,6,Choice Scarf,0.4%,,,,,,,,
Beedrill,197,held_item,7,Silver Powder,0.3%,,,,,,,,
Beedrill,197,held_item,8,Muscle Band,0.3%,,,,,,,,
Beedrill,197,held_item,9,Poison Barb,0.2%,,,,,,,,
Beedrill,197,held_item,10,White Herb,0.1%,,,,,,,,
Beedrill,197,teammate,1,Whimsicott,,,,,,,,,
Beedrill,197,teammate,2,Incineroar,,,,,,,,,
Beedrill,197,teammate,3,Garchomp,,,,,,,,,
Beedrill,197,teammate,4,Farigiraf,,,,,,,,,
Beedrill,197,teammate,5,Kingambit,,,,,,,,,
Beedrill,197,teammate,6,Sinistcha,,,,,,,,,
Beedrill,197,teammate,7,Talonflame,,,,,,,,,
Beedrill,197,teammate,8,Milotic,,,,,,,,,
Beedrill,197,teammate,9,Pelipper,,,,,,,,,
Beedrill,197,teammate,10,Sneasler,,,,,,,,,
Beedrill,197,stat_alignment,1,Jolly,69.3%,Speed,Sp. Atk,,,,,,
Beedrill,197,stat_alignment,2,Adamant,25.9%,Attack,Sp. Atk,,,,,,
Beedrill,197,stat_alignment,3,Brave,1.8%,Attack,Speed,,,,,,
Beedrill,197,stat_alignment,4,Naive,0.5%,Speed,Sp. Def,,,,,,
Beedrill,197,stat_alignment,5,Docile,0.5%,,,,,,,,
Beedrill,197,stat_alignment,6,Lonely,0.3%,Attack,Defense,,,,,,
Beedrill,197,stat_alignment,7,Hasty,0.3%,Speed,Defense,,,,,,
Beedrill,197,stat_alignment,8,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Beedrill,197,stat_alignment,9,Naughty,0.2%,Attack,Sp. Def,,,,,,
Beedrill,197,stat_alignment,10,Sassy,0.2%,Sp. Def,Speed,,,,,,
Beedrill,197,stat_points,1,,57.6%,,,2,32,0,0,0,32
Beedrill,197,stat_points,2,,11.8%,,,0,32,2,0,0,32
Beedrill,197,stat_points,3,,10.7%,,,0,32,0,0,2,32
Beedrill,197,stat_points,4,,4.4%,,,1,32,0,0,1,32
Beedrill,197,stat_points,5,,3.8%,,,0,32,0,0,0,32
Beedrill,197,stat_points,6,,1.5%,,,9,32,0,0,0,25
Beedrill,197,stat_points,7,,1.2%,,,0,32,0,0,32,0
Beedrill,197,stat_points,8,,1.0%,,,0,24,10,0,0,32
Beedrill,197,stat_points,9,,1.0%,,,0,32,11,0,0,23
Beedrill,197,stat_points,10,,0.8%,,,0,30,0,6,0,30
Beedrill,197,stat_points,11,,0.7%,,,1,32,1,0,0,32
Beedrill,197,ability,1,Sniper,53.5%,,,,,,,,
Beedrill,197,ability,2,Swarm,46.5%,,,,,,,,
