pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Bellibolt,107,move,1,Parabolic Charge,93.7%,,,,,,,,
Bellibolt,107,move,2,Protect,73.8%,,,,,,,,
Bellibolt,107,move,3,Soak,68.9%,,,,,,,,
Bellibolt,107,move,4,Thunderbolt,37.3%,,,,,,,,
Bellibolt,107,move,5,Volt Switch,16.9%,,,,,,,,
Bellibolt,107,move,6,Muddy Water,14.6%,,,,,,,,
Bellibolt,107,move,7,Slack Off,12.7%,,,,,,,,
Bellibolt,107,move,8,Toxic,11.5%,,,,,,,,
Bellibolt,107,move,9,Acid Spray,10.0%,,,,,,,,
Bellibolt,107,move,10,Weather Ball,7.6%,,,,,,,,
Bellibolt,107,held_item,1,Leftovers,27.1%,,,,,,,,
Bellibolt,107,held_item,2,Magnet,26.2%,,,,,,,,
Bellibolt,107,held_item,3,Sitrus Berry,17.0%,,,,,,,,
Bellibolt,107,held_item,4,Life Orb,6.5%,,,,,,,,
Bellibolt,107,held_item,5,Shuca Berry,6.2%,,,,,,,,
Bellibolt,107,held_item,6,Big Root,5.0%,,,,,,,,
Bellibolt,107,held_item,7,Metronome,3.6%,,,,,,,,
Bellibolt,107,held_item,8,Shell Bell,2.4%,,,,,,,,
Bellibolt,107,held_item,9,Quick Claw,2.0%,,,,,,,,
Bellibolt,107,held_item,10,Wise Glasses,0.8%,,,,,,,,
Bellibolt,107,teammate,1,Sinistcha,,,,,,,,,
Bellibolt,107,teammate,2,Farigiraf,,,,,,,,,
Bellibolt,107,teammate,3,Raichu,,,,,,,,,
Bellibolt,107,teammate,4,Sceptile,,,,,,,,,
Bellibolt,107,teammate,5,Garchomp,,,,,,,,,
Bellibolt,107,teammate,6,Pelipper,,,,,,,,,
Bellibolt,107,teammate,7,Swampert,,,,,,,,,
Bellibolt,107,teammate,8,Incineroar,,,,,,,,,
Bellibolt,107,teammate,9,Whimsicott,,,,,,,,,
Bellibolt,107,teammate,10,Grimmsnarl,,,,,,,,,
Bellibolt,107,stat_alignment,1,Modest,40.1%,Sp. Atk,Attack,,,,,,
Bellibolt,107,stat_alignment,2,Quiet,30.6%,Sp. Atk,Speed,,,,,,
Bellibolt,107,stat_alignment,3,Bold,11.0%,Defense,Attack,,,,,,
Bellibolt,107,stat_alignment,4,Calm,8.8%,Sp. Def,Attack,,,,,,
Bellibolt,107,stat_alignment,5,Relaxed,4.9%,Defense,Speed,,,,,,
Bellibolt,107,stat_alignment,6,Sassy,2.3%,Sp. Def,Speed,,,,,,
Bellibolt,107,stat_alignment,7,Timid,1.4%,Speed,Attack,,,,,,
Bellibolt,107,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Bellibolt,107,stat_alignment,9,Serious,0.1%,,,,,,,,
Bellibolt,107,stat_alignment,10,Bashful,0.1%,,,,,,,,
Bellibolt,107,stat_points,1,,20.8%,,,32,0,0,32,2,0
Bellibolt,107,stat_points,2,,12.1%,,,32,0,2,32,0,0
Bellibolt,107,stat_points,3,,3.0%,,,2,0,32,32,0,0
Bellibolt,107,stat_points,4,,2.2%,,,32,0,2,0,32,0
Bellibolt,107,stat_points,5,,2.2%,,,2,0,32,0,32,0
Bellibolt,107,stat_points,6,,1.8%,,,2,0,0,32,32,0
Bellibolt,107,stat_points,7,,1.7%,,,32,0,32,0,2,0
Bellibolt,107,stat_points,8,,1.7%,,,0,0,2,32,32,0
Bellibolt,107,stat_points,9,,1.5%,,,0,0,32,32,2,0
Bellibolt,107,stat_points,10,,1.5%,,,32,0,0,32,0,0
Bellibolt,107,stat_points,11,,1.3%,,,8,0,32,26,0,0
Bellibolt,107,stat_points,12,,1.3%,,,0,0,13,32,1,0
Bellibolt,107,ability,1,Electromorphosis,98.0%,,,,,,,,
Bellibolt,107,ability,2,Static,1.4%,,,,,,,,
Bellibolt,107,ability,3,Damp,0.6%,,,,,,,,
