pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Blastoise,43,move,1,Water Spout,90.0%,,,,,,,,
Blastoise,43,move,2,Dark Pulse,75.4%,,,,,,,,
Blastoise,43,move,3,Aura Sphere,64.5%,,,,,,,,
Blastoise,43,move,4,Fake Out,61.4%,,,,,,,,
Blastoise,43,move,5,Protect,36.1%,,,,,,,,
Blastoise,43,move,6,Shell Smash,28.9%,,,,,,,,
Blastoise,43,move,7,Ice Beam,12.7%,,,,,,,,
Blastoise,43,move,8,Water Pulse,8.4%,,,,,,,,
Blastoise,43,move,9,Dragon Pulse,5.7%,,,,,,,,
Blastoise,43,move,10,Muddy Water,3.2%,,,,,,,,
Blastoise,43,held_item,1,Blastoisinite,91.9%,,,,,,,,
Blastoise,43,held_item,2,White Herb,2.0%,,,,,,,,
Blastoise,43,held_item,3,Mystic Water,1.4%,,,,,,,,
Blastoise,43,held_item,4,Leftovers,1.3%,,,,,,,,
Blastoise,43,held_item,5,Sitrus Berry,0.8%,,,,,,,,
Blastoise,43,held_item,6,Life Orb,0.6%,,,,,,,,
Blastoise,43,held_item,7,Choice Scarf,0.5%,,,,,,,,
Blastoise,43,held_item,8,Quick Claw,0.2%,,,,,,,,
Blastoise,43,held_item,9,Wacan Berry,0.1%,,,,,,,,
Blastoise,43,held_item,10,Rindo Berry,0.1%,,,,,,,,
Blastoise,43,teammate,1,Farigiraf,,,,,,,,,
Blastoise,43,teammate,2,Sinistcha,,,,,,,,,
Blastoise,43,teammate,3,Torkoal,,,,,,,,,
Blastoise,43,teammate,4,Kingambit,,,,,,,,,
Blastoise,43,teammate,5,Sylveon,,,,,,,,,
Blastoise,43,teammate,6,Basculegion Male,,,,,,,,,
Blastoise,43,teammate,7,Incineroar,,,,,,,,,
Blastoise,43,teammate,8,Pelipper,,,,,,,,,
Blastoise,43,teammate,9,Sneasler,,,,,,,,,
Blastoise,43,teammate,10,Staraptor,,,,,,,,,
Blastoise,43,stat_alignment,1,Modest,50.0%,Sp. Atk,Attack,,,,,,
Blastoise,43,stat_alignment,2,Quiet,43.2%,Sp. Atk,Speed,,,,,,
Blastoise,43,stat_alignment,3,Timid,3.3%,Speed,Attack,,,,,,
Blastoise,43,stat_alignment,4,Calm,0.8%,Sp. Def,Attack,,,,,,
Blastoise,43,stat_alignment,5,Bold,0.7%,Defense,Attack,,,,,,
Blastoise,43,stat_alignment,6,Sassy,0.5%,Sp. Def,Speed,,,,,,
Blastoise,43,stat_alignment,7,Relaxed,0.4%,Defense,Speed,,,,,,
Blastoise,43,stat_alignment,8,Impish,0.2%,Defense,Sp. Atk,,,,,,
Blastoise,43,stat_alignment,9,Mild,0.2%,Sp. Atk,Defense,,,,,,
Blastoise,43,stat_alignment,10,Brave,0.1%,Attack,Speed,,,,,,
Blastoise,43,stat_points,1,,32.8%,,,32,0,2,32,0,0
Blastoise,43,stat_points,2,,13.1%,,,2,0,0,32,0,32
Blastoise,43,stat_points,3,,9.3%,,,32,0,0,32,2,0
Blastoise,43,stat_points,4,,2.5%,,,32,0,0,32,0,2
Blastoise,43,stat_points,5,,2.2%,,,1,0,1,32,0,32
Blastoise,43,stat_points,6,,2.1%,,,32,0,1,32,1,0
Blastoise,43,stat_points,7,,1.8%,,,32,0,0,32,0,0
Blastoise,43,stat_points,8,,1.5%,,,0,0,2,32,0,32
Blastoise,43,stat_points,9,,1.3%,,,31,0,3,32,0,0
Blastoise,43,stat_points,10,,1.2%,,,1,0,0,32,1,32
Blastoise,43,stat_points,11,,1.1%,,,31,0,0,32,0,3
Blastoise,43,stat_points,12,,1.0%,,,5,0,0,32,0,29
Blastoise,43,ability,1,Rain Dish,68.0%,,,,,,,,
Blastoise,43,ability,2,Torrent,32.0%,,,,,,,,
