pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Blaziken,38,move,1,Close Combat,86.6%,,,,,,,,
Blaziken,38,move,2,Flare Blitz,83.2%,,,,,,,,
Blaziken,38,move,3,Rock Slide,64.2%,,,,,,,,
Blaziken,38,move,4,Detect,52.4%,,,,,,,,
Blaziken,38,move,5,Protect,45.4%,,,,,,,,
Blaziken,38,move,6,Swords Dance,8.7%,,,,,,,,
Blaziken,38,move,7,Coaching,8.0%,,,,,,,,
Blaziken,38,move,8,Heat Wave,6.5%,,,,,,,,
Blaziken,38,move,9,Aura Sphere,5.7%,,,,,,,,
Blaziken,38,move,10,Blaze Kick,5.6%,,,,,,,,
Blaziken,38,held_item,1,Blazikenite,81.0%,,,,,,,,
Blaziken,38,held_item,2,Focus Sash,9.0%,,,,,,,,
Blaziken,38,held_item,3,Life Orb,4.4%,,,,,,,,
Blaziken,38,held_item,4,White Herb,0.9%,,,,,,,,
Blaziken,38,held_item,5,Sitrus Berry,0.6%,,,,,,,,
Blaziken,38,held_item,6,Expert Belt,0.6%,,,,,,,,
Blaziken,38,held_item,7,Muscle Band,0.5%,,,,,,,,
Blaziken,38,held_item,8,Wide Lens,0.5%,,,,,,,,
Blaziken,38,held_item,9,Charcoal,0.2%,,,,,,,,
Blaziken,38,held_item,10,Scope Lens,0.2%,,,,,,,,
Blaziken,38,teammate,1,Basculegion Male,,,,,,,,,
Blaziken,38,teammate,2,Kingambit,,,,,,,,,
Blaziken,38,teammate,3,Sylveon,,,,,,,,,
Blaziken,38,teammate,4,Aerodactyl,,,,,,,,,
Blaziken,38,teammate,5,Whimsicott,,,,,,,,,
Blaziken,38,teammate,6,Metagross,,,,,,,,,
Blaziken,38,teammate,7,Sinistcha,,,,,,,,,
Blaziken,38,teammate,8,Garchomp,,,,,,,,,
Blaziken,38,teammate,9,Farigiraf,,,,,,,,,
Blaziken,38,teammate,10,Torkoal,,,,,,,,,
Blaziken,38,stat_alignment,1,Adamant,80.8%,Attack,Sp. Atk,,,,,,
Blaziken,38,stat_alignment,2,Jolly,8.3%,Speed,Sp. Atk,,,,,,
Blaziken,38,stat_alignment,3,Modest,3.1%,Sp. Atk,Attack,,,,,,
Blaziken,38,stat_alignment,4,Timid,2.9%,Speed,Attack,,,,,,
Blaziken,38,stat_alignment,5,Naive,1.3%,Speed,Sp. Def,,,,,,
Blaziken,38,stat_alignment,6,Naughty,0.7%,Attack,Sp. Def,,,,,,
Blaziken,38,stat_alignment,7,Lonely,0.6%,Attack,Defense,,,,,,
Blaziken,38,stat_alignment,8,Impish,0.5%,Defense,Sp. Atk,,,,,,
Blaziken,38,stat_alignment,9,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Blaziken,38,stat_alignment,10,Brave,0.3%,Attack,Speed,,,,,,
Blaziken,38,stat_points,1,,61.3%,,,2,32,0,0,0,32
Blaziken,38,stat_points,2,,3.8%,,,2,0,0,32,0,32
Blaziken,38,stat_points,3,,3.6%,,,0,32,2,0,0,32
Blaziken,38,stat_points,4,,2.3%,,,0,32,0,0,2,32
Blaziken,38,stat_points,5,,1.7%,,,0,32,0,0,0,32
Blaziken,38,stat_points,6,,1.4%,,,32,32,0,0,0,2
Blaziken,38,stat_points,7,,1.2%,,,0,32,0,2,0,32
Blaziken,38,stat_points,8,,0.9%,,,32,11,0,0,6,17
Blaziken,38,stat_points,9,,0.7%,,,0,32,1,0,1,32
Blaziken,38,stat_points,10,,0.7%,,,32,32,2,0,0,0
Blaziken,38,stat_points,11,,0.7%,,,10,32,0,0,0,24
Blaziken,38,stat_points,12,,0.7%,,,1,32,1,0,0,32
Blaziken,38,ability,1,Speed Boost,97.8%,,,,,,,,
Blaziken,38,ability,2,Blaze,2.2%,,,,,,,,
