pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Camerupt,67,move,1,Earth Power,96.1%,,,,,,,,
Camerupt,67,move,2,Protect,88.9%,,,,,,,,
Camerupt,67,move,3,Heat Wave,78.2%,,,,,,,,
Camerupt,67,move,4,Eruption,65.9%,,,,,,,,
Camerupt,67,move,5,Ancient Power,42.5%,,,,,,,,
Camerupt,67,move,6,Solar Beam,4.5%,,,,,,,,
Camerupt,67,move,7,Flamethrower,4.1%,,,,,,,,
Camerupt,67,move,8,Flash Cannon,3.9%,,,,,,,,
Camerupt,67,move,9,Rock Slide,3.2%,,,,,,,,
Camerupt,67,move,10,Lava Plume,1.8%,,,,,,,,
Camerupt,67,held_item,1,Cameruptite,95.6%,,,,,,,,
Camerupt,67,held_item,2,Sitrus Berry,1.0%,,,,,,,,
Camerupt,67,held_item,3,Life Orb,0.6%,,,,,,,,
Camerupt,67,held_item,4,Choice Scarf,0.5%,,,,,,,,
Camerupt,67,held_item,5,Charcoal,0.4%,,,,,,,,
Camerupt,67,held_item,6,Focus Sash,0.3%,,,,,,,,
Camerupt,67,held_item,7,Expert Belt,0.2%,,,,,,,,
Camerupt,67,held_item,8,Wide Lens,0.2%,,,,,,,,
Camerupt,67,held_item,9,Quick Claw,0.2%,,,,,,,,
Camerupt,67,held_item,10,Wise Glasses,0.1%,,,,,,,,
Camerupt,67,teammate,1,Farigiraf,,,,,,,,,
Camerupt,67,teammate,2,Kingambit,,,,,,,,,
Camerupt,67,teammate,3,Staraptor,,,,,,,,,
Camerupt,67,teammate,4,Kangaskhan,,,,,,,,,
Camerupt,67,teammate,5,Primarina,,,,,,,,,
Camerupt,67,teammate,6,Sinistcha,,,,,,,,,
Camerupt,67,teammate,7,Sylveon,,,,,,,,,
Camerupt,67,teammate,8,Incineroar,,,,,,,,,
Camerupt,67,teammate,9,Torkoal,,,,,,,,,
Camerupt,67,teammate,10,Mawile,,,,,,,,,
Camerupt,67,stat_alignment,1,Quiet,86.7%,Sp. Atk,Speed,,,,,,
Camerupt,67,stat_alignment,2,Modest,9.3%,Sp. Atk,Attack,,,,,,
Camerupt,67,stat_alignment,3,Naive,0.9%,Speed,Sp. Def,,,,,,
Camerupt,67,stat_alignment,4,Jolly,0.7%,Speed,Sp. Atk,,,,,,
Camerupt,67,stat_alignment,5,Relaxed,0.6%,Defense,Speed,,,,,,
Camerupt,67,stat_alignment,6,Bold,0.4%,Defense,Attack,,,,,,
Camerupt,67,stat_alignment,7,Mild,0.3%,Sp. Atk,Defense,,,,,,
Camerupt,67,stat_alignment,8,Sassy,0.3%,Sp. Def,Speed,,,,,,
Camerupt,67,stat_alignment,9,Brave,0.2%,Attack,Speed,,,,,,
Camerupt,67,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Camerupt,67,stat_points,1,,54.9%,,,32,0,2,32,0,0
Camerupt,67,stat_points,2,,13.0%,,,32,0,0,32,2,0
Camerupt,67,stat_points,3,,4.4%,,,32,0,1,32,1,0
Camerupt,67,stat_points,4,,2.5%,,,29,0,0,32,0,5
Camerupt,67,stat_points,5,,2.1%,,,32,0,0,32,0,0
Camerupt,67,stat_points,6,,1.5%,,,32,0,0,32,0,2
Camerupt,67,stat_points,7,,1.4%,,,30,0,4,32,0,0
Camerupt,67,stat_points,8,,1.1%,,,19,0,10,32,5,0
Camerupt,67,stat_points,9,,1.0%,,,0,0,32,32,2,0
Camerupt,67,stat_points,10,,0.9%,,,2,0,32,32,0,0
Camerupt,67,stat_points,11,,0.9%,,,2,0,0,32,32,0
Camerupt,67,stat_points,12,,0.9%,,,32,0,0,0,0,0
Camerupt,67,ability,1,Solid Rock,91.2%,,,,,,,,
Camerupt,67,ability,2,Magma Armor,4.9%,,,,,,,,
Camerupt,67,ability,3,Anger Point,3.9%,,,,,,,,
