pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Castform,224,move,1,Weather Ball,93.4%,,,,,,,,
Castform,224,move,2,Blizzard,51.2%,,,,,,,,
Castform,224,move,3,Protect,36.9%,,,,,,,,
Castform,224,move,4,Thunder,31.4%,,,,,,,,
Castform,224,move,5,Solar Beam,31.1%,,,,,,,,
Castform,224,move,6,Icy Wind,26.9%,,,,,,,,
Castform,224,move,7,Attract,21.9%,,,,,,,,
Castform,224,move,8,Rain Dance,19.4%,,,,,,,,
Castform,224,move,9,Hurricane,17.4%,,,,,,,,
Castform,224,move,10,Sunny Day,12.3%,,,,,,,,
Castform,224,held_item,1,Quick Claw,23.9%,,,,,,,,
Castform,224,held_item,2,Choice Scarf,21.4%,,,,,,,,
Castform,224,held_item,3,Focus Sash,20.1%,,,,,,,,
Castform,224,held_item,4,Bright Powder,7.6%,,,,,,,,
Castform,224,held_item,5,Life Orb,5.8%,,,,,,,,
Castform,224,held_item,6,King's Rock,4.5%,,,,,,,,
Castform,224,held_item,7,Leftovers,3.8%,,,,,,,,
Castform,224,held_item,8,Wise Glasses,2.6%,,,,,,,,
Castform,224,held_item,9,Focus Band,2.1%,,,,,,,,
Castform,224,held_item,10,Shell Bell,2.0%,,,,,,,,
Castform,224,teammate,1,Charizard,,,,,,,,,
Castform,224,teammate,2,Whimsicott,,,,,,,,,
Castform,224,teammate,3,Pelipper,,,,,,,,,
Castform,224,teammate,4,Sableye,,,,,,,,,
Castform,224,teammate,5,Staraptor,,,,,,,,,
Castform,224,stat_alignment,1,Modest,58.2%,Sp. Atk,Attack,,,,,,
Castform,224,stat_alignment,2,Timid,30.2%,Speed,Attack,,,,,,
Castform,224,stat_alignment,3,Calm,4.9%,Sp. Def,Attack,,,,,,
Castform,224,stat_alignment,4,Quiet,2.8%,Sp. Atk,Speed,,,,,,
Castform,224,stat_alignment,5,Mild,2.1%,Sp. Atk,Defense,,,,,,
Castform,224,stat_points,1,,34.7%,,,2,0,0,32,0,32
Castform,224,stat_points,2,,23.6%,,,32,0,1,32,1,0
Castform,224,stat_points,3,,4.2%,,,2,0,32,32,0,0
Castform,224,stat_points,4,,4.0%,,,32,0,2,32,0,0
Castform,224,stat_points,5,,3.8%,,,32,0,0,32,0,2
Castform,224,stat_points,6,,3.3%,,,32,0,0,32,2,0
Castform,224,stat_points,7,,3.0%,,,0,0,19,32,5,10
Castform,224,stat_points,8,,3.0%,,,32,0,0,32,0,0
Castform,224,stat_points,9,,2.6%,,,0,0,2,32,0,32
Castform,224,stat_points,10,,2.5%,,,0,0,0,32,0,32
Castform,224,stat_points,11,,2.5%,,,0,0,0,32,2,32
Castform,224,stat_points,12,,2.2%,,,0,0,20,32,10,4
Castform,224,ability,1,Forecast,100.0%,,,,,,,,
