pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ceruledge,58,move,1,Bitter Blade,99.7%,,,,,,,,
Ceruledge,58,move,2,Shadow Sneak,85.8%,,,,,,,,
Ceruledge,58,move,3,Protect,,,,,,,,,
Ceruledge,58,move,4,Bulk Up,56.4%,,,,,,,,
Ceruledge,58,move,5,Swords Dance,18.9%,,,,,,,,
Ceruledge,58,move,6,Poltergeist,18.4%,,,,,,,,
Ceruledge,58,move,7,Close Combat,8.5%,,,,,,,,
Ceruledge,58,move,8,Shadow Claw,4.0%,,,,,,,,
Ceruledge,58,move,9,Phantom Force,3.8%,,,,,,,,
Ceruledge,58,move,10,Solar Blade,3.1%,,,,,,,,
Ceruledge,58,held_item,1,Colbur Berry,32.7%,,,,,,,,
Ceruledge,58,held_item,2,Focus Sash,13.6%,,,,,,,,
Ceruledge,58,held_item,3,Life Orb,11.2%,,,,,,,,
Ceruledge,58,held_item,4,Sitrus Berry,10.5%,,,,,,,,
Ceruledge,58,held_item,5,Leftovers,9.4%,,,,,,,,
Ceruledge,58,held_item,6,Charcoal,2.7%,,,,,,,,
Ceruledge,58,held_item,7,Kasib Berry,2.1%,,,,,,,,
Ceruledge,58,held_item,8,Choice Scarf,1.9%,,,,,,,,
Ceruledge,58,held_item,9,White Herb,1.6%,,,,,,,,
Ceruledge,58,held_item,10,Big Root,1.4%,,,,,,,,
Ceruledge,58,teammate,1,Sinistcha,,,,,,,,,
Ceruledge,58,teammate,2,Milotic,,,,,,,,,
Ceruledge,58,teammate,3,Raichu,,,,,,,,,
Ceruledge,58,teammate,4,Incineroar,,,,,,,,,
Ceruledge,58,teammate,5,Whimsicott,,,,,,,,,
Ceruledge,58,teammate,6,Garchomp,,,,,,,,,
Ceruledge,58,teammate,7,Sneasler,,,,,,,,,
Ceruledge,58,teammate,8,Floette,,,,,,,,,
Ceruledge,58,teammate,9,Metagross,,,,,,,,,
Ceruledge,58,teammate,10,Alolan Ninetales,,,,,,,,,
Ceruledge,58,stat_alignment,1,Adamant,79.6%,Attack,Sp. Atk,,,,,,
Ceruledge,58,stat_alignment,2,Jolly,11.7%,Speed,Sp. Atk,,,,,,
Ceruledge,58,stat_alignment,3,Brave,2.4%,Attack,Speed,,,,,,
Ceruledge,58,stat_alignment,4,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,
Ceruledge,58,stat_alignment,5,Impish,2.0%,Defense,Sp. Atk,,,,,,
Ceruledge,58,stat_alignment,6,Naughty,0.6%,Attack,Sp. Def,,,,,,
Ceruledge,58,stat_alignment,7,Relaxed,0.3%,Defense,Speed,,,,,,
Ceruledge,58,stat_alignment,8,Lonely,0.3%,Attack,Defense,,,,,,
Ceruledge,58,stat_alignment,9,Sassy,0.2%,Sp. Def,Speed,,,,,,
Ceruledge,58,stat_alignment,10,Naive,0.2%,Speed,Sp. Def,,,,,,
Ceruledge,58,stat_points,1,,12.9%,,,2,32,0,0,0,32
Ceruledge,58,stat_points,2,,8.6%,,,31,25,10,0,0,0
Ceruledge,58,stat_points,3,,5.9%,,,32,32,2,0,0,0
Ceruledge,58,stat_points,4,,5.8%,,,27,20,18,0,1,0
Ceruledge,58,stat_points,5,,5.5%,,,31,1,26,0,0,8
Ceruledge,58,stat_points,6,,3.7%,,,32,32,0,0,0,2
Ceruledge,58,stat_points,7,,3.5%,,,0,32,2,0,0,32
Ceruledge,58,stat_points,8,,3.2%,,,18,15,7,0,2,24
Ceruledge,58,stat_points,9,,3.2%,,,0,32,0,0,2,32
Ceruledge,58,stat_points,10,,2.8%,,,32,32,0,0,2,0
Ceruledge,58,stat_points,11,,1.9%,,,1,32,1,0,0,32
Ceruledge,58,stat_points,12,,1.7%,,,30,32,0,0,0,4
Ceruledge,58,ability,1,Flash Fire,88.5%,,,,,,,,
Ceruledge,58,ability,2,Weak Armor,11.5%,,,,,,,,
