pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Charizard,7,move,1,Protect,96.2%,,,,,,,,
Charizard,7,move,2,Heat Wave,95.7%,,,,,,,,
Charizard,7,move,3,Solar Beam,93.0%,,,,,,,,
Charizard,7,move,4,Weather Ball,73.3%,,,,,,,,
Charizard,7,move,5,Air Slash,11.5%,,,,,,,,
Charizard,7,move,6,Ancient Power,3.7%,,,,,,,,
Charizard,7,move,7,Dragon Pulse,3.6%,,,,,,,,
Charizard,7,move,8,Overheat,2.6%,,,,,,,,
Charizard,7,move,9,Flare Blitz,2.5%,,,,,,,,
Charizard,7,move,10,Dragon Claw,2.5%,,,,,,,,
Charizard,7,held_item,1,Charizardite Y,96.0%,,,,,,,,
Charizard,7,held_item,2,Charizardite X,2.8%,,,,,,,,
Charizard,7,held_item,3,Choice Scarf,0.2%,,,,,,,,
Charizard,7,held_item,4,Life Orb,0.2%,,,,,,,,
Charizard,7,held_item,5,Charcoal,0.1%,,,,,,,,
Charizard,7,held_item,6,Charti Berry,0.1%,,,,,,,,
Charizard,7,held_item,7,Focus Sash,0.0%,,,,,,,,
Charizard,7,held_item,8,Sitrus Berry,0.0%,,,,,,,,
Charizard,7,held_item,9,Iron Ball,0.0%,,,,,,,,
Charizard,7,held_item,10,Wide Lens,0.0%,,,,,,,,
Charizard,7,teammate,1,Garchomp,,,,,,,,,
Charizard,7,teammate,2,Whimsicott,,,,,,,,,
Charizard,7,teammate,3,Basculegion Male,,,,,,,,,
Charizard,7,teammate,4,Kingambit,,,,,,,,,
Charizard,7,teammate,5,Sylveon,,,,,,,,,
Charizard,7,teammate,6,Incineroar,,,,,,,,,
Charizard,7,teammate,7,Sneasler,,,,,,,,,
Charizard,7,teammate,8,Aerodactyl,,,,,,,,,
Charizard,7,teammate,9,Venusaur,,,,,,,,,
Charizard,7,teammate,10,Floette,,,,,,,,,
Charizard,7,stat_alignment,1,Modest,68.2%,Sp. Atk,Attack,,,,,,
Charizard,7,stat_alignment,2,Timid,26.0%,Speed,Attack,,,,,,
Charizard,7,stat_alignment,3,Adamant,2.7%,Attack,Sp. Atk,,,,,,
Charizard,7,stat_alignment,4,Quiet,0.9%,Sp. Atk,Speed,,,,,,
Charizard,7,stat_alignment,5,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Charizard,7,stat_alignment,6,Bold,0.4%,Defense,Attack,,,,,,
Charizard,7,stat_alignment,7,Mild,0.3%,Sp. Atk,Defense,,,,,,
Charizard,7,stat_alignment,8,Hasty,0.2%,Speed,Defense,,,,,,
Charizard,7,stat_alignment,9,Calm,0.1%,Sp. Def,Attack,,,,,,
Charizard,7,stat_alignment,10,Rash,0.1%,Sp. Atk,Sp. Def,,,,,,
Charizard,7,stat_points,1,,35.5%,,,2,0,0,32,0,32
Charizard,7,stat_points,2,,4.8%,,,0,0,2,32,0,32
Charizard,7,stat_points,3,,3.1%,,,20,0,29,1,0,16
Charizard,7,stat_points,4,,2.8%,,,0,0,0,32,2,32
Charizard,7,stat_points,5,,2.4%,,,16,0,25,12,0,13
Charizard,7,stat_points,6,,2.0%,,,24,0,14,11,0,17
Charizard,7,stat_points,7,,1.6%,,,2,32,0,0,0,32
Charizard,7,stat_points,8,,1.5%,,,14,0,28,11,0,13
Charizard,7,stat_points,9,,1.4%,,,0,0,0,32,0,32
Charizard,7,stat_points,10,,1.4%,,,15,0,18,1,0,32
Charizard,7,stat_points,11,,1.3%,,,32,0,9,12,0,13
Charizard,7,stat_points,12,,1.1%,,,30,0,30,1,0,5
Charizard,7,ability,1,Blaze,75.4%,,,,,,,,
Charizard,7,ability,2,Solar Power,24.6%,,,,,,,,
