pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Chesnaught,146,move,1,Spiky Shield,80.5%,,,,,,,,
Chesnaught,146,move,2,Body Press,67.3%,,,,,,,,
Chesnaught,146,move,3,Wood Hammer,51.2%,,,,,,,,
Chesnaught,146,move,4,Iron Defense,35.8%,,,,,,,,
Chesnaught,146,move,5,Drain Punch,24.3%,,,,,,,,
Chesnaught,146,move,6,Wide Guard,22.9%,,,,,,,,
Chesnaught,146,move,7,Leech Seed,15.7%,,,,,,,,
Chesnaught,146,move,8,Seed Bomb,14.8%,,,,,,,,
Chesnaught,146,move,9,Belly Drum,8.8%,,,,,,,,
Chesnaught,146,move,10,Grassy Glide,7.9%,,,,,,,,
Chesnaught,146,held_item,1,Chesnaughtite,79.9%,,,,,,,,
Chesnaught,146,held_item,2,Leftovers,7.9%,,,,,,,,
Chesnaught,146,held_item,3,Sitrus Berry,3.8%,,,,,,,,
Chesnaught,146,held_item,4,Roseli Berry,1.4%,,,,,,,,
Chesnaught,146,held_item,5,Coba Berry,1.1%,,,,,,,,
Chesnaught,146,held_item,6,Big Root,1.1%,,,,,,,,
Chesnaught,146,held_item,7,White Herb,0.8%,,,,,,,,
Chesnaught,146,held_item,8,Life Orb,0.6%,,,,,,,,
Chesnaught,146,held_item,9,Quick Claw,0.6%,,,,,,,,
Chesnaught,146,held_item,10,Focus Sash,0.5%,,,,,,,,
Chesnaught,146,teammate,1,Farigiraf,,,,,,,,,
Chesnaught,146,teammate,2,Incineroar,,,,,,,,,
Chesnaught,146,teammate,3,Sinistcha,,,,,,,,,
Chesnaught,146,teammate,4,Kingambit,,,,,,,,,
Chesnaught,146,teammate,5,Whimsicott,,,,,,,,,
Chesnaught,146,teammate,6,Pelipper,,,,,,,,,
Chesnaught,146,teammate,7,Torkoal,,,,,,,,,
Chesnaught,146,teammate,8,Basculegion Male,,,,,,,,,
Chesnaught,146,teammate,9,Archaludon,,,,,,,,,
Chesnaught,146,teammate,10,Garchomp,,,,,,,,,
Chesnaught,146,stat_alignment,1,Impish,32.1%,Defense,Sp. Atk,,,,,,
Chesnaught,146,stat_alignment,2,Relaxed,23.0%,Defense,Speed,,,,,,
Chesnaught,146,stat_alignment,3,Brave,15.5%,Attack,Speed,,,,,,
Chesnaught,146,stat_alignment,4,Adamant,12.4%,Attack,Sp. Atk,,,,,,
Chesnaught,146,stat_alignment,5,Careful,9.3%,Sp. Def,Sp. Atk,,,,,,
Chesnaught,146,stat_alignment,6,Sassy,4.4%,Sp. Def,Speed,,,,,,
Chesnaught,146,stat_alignment,7,Bold,0.8%,Defense,Attack,,,,,,
Chesnaught,146,stat_alignment,8,Jolly,0.6%,Speed,Sp. Atk,,,,,,
Chesnaught,146,stat_alignment,9,Naughty,0.6%,Attack,Sp. Def,,,,,,
Chesnaught,146,stat_alignment,10,Calm,0.5%,Sp. Def,Attack,,,,,,
Chesnaught,146,stat_points,1,,15.7%,,,32,0,32,0,2,0
Chesnaught,146,stat_points,2,,8.1%,,,32,0,8,0,26,0
Chesnaught,146,stat_points,3,,7.9%,,,32,32,0,0,2,0
Chesnaught,146,stat_points,4,,6.0%,,,32,0,2,0,32,0
Chesnaught,146,stat_points,5,,5.1%,,,32,2,32,0,0,0
Chesnaught,146,stat_points,6,,3.4%,,,2,32,32,0,0,0
Chesnaught,146,stat_points,7,,3.1%,,,32,32,2,0,0,0
Chesnaught,146,stat_points,8,,2.5%,,,32,0,18,0,16,0
Chesnaught,146,stat_points,9,,2.1%,,,2,0,32,0,32,0
Chesnaught,146,stat_points,10,,2.0%,,,32,0,28,0,6,0
Chesnaught,146,ability,1,Bulletproof,89.6%,,,,,,,,
Chesnaught,146,ability,2,Overgrow,10.4%,,,,,,,,
