pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Clefable,61,move,1,Follow Me,87.3%,,,,,,,,
Clefable,61,move,2,Moonblast,78.6%,,,,,,,,
Clefable,61,move,3,Protect,59.0%,,,,,,,,
Clefable,61,move,4,Life Dew,30.5%,,,,,,,,
Clefable,61,move,5,Helping Hand,29.4%,,,,,,,,
Clefable,61,move,6,Dazzling Gleam,11.3%,,,,,,,,
Clefable,61,move,7,Cosmic Power,9.8%,,,,,,,,
Clefable,61,move,8,Icy Wind,8.5%,,,,,,,,
Clefable,61,move,9,Moonlight,8.2%,,,,,,,,
Clefable,61,move,10,Psych Up,5.4%,,,,,,,,
Clefable,61,held_item,1,Sitrus Berry,42.1%,,,,,,,,
Clefable,61,held_item,2,Leftovers,24.2%,,,,,,,,
Clefable,61,held_item,3,Clefablite,13.9%,,,,,,,,
Clefable,61,held_item,4,Fairy Feather,4.8%,,,,,,,,
Clefable,61,held_item,5,Life Orb,3.1%,,,,,,,,
Clefable,61,held_item,6,Babiri Berry,2.4%,,,,,,,,
Clefable,61,held_item,7,Bright Powder,1.8%,,,,,,,,
Clefable,61,held_item,8,Mental Herb,1.7%,,,,,,,,
Clefable,61,held_item,9,Focus Sash,1.3%,,,,,,,,
Clefable,61,held_item,10,Light Clay,0.9%,,,,,,,,
Clefable,61,teammate,1,Garchomp,,,,,,,,,
Clefable,61,teammate,2,Kingambit,,,,,,,,,
Clefable,61,teammate,3,Sinistcha,,,,,,,,,
Clefable,61,teammate,4,Basculegion Male,,,,,,,,,
Clefable,61,teammate,5,Sneasler,,,,,,,,,
Clefable,61,teammate,6,Incineroar,,,,,,,,,
Clefable,61,teammate,7,Whimsicott,,,,,,,,,
Clefable,61,teammate,8,Raichu,,,,,,,,,
Clefable,61,teammate,9,Pelipper,,,,,,,,,
Clefable,61,teammate,10,Metagross,,,,,,,,,
Clefable,61,stat_alignment,1,Bold,53.8%,Defense,Attack,,,,,,
Clefable,61,stat_alignment,2,Calm,15.9%,Sp. Def,Attack,,,,,,
Clefable,61,stat_alignment,3,Modest,15.3%,Sp. Atk,Attack,,,,,,
Clefable,61,stat_alignment,4,Quiet,5.8%,Sp. Atk,Speed,,,,,,
Clefable,61,stat_alignment,5,Relaxed,5.0%,Defense,Speed,,,,,,
Clefable,61,stat_alignment,6,Sassy,2.0%,Sp. Def,Speed,,,,,,
Clefable,61,stat_alignment,7,Timid,1.1%,Speed,Attack,,,,,,
Clefable,61,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Clefable,61,stat_alignment,9,Impish,0.3%,Defense,Sp. Atk,,,,,,
Clefable,61,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Clefable,61,stat_points,1,,22.0%,,,32,0,32,0,2,0
Clefable,61,stat_points,2,,9.4%,,,32,0,27,0,7,0
Clefable,61,stat_points,3,,3.8%,,,32,0,2,32,0,0
Clefable,61,stat_points,4,,2.9%,,,32,0,17,0,12,5
Clefable,61,stat_points,5,,2.7%,,,2,0,32,0,32,0
Clefable,61,stat_points,6,,2.5%,,,32,0,32,2,0,0
Clefable,61,stat_points,7,,2.1%,,,32,0,17,0,17,0
Clefable,61,stat_points,8,,2.0%,,,32,0,20,0,14,0
Clefable,61,stat_points,9,,1.9%,,,32,0,0,32,2,0
Clefable,61,stat_points,10,,1.5%,,,32,0,12,22,0,0
Clefable,61,stat_points,11,,1.5%,,,2,0,32,32,0,0
Clefable,61,stat_points,12,,1.4%,,,32,0,32,0,0,0
Clefable,61,ability,1,Unaware,80.2%,,,,,,,,
Clefable,61,ability,2,Magic Guard,17.0%,,,,,,,,
Clefable,61,ability,3,Cute Charm,2.8%,,,,,,,,
