pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Cofagrigus,126,move,1,Trick Room,89.5%,,,,,,,,
Cofagrigus,126,move,2,Will-O-Wisp,64.0%,,,,,,,,
Cofagrigus,126,move,3,Shadow Ball,55.7%,,,,,,,,
Cofagrigus,126,move,4,Body Press,38.1%,,,,,,,,
Cofagrigus,126,move,5,Ally Switch,23.9%,,,,,,,,
Cofagrigus,126,move,6,Protect,21.5%,,,,,,,,
Cofagrigus,126,move,7,Hex,16.8%,,,,,,,,
Cofagrigus,126,move,8,Destiny Bond,11.6%,,,,,,,,
Cofagrigus,126,move,9,Haze,10.4%,,,,,,,,
Cofagrigus,126,move,10,Iron Defense,8.7%,,,,,,,,
Cofagrigus,126,held_item,1,Leftovers,33.2%,,,,,,,,
Cofagrigus,126,held_item,2,Mental Herb,24.2%,,,,,,,,
Cofagrigus,126,held_item,3,Sitrus Berry,20.6%,,,,,,,,
Cofagrigus,126,held_item,4,Colbur Berry,8.8%,,,,,,,,
Cofagrigus,126,held_item,5,Focus Sash,3.1%,,,,,,,,
Cofagrigus,126,held_item,6,Kasib Berry,2.5%,,,,,,,,
Cofagrigus,126,held_item,7,Spell Tag,1.2%,,,,,,,,
Cofagrigus,126,held_item,8,Quick Claw,0.7%,,,,,,,,
Cofagrigus,126,held_item,9,Wide Lens,0.7%,,,,,,,,
Cofagrigus,126,held_item,10,Bright Powder,0.7%,,,,,,,,
Cofagrigus,126,teammate,1,Torkoal,,,,,,,,,
Cofagrigus,126,teammate,2,Kingambit,,,,,,,,,
Cofagrigus,126,teammate,3,Mawile,,,,,,,,,
Cofagrigus,126,teammate,4,Farigiraf,,,,,,,,,
Cofagrigus,126,teammate,5,Incineroar,,,,,,,,,
Cofagrigus,126,teammate,6,Sinistcha,,,,,,,,,
Cofagrigus,126,teammate,7,Sylveon,,,,,,,,,
Cofagrigus,126,teammate,8,Tyranitar,,,,,,,,,
Cofagrigus,126,teammate,9,Eelektross,,,,,,,,,
Cofagrigus,126,teammate,10,Drampa,,,,,,,,,
Cofagrigus,126,stat_alignment,1,Relaxed,34.8%,Defense,Speed,,,,,,
Cofagrigus,126,stat_alignment,2,Sassy,21.1%,Sp. Def,Speed,,,,,,
Cofagrigus,126,stat_alignment,3,Bold,14.6%,Defense,Attack,,,,,,
Cofagrigus,126,stat_alignment,4,Calm,11.4%,Sp. Def,Attack,,,,,,
Cofagrigus,126,stat_alignment,5,Quiet,8.6%,Sp. Atk,Speed,,,,,,
Cofagrigus,126,stat_alignment,6,Modest,8.3%,Sp. Atk,Attack,,,,,,
Cofagrigus,126,stat_alignment,7,Careful,0.7%,Sp. Def,Sp. Atk,,,,,,
Cofagrigus,126,stat_alignment,8,Impish,0.3%,Defense,Sp. Atk,,,,,,
Cofagrigus,126,stat_alignment,9,Timid,0.2%,Speed,Attack,,,,,,
Cofagrigus,126,stat_alignment,10,Naughty,0.1%,Attack,Sp. Def,,,,,,
Cofagrigus,126,stat_points,1,,14.3%,,,32,0,2,0,32,0
Cofagrigus,126,stat_points,2,,12.2%,,,32,0,32,0,2,0
Cofagrigus,126,stat_points,3,,6.0%,,,2,0,32,0,32,0
Cofagrigus,126,stat_points,4,,4.6%,,,32,0,9,0,25,0
Cofagrigus,126,stat_points,5,,2.8%,,,32,0,0,32,2,0
Cofagrigus,126,stat_points,6,,2.7%,,,32,0,32,2,0,0
Cofagrigus,126,stat_points,7,,2.5%,,,0,0,2,32,32,0
Cofagrigus,126,stat_points,8,,2.4%,,,32,0,15,0,19,0
Cofagrigus,126,stat_points,9,,2.4%,,,32,0,2,32,0,0
Cofagrigus,126,stat_points,10,,2.2%,,,32,0,0,2,32,0
Cofagrigus,126,stat_points,11,,2.0%,,,32,0,5,0,29,0
Cofagrigus,126,stat_points,12,,2.0%,,,32,0,32,0,0,0
Cofagrigus,126,ability,1,Mummy,100.0%,,,,,,,,
