pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Corviknight,52,move,1,Brave Bird,72.3%,,,,,,,,
Corviknight,52,move,2,Roost,60.3%,,,,,,,,
Corviknight,52,move,3,Tailwind,57.0%,,,,,,,,
Corviknight,52,move,4,Body Press,53.1%,,,,,,,,
Corviknight,52,move,5,Iron Head,49.7%,,,,,,,,
Corviknight,52,move,6,Bulk Up,32.8%,,,,,,,,
Corviknight,52,move,7,Iron Defense,30.5%,,,,,,,,
Corviknight,52,move,8,Protect,20.5%,,,,,,,,
Corviknight,52,move,9,Taunt,4.7%,,,,,,,,
Corviknight,52,move,10,U-turn,4.2%,,,,,,,,
Corviknight,52,held_item,1,Leftovers,71.8%,,,,,,,,
Corviknight,52,held_item,2,Sitrus Berry,12.9%,,,,,,,,
Corviknight,52,held_item,3,Occa Berry,5.8%,,,,,,,,
Corviknight,52,held_item,4,Quick Claw,1.2%,,,,,,,,
Corviknight,52,held_item,5,Sharp Beak,1.1%,,,,,,,,
Corviknight,52,held_item,6,Focus Sash,1.0%,,,,,,,,
Corviknight,52,held_item,7,Lum Berry,0.9%,,,,,,,,
Corviknight,52,held_item,8,Bright Powder,0.8%,,,,,,,,
Corviknight,52,held_item,9,Life Orb,0.8%,,,,,,,,
Corviknight,52,held_item,10,Wacan Berry,0.6%,,,,,,,,
Corviknight,52,teammate,1,Tyranitar,,,,,,,,,
Corviknight,52,teammate,2,Garchomp,,,,,,,,,
Corviknight,52,teammate,3,Sinistcha,,,,,,,,,
Corviknight,52,teammate,4,Incineroar,,,,,,,,,
Corviknight,52,teammate,5,Excadrill,,,,,,,,,
Corviknight,52,teammate,6,Raichu,,,,,,,,,
Corviknight,52,teammate,7,Whimsicott,,,,,,,,,
Corviknight,52,teammate,8,Rotom Wash,,,,,,,,,
Corviknight,52,teammate,9,Sneasler,,,,,,,,,
Corviknight,52,teammate,10,Basculegion Male,,,,,,,,,
Corviknight,52,stat_alignment,1,Impish,47.7%,Defense,Sp. Atk,,,,,,
Corviknight,52,stat_alignment,2,Adamant,22.8%,Attack,Sp. Atk,,,,,,
Corviknight,52,stat_alignment,3,Careful,21.1%,Sp. Def,Sp. Atk,,,,,,
Corviknight,52,stat_alignment,4,Jolly,2.6%,Speed,Sp. Atk,,,,,,
Corviknight,52,stat_alignment,5,Relaxed,2.0%,Defense,Speed,,,,,,
Corviknight,52,stat_alignment,6,Brave,1.6%,Attack,Speed,,,,,,
Corviknight,52,stat_alignment,7,Sassy,0.6%,Sp. Def,Speed,,,,,,
Corviknight,52,stat_alignment,8,Bold,0.5%,Defense,Attack,,,,,,
Corviknight,52,stat_alignment,9,Lonely,0.2%,Attack,Defense,,,,,,
Corviknight,52,stat_alignment,10,Naughty,0.2%,Attack,Sp. Def,,,,,,
Corviknight,52,stat_points,1,,12.2%,,,32,0,32,0,0,2
Corviknight,52,stat_points,2,,11.7%,,,32,0,32,0,2,0
Corviknight,52,stat_points,3,,3.1%,,,27,11,1,0,5,22
Corviknight,52,stat_points,4,,3.0%,,,32,2,32,0,0,0
Corviknight,52,stat_points,5,,2.8%,,,32,0,2,0,32,0
Corviknight,52,stat_points,6,,2.1%,,,32,13,0,0,13,8
Corviknight,52,stat_points,7,,1.9%,,,32,32,0,0,2,0
Corviknight,52,stat_points,8,,1.5%,,,2,32,32,0,0,0
Corviknight,52,stat_points,9,,1.5%,,,19,11,5,0,5,26
Corviknight,52,stat_points,10,,1.4%,,,32,32,2,0,0,0
Corviknight,52,stat_points,11,,1.0%,,,2,0,32,0,32,0
Corviknight,52,stat_points,12,,0.9%,,,32,0,32,0,0,0
Corviknight,52,ability,1,Mirror Armor,94.6%,,,,,,,,
Corviknight,52,ability,2,Pressure,3.0%,,,,,,,,
Corviknight,52,ability,3,Unnerve,2.4%,,,,,,,,
