pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Crabominable,96,move,1,Ice Hammer,84.6%,,,,,,,,
Crabominable,96,move,2,Drain Punch,76.4%,,,,,,,,
Crabominable,96,move,3,Protect,74.2%,,,,,,,,
Crabominable,96,move,4,Mach Punch,54.3%,,,,,,,,
Crabominable,96,move,5,Thunder Punch,31.7%,,,,,,,,
Crabominable,96,move,6,Close Combat,23.2%,,,,,,,,
Crabominable,96,move,7,Ice Punch,13.0%,,,,,,,,
Crabominable,96,move,8,Crabhammer,8.3%,,,,,,,,
Crabominable,96,move,9,Wide Guard,7.0%,,,,,,,,
Crabominable,96,move,10,Knock Off,6.3%,,,,,,,,
Crabominable,96,held_item,1,Crabominite,92.9%,,,,,,,,
Crabominable,96,held_item,2,Life Orb,2.4%,,,,,,,,
Crabominable,96,held_item,3,Focus Sash,1.0%,,,,,,,,
Crabominable,96,held_item,4,Expert Belt,0.4%,,,,,,,,
Crabominable,96,held_item,5,Sitrus Berry,0.3%,,,,,,,,
Crabominable,96,held_item,6,Never-Melt Ice,0.3%,,,,,,,,
Crabominable,96,held_item,7,Quick Claw,0.3%,,,,,,,,
Crabominable,96,held_item,8,White Herb,0.3%,,,,,,,,
Crabominable,96,held_item,9,Muscle Band,0.3%,,,,,,,,
Crabominable,96,held_item,10,Black Belt,0.2%,,,,,,,,
Crabominable,96,teammate,1,Farigiraf,,,,,,,,,
Crabominable,96,teammate,2,Torkoal,,,,,,,,,
Crabominable,96,teammate,3,Kingambit,,,,,,,,,
Crabominable,96,teammate,4,Incineroar,,,,,,,,,
Crabominable,96,teammate,5,Sinistcha,,,,,,,,,
Crabominable,96,teammate,6,Sylveon,,,,,,,,,
Crabominable,96,teammate,7,Oranguru,,,,,,,,,
Crabominable,96,teammate,8,Camerupt,,,,,,,,,
Crabominable,96,teammate,9,Hatterene,,,,,,,,,
Crabominable,96,teammate,10,Mawile,,,,,,,,,
Crabominable,96,stat_alignment,1,Brave,82.0%,Attack,Speed,,,,,,
Crabominable,96,stat_alignment,2,Adamant,13.0%,Attack,Sp. Atk,,,,,,
Crabominable,96,stat_alignment,3,Relaxed,1.3%,Defense,Speed,,,,,,
Crabominable,96,stat_alignment,4,Sassy,0.7%,Sp. Def,Speed,,,,,,
Crabominable,96,stat_alignment,5,Impish,0.7%,Defense,Sp. Atk,,,,,,
Crabominable,96,stat_alignment,6,Jolly,0.5%,Speed,Sp. Atk,,,,,,
Crabominable,96,stat_alignment,7,Naughty,0.5%,Attack,Sp. Def,,,,,,
Crabominable,96,stat_alignment,8,Lonely,0.4%,Attack,Defense,,,,,,
Crabominable,96,stat_alignment,9,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Crabominable,96,stat_alignment,10,Lax,0.3%,Defense,Sp. Def,,,,,,
Crabominable,96,stat_points,1,,34.9%,,,32,32,0,0,2,0
Crabominable,96,stat_points,2,,28.9%,,,32,32,2,0,0,0
Crabominable,96,stat_points,3,,3.3%,,,2,32,32,0,0,0
Crabominable,96,stat_points,4,,2.5%,,,0,32,2,0,32,0
Crabominable,96,stat_points,5,,2.1%,,,32,32,0,0,0,0
Crabominable,96,stat_points,6,,1.9%,,,2,32,0,0,32,0
Crabominable,96,stat_points,7,,1.7%,,,32,32,1,0,1,0
Crabominable,96,stat_points,8,,1.7%,,,0,32,32,0,2,0
Crabominable,96,stat_points,9,,1.3%,,,18,32,3,0,13,0
Crabominable,96,stat_points,10,,1.0%,,,31,32,3,0,0,0
Crabominable,96,ability,1,Hyper Cutter,72.5%,,,,,,,,
Crabominable,96,ability,2,Iron Fist,21.9%,,,,,,,,
Crabominable,96,ability,3,Anger Point,5.6%,,,,,,,,
