pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Decidueye,209,move,1,Leaf Blade,82.1%,,,,,,,,
Decidueye,209,move,2,Spirit Shackle,78.0%,,,,,,,,
Decidueye,209,move,3,Tailwind,38.1%,,,,,,,,
Decidueye,209,move,4,Protect,36.3%,,,,,,,,
Decidueye,209,move,5,Shadow Sneak,35.8%,,,,,,,,
Decidueye,209,move,6,Sucker Punch,15.4%,,,,,,,,
Decidueye,209,move,7,Poltergeist,13.1%,,,,,,,,
Decidueye,209,move,8,U-turn,12.0%,,,,,,,,
Decidueye,209,move,9,Brave Bird,10.9%,,,,,,,,
Decidueye,209,move,10,Swords Dance,1.9%,,,,,,,,
Decidueye,209,held_item,1,Focus Sash,30.7%,,,,,,,,
Decidueye,209,held_item,2,Life Orb,14.3%,,,,,,,,
Decidueye,209,held_item,3,Sitrus Berry,7.9%,,,,,,,,
Decidueye,209,held_item,4,Quick Claw,6.8%,,,,,,,,
Decidueye,209,held_item,5,Spell Tag,6.3%,,,,,,,,
Decidueye,209,held_item,6,Choice Scarf,5.7%,,,,,,,,
Decidueye,209,held_item,7,Scope Lens,5.1%,,,,,,,,
Decidueye,209,held_item,8,Muscle Band,5.0%,,,,,,,,
Decidueye,209,held_item,9,Coba Berry,3.4%,,,,,,,,
Decidueye,209,held_item,10,Miracle Seed,2.6%,,,,,,,,
Decidueye,209,teammate,1,Incineroar,,,,,,,,,
Decidueye,209,teammate,2,Garchomp,,,,,,,,,
Decidueye,209,teammate,3,Farigiraf,,,,,,,,,
Decidueye,209,teammate,4,Metagross,,,,,,,,,
Decidueye,209,teammate,5,Milotic,,,,,,,,,
Decidueye,209,teammate,6,Sableye,,,,,,,,,
Decidueye,209,teammate,7,Raichu,,,,,,,,,
Decidueye,209,teammate,8,Kingambit,,,,,,,,,
Decidueye,209,teammate,9,Talonflame,,,,,,,,,
Decidueye,209,teammate,10,Whimsicott,,,,,,,,,
Decidueye,209,stat_points,1,,18.3%,,,2,32,0,0,0,32
Decidueye,209,stat_points,2,,10.7%,,,0,32,2,0,0,32
Decidueye,209,stat_points,3,,10.2%,,,32,32,2,0,0,0
Decidueye,209,stat_points,4,,5.3%,,,0,32,0,0,2,32
Decidueye,209,stat_points,5,,4.6%,,,0,32,32,0,2,0
Decidueye,209,stat_points,6,,3.5%,,,2,32,32,0,0,0
Decidueye,209,stat_points,7,,3.3%,,,0,32,0,0,0,32
Decidueye,209,stat_points,8,,3.3%,,,32,32,0,0,0,2
Decidueye,209,stat_points,9,,3.0%,,,2,32,0,0,32,0
Decidueye,209,stat_points,10,,2.4%,,,0,32,0,0,12,22
Decidueye,209,stat_points,11,,2.2%,,,0,32,2,0,32,0
Decidueye,209,stat_points,12,,1.7%,,,4,32,0,0,0,30
Decidueye,209,ability,1,Long Reach,71.9%,,,,,,,,
Decidueye,209,ability,2,Overgrow,28.1%,,,,,,,,
