pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dedenne,220,move,1,Dazzling Gleam,57.7%,,,,,,,,
Dedenne,220,move,2,Protect,47.3%,,,,,,,,
Dedenne,220,move,3,Nuzzle,36.6%,,,,,,,,
Dedenne,220,move,4,Electroweb,30.0%,,,,,,,,
Dedenne,220,move,5,Super Fang,25.7%,,,,,,,,
Dedenne,220,move,6,Thunderbolt,22.1%,,,,,,,,
Dedenne,220,move,7,Helping Hand,19.0%,,,,,,,,
Dedenne,220,move,8,Entrainment,19.0%,,,,,,,,
Dedenne,220,move,9,Volt Switch,17.1%,,,,,,,,
Dedenne,220,move,10,Discharge,16.1%,,,,,,,,
Dedenne,220,held_item,1,Sitrus Berry,51.6%,,,,,,,,
Dedenne,220,held_item,2,Focus Sash,23.4%,,,,,,,,
Dedenne,220,held_item,3,Choice Scarf,9.5%,,,,,,,,
Dedenne,220,held_item,4,Shuca Berry,6.0%,,,,,,,,
Dedenne,220,held_item,5,Life Orb,4.4%,,,,,,,,
Dedenne,220,held_item,6,Fairy Feather,0.9%,,,,,,,,
Dedenne,220,held_item,7,Mental Herb,0.8%,,,,,,,,
Dedenne,220,held_item,8,Magnet,0.5%,,,,,,,,
Dedenne,220,held_item,9,Oran Berry,0.3%,,,,,,,,
Dedenne,220,held_item,10,Bright Powder,0.3%,,,,,,,,
Dedenne,220,teammate,1,Garchomp,,,,,,,,,
Dedenne,220,teammate,2,Whimsicott,,,,,,,,,
Dedenne,220,teammate,3,Raichu,,,,,,,,,
Dedenne,220,teammate,4,Sinistcha,,,,,,,,,
Dedenne,220,teammate,5,Charizard,,,,,,,,,
Dedenne,220,teammate,6,Sceptile,,,,,,,,,
Dedenne,220,teammate,7,Incineroar,,,,,,,,,
Dedenne,220,teammate,8,Staraptor,,,,,,,,,
Dedenne,220,teammate,9,Sylveon,,,,,,,,,
Dedenne,220,teammate,10,Swampert,,,,,,,,,
Dedenne,220,stat_alignment,1,Timid,56.0%,Speed,Attack,,,,,,
Dedenne,220,stat_alignment,2,Modest,22.8%,Sp. Atk,Attack,,,,,,
Dedenne,220,stat_alignment,3,Bold,9.1%,Defense,Attack,,,,,,
Dedenne,220,stat_alignment,4,Calm,6.0%,Sp. Def,Attack,,,,,,
Dedenne,220,stat_alignment,5,Jolly,1.9%,Speed,Sp. Atk,,,,,,
Dedenne,220,stat_alignment,6,Quiet,1.5%,Sp. Atk,Speed,,,,,,
Dedenne,220,stat_alignment,7,Rash,0.7%,Sp. Atk,Sp. Def,,,,,,
Dedenne,220,stat_alignment,8,Hasty,0.6%,Speed,Defense,,,,,,
Dedenne,220,stat_alignment,9,Relaxed,0.6%,Defense,Speed,,,,,,
Dedenne,220,stat_alignment,10,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Dedenne,220,stat_points,1,,23.4%,,,2,0,0,32,0,32
Dedenne,220,stat_points,2,,6.8%,,,32,0,0,32,0,2
Dedenne,220,stat_points,3,,6.4%,,,0,0,2,32,0,32
Dedenne,220,stat_points,4,,5.0%,,,24,0,0,10,0,32
Dedenne,220,stat_points,5,,3.5%,,,1,0,1,32,0,32
Dedenne,220,stat_points,6,,3.2%,,,32,0,0,0,2,32
Dedenne,220,stat_points,7,,3.1%,,,31,0,8,0,0,27
Dedenne,220,stat_points,8,,2.6%,,,0,0,0,32,2,32
Dedenne,220,stat_points,9,,2.4%,,,32,0,2,0,0,32
Dedenne,220,stat_points,10,,2.3%,,,32,0,0,2,0,32
Dedenne,220,stat_points,11,,1.8%,,,32,0,0,0,0,32
Dedenne,220,stat_points,12,,1.7%,,,32,0,0,32,2,0
Dedenne,220,ability,1,Cheek Pouch,65.9%,,,,,,,,
Dedenne,220,ability,2,Plus,24.4%,,,,,,,,
Dedenne,220,ability,3,Pickup,9.7%,,,,,,,,
