pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Delphox,35,move,1,Heat Wave,94.9%,,,,,,,,
Delphox,35,move,2,Protect,94.3%,,,,,,,,
Delphox,35,move,3,Psychic,67.2%,,,,,,,,
Delphox,35,move,4,Nasty Plot,53.2%,,,,,,,,
Delphox,35,move,5,Psyshock,28.4%,,,,,,,,
Delphox,35,move,6,Encore,11.2%,,,,,,,,
Delphox,35,move,7,Dazzling Gleam,8.8%,,,,,,,,
Delphox,35,move,8,Calm Mind,5.9%,,,,,,,,
Delphox,35,move,9,Substitute,5.4%,,,,,,,,
Delphox,35,move,10,Grass Knot,4.5%,,,,,,,,
Delphox,35,held_item,1,Delphoxite,97.7%,,,,,,,,
Delphox,35,held_item,2,Focus Sash,0.5%,,,,,,,,
Delphox,35,held_item,3,Life Orb,0.3%,,,,,,,,
Delphox,35,held_item,4,Choice Scarf,0.2%,,,,,,,,
Delphox,35,held_item,5,Sitrus Berry,0.2%,,,,,,,,
Delphox,35,held_item,6,Charcoal,0.1%,,,,,,,,
Delphox,35,held_item,7,Wise Glasses,0.1%,,,,,,,,
Delphox,35,held_item,8,Expert Belt,0.1%,,,,,,,,
Delphox,35,held_item,9,Wide Lens,0.1%,,,,,,,,
Delphox,35,held_item,10,Passho Berry,0.1%,,,,,,,,
Delphox,35,teammate,1,Garchomp,,,,,,,,,
Delphox,35,teammate,2,Sinistcha,,,,,,,,,
Delphox,35,teammate,3,Whimsicott,,,,,,,,,
Delphox,35,teammate,4,Incineroar,,,,,,,,,
Delphox,35,teammate,5,Kingambit,,,,,,,,,
Delphox,35,teammate,6,Sneasler,,,,,,,,,
Delphox,35,teammate,7,Staraptor,,,,,,,,,
Delphox,35,teammate,8,Basculegion Male,,,,,,,,,
Delphox,35,teammate,9,Maushold Family of Four,,,,,,,,,
Delphox,35,teammate,10,Grimmsnarl,,,,,,,,,
Delphox,35,stat_alignment,1,Timid,78.5%,Speed,Attack,,,,,,
Delphox,35,stat_alignment,2,Modest,19.5%,Sp. Atk,Attack,,,,,,
Delphox,35,stat_alignment,3,Bold,0.9%,Defense,Attack,,,,,,
Delphox,35,stat_alignment,4,Mild,0.4%,Sp. Atk,Defense,,,,,,
Delphox,35,stat_alignment,5,Quiet,0.2%,Sp. Atk,Speed,,,,,,
Delphox,35,stat_alignment,6,Hasty,0.2%,Speed,Defense,,,,,,
Delphox,35,stat_alignment,7,Calm,0.1%,Sp. Def,Attack,,,,,,
Delphox,35,stat_alignment,8,Gentle,0.0%,Sp. Def,Defense,,,,,,
Delphox,35,stat_alignment,9,Jolly,0.0%,Speed,Sp. Atk,,,,,,
Delphox,35,stat_alignment,10,Relaxed,0.0%,Defense,Speed,,,,,,
Delphox,35,stat_points,1,,31.2%,,,2,0,0,32,0,32
Delphox,35,stat_points,2,,7.4%,,,19,0,1,17,0,29
Delphox,35,stat_points,3,,6.5%,,,0,0,2,32,0,32
Delphox,35,stat_points,4,,4.7%,,,0,0,0,32,2,32
Delphox,35,stat_points,5,,2.8%,,,1,0,1,32,0,32
Delphox,35,stat_points,6,,2.6%,,,9,0,23,5,0,29
Delphox,35,stat_points,7,,2.6%,,,11,0,4,19,0,32
Delphox,35,stat_points,8,,2.6%,,,16,0,21,0,0,29
Delphox,35,stat_points,9,,2.2%,,,3,0,1,32,0,30
Delphox,35,stat_points,10,,1.8%,,,5,0,0,32,0,29
Delphox,35,stat_points,11,,1.3%,,,0,0,0,32,0,32
Delphox,35,stat_points,12,,1.0%,,,9,0,0,28,0,29
Delphox,35,ability,1,Blaze,84.8%,,,,,,,,
Delphox,35,ability,2,Magician,15.2%,,,,,,,,
