pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Diggersby,198,move,1,Earthquake,74.4%,,,,,,,,
Diggersby,198,move,2,Ice Punch,53.7%,,,,,,,,
Diggersby,198,move,3,High Horsepower,42.1%,,,,,,,,
Diggersby,198,move,4,Rock Slide,35.9%,,,,,,,,
Diggersby,198,move,5,Protect,32.4%,,,,,,,,
Diggersby,198,move,6,Body Slam,26.5%,,,,,,,,
Diggersby,198,move,7,Quick Attack,25.8%,,,,,,,,
Diggersby,198,move,8,Stomping Tantrum,13.4%,,,,,,,,
Diggersby,198,move,9,U-turn,9.7%,,,,,,,,
Diggersby,198,move,10,Wild Charge,9.5%,,,,,,,,
Diggersby,198,held_item,1,Choice Scarf,42.3%,,,,,,,,
Diggersby,198,held_item,2,Life Orb,21.5%,,,,,,,,
Diggersby,198,held_item,3,Focus Sash,16.5%,,,,,,,,
Diggersby,198,held_item,4,Sitrus Berry,2.5%,,,,,,,,
Diggersby,198,held_item,5,Quick Claw,2.3%,,,,,,,,
Diggersby,198,held_item,6,Chople Berry,2.2%,,,,,,,,
Diggersby,198,held_item,7,Expert Belt,2.1%,,,,,,,,
Diggersby,198,held_item,8,Soft Sand,2.0%,,,,,,,,
Diggersby,198,held_item,9,Wide Lens,1.4%,,,,,,,,
Diggersby,198,held_item,10,Passho Berry,1.1%,,,,,,,,
Diggersby,198,teammate,1,Eelektross,,,,,,,,,
Diggersby,198,teammate,2,Whimsicott,,,,,,,,,
Diggersby,198,teammate,3,Charizard,,,,,,,,,
Diggersby,198,teammate,4,Metagross,,,,,,,,,
Diggersby,198,teammate,6,Staraptor,,,,,,,,,
Diggersby,198,teammate,7,Sneasler,,,,,,,,,
Diggersby,198,teammate,8,Noivern,,,,,,,,,
Diggersby,198,teammate,9,Sinistcha,,,,,,,,,
Diggersby,198,teammate,10,Farigiraf,,,,,,,,,
Diggersby,198,stat_alignment,1,Adamant,48.9%,Attack,Sp. Atk,,,,,,
Diggersby,198,stat_alignment,2,Jolly,30.9%,Speed,Sp. Atk,,,,,,
Diggersby,198,stat_alignment,3,Brave,12.4%,Attack,Speed,,,,,,
Diggersby,198,stat_alignment,4,Naive,5.9%,Speed,Sp. Def,,,,,,
Diggersby,198,stat_alignment,5,Hasty,1.1%,Speed,Defense,,,,,,
Diggersby,198,stat_alignment,6,Naughty,0.8%,Attack,Sp. Def,,,,,,
Diggersby,198,stat_alignment,7,Sassy,0.2%,Sp. Def,Speed,,,,,,
Diggersby,198,stat_alignment,8,Careful,0.1%,Sp. Def,Sp. Atk,,,,,,
Diggersby,198,stat_alignment,9,Impish,0.1%,Defense,Sp. Atk,,,,,,
Diggersby,198,stat_alignment,10,Bashful,0.1%,,,,,,,,
Diggersby,198,stat_points,1,,42.2%,,,2,32,0,0,0,32
Diggersby,198,stat_points,2,,5.9%,,,0,32,0,0,2,32
Diggersby,198,stat_points,3,,5.2%,,,32,32,0,0,0,2
Diggersby,198,stat_points,4,,5.0%,,,32,32,2,0,0,0
Diggersby,198,stat_points,5,,4.4%,,,1,32,1,0,0,32
Diggersby,198,stat_points,6,,3.8%,,,32,32,1,0,1,0
Diggersby,198,stat_points,7,,3.6%,,,1,32,0,0,1,32
Diggersby,198,stat_points,8,,3.1%,,,0,32,2,0,0,32
Diggersby,198,stat_points,9,,2.7%,,,0,32,1,0,1,32
Diggersby,198,stat_points,10,,2.5%,,,32,32,0,0,2,0
Diggersby,198,stat_points,11,,2.3%,,,0,32,0,0,0,32
Diggersby,198,stat_points,12,,1.7%,,,31,32,0,0,0,3
Diggersby,198,ability,1,Huge Power,98.9%,,,,,,,,
Diggersby,198,ability,2,Cheek Pouch,0.8%,,,,,,,,
Diggersby,198,ability,3,Pickup,0.3%,,,,,,,,
