pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Ditto,121,held_item,1,Choice Scarf,38.6%,,,,,,,,
Ditto,121,held_item,2,Quick Claw,16.0%,,,,,,,,
Ditto,121,held_item,3,Focus Sash,12.2%,,,,,,,,
Ditto,121,held_item,4,Sitrus Berry,9.9%,,,,,,,,
Ditto,121,held_item,5,Life Orb,9.6%,,,,,,,,
Ditto,121,held_item,6,Leftovers,4.8%,,,,,,,,
Ditto,121,held_item,7,Bright Powder,4.2%,,,,,,,,
Ditto,121,held_item,8,Iron Ball,1.1%,,,,,,,,
Ditto,121,held_item,9,White Herb,0.8%,,,,,,,,
Ditto,121,held_item,10,Expert Belt,0.6%,,,,,,,,
Ditto,121,teammate,1,Whimsicott,,,,,,,,,
Ditto,121,teammate,2,Raichu,,,,,,,,,
Ditto,121,teammate,3,Staraptor,,,,,,,,,
Ditto,121,teammate,4,Garchomp,,,,,,,,,
Ditto,121,teammate,5,Charizard,,,,,,,,,
Ditto,121,teammate,6,Sinistcha,,,,,,,,,
Ditto,121,teammate,7,Incineroar,,,,,,,,,
Ditto,121,teammate,8,Sneasler,,,,,,,,,
Ditto,121,teammate,9,Basculegion Male,,,,,,,,,
Ditto,121,teammate,10,Sableye,,,,,,,,,
Ditto,121,stat_alignment,1,Timid,15.9%,Speed,Attack,,,,,,
Ditto,121,stat_alignment,2,Jolly,12.7%,Speed,Sp. Atk,,,,,,
Ditto,121,stat_alignment,3,Serious,10.5%,,,,,,,,
Ditto,121,stat_alignment,4,Relaxed,9.2%,Defense,Speed,,,,,,
Ditto,121,stat_alignment,5,Naive,7.1%,Speed,Sp. Def,,,,,,
Ditto,121,stat_alignment,6,Hasty,5.2%,Speed,Defense,,,,,,
Ditto,121,stat_alignment,7,Quiet,4.5%,Sp. Atk,Speed,,,,,,
Ditto,121,stat_alignment,8,Sassy,4.4%,Sp. Def,Speed,,,,,,
Ditto,121,stat_alignment,9,Bold,3.7%,Defense,Attack,,,,,,
Ditto,121,stat_alignment,10,Modest,3.6%,Sp. Atk,Attack,,,,,,
Ditto,121,stat_points,1,,13.5%,,,32,0,2,0,0,32
Ditto,121,stat_points,2,,8.9%,,,32,0,0,0,2,32
Ditto,121,stat_points,3,,7.4%,,,32,0,0,0,0,0
Ditto,121,stat_points,4,,6.5%,,,32,0,0,0,0,32
Ditto,121,stat_points,5,,6.4%,,,32,0,32,0,2,0
Ditto,121,stat_points,6,,4.8%,,,32,0,0,2,0,32
Ditto,121,stat_points,7,,4.7%,,,32,0,2,0,32,0
Ditto,121,stat_points,8,,3.7%,,,32,2,0,0,0,32
Ditto,121,stat_points,9,,3.0%,,,32,2,32,0,0,0
Ditto,121,stat_points,10,,2.8%,,,32,0,1,0,1,32
Ditto,121,stat_points,11,,2.6%,,,32,0,32,2,0,0
Ditto,121,stat_points,12,,1.9%,,,32,2,0,0,32,0
Ditto,121,ability,1,Imposter,96.2%,,,,,,,,
Ditto,121,ability,2,Limber,3.8%,,,,,,,,
