pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dragalge,63,move,1,Protect,84.5%,,,,,,,,
Dragalge,63,move,2,Sludge Bomb,83.0%,,,,,,,,
Dragalge,63,move,3,Draco Meteor,71.2%,,,,,,,,
Dragalge,63,move,4,Thunderbolt,35.5%,,,,,,,,
Dragalge,63,move,5,Dragon Pulse,29.8%,,,,,,,,
Dragalge,63,move,6,Flip Turn,20.5%,,,,,,,,
Dragalge,63,move,7,Toxic,13.8%,,,,,,,,
Dragalge,63,move,8,Sludge Wave,13.1%,,,,,,,,
Dragalge,63,move,9,Scald,12.8%,,,,,,,,
Dragalge,63,move,10,Focus Blast,6.1%,,,,,,,,
Dragalge,63,held_item,1,Dragalgite,86.1%,,,,,,,,
Dragalge,63,held_item,2,Life Orb,7.1%,,,,,,,,
Dragalge,63,held_item,3,Leftovers,1.0%,,,,,,,,
Dragalge,63,held_item,4,White Herb,1.0%,,,,,,,,
Dragalge,63,held_item,5,Poison Barb,0.8%,,,,,,,,
Dragalge,63,held_item,6,Sitrus Berry,0.6%,,,,,,,,
Dragalge,63,held_item,7,Wise Glasses,0.5%,,,,,,,,
Dragalge,63,held_item,8,Focus Sash,0.5%,,,,,,,,
Dragalge,63,held_item,9,Expert Belt,0.4%,,,,,,,,
Dragalge,63,held_item,10,Choice Scarf,0.4%,,,,,,,,
Dragalge,63,teammate,1,Sinistcha,,,,,,,,,
Dragalge,63,teammate,2,Incineroar,,,,,,,,,
Dragalge,63,teammate,3,Grimmsnarl,,,,,,,,,
Dragalge,63,teammate,4,Farigiraf,,,,,,,,,
Dragalge,63,teammate,5,Staraptor,,,,,,,,,
Dragalge,63,teammate,6,Gholdengo,,,,,,,,,
Dragalge,63,teammate,7,Kingambit,,,,,,,,,
Dragalge,63,teammate,8,Mawile,,,,,,,,,
Dragalge,63,teammate,9,Torkoal,,,,,,,,,
Dragalge,63,teammate,10,Garchomp,,,,,,,,,
Dragalge,63,stat_alignment,1,Modest,44.8%,Sp. Atk,Attack,,,,,,
Dragalge,63,stat_alignment,2,Quiet,34.2%,Sp. Atk,Speed,,,,,,
Dragalge,63,stat_alignment,3,Bold,6.2%,Defense,Attack,,,,,,
Dragalge,63,stat_alignment,4,Relaxed,4.9%,Defense,Speed,,,,,,
Dragalge,63,stat_alignment,5,Calm,4.8%,Sp. Def,Attack,,,,,,
Dragalge,63,stat_alignment,6,Sassy,4.2%,Sp. Def,Speed,,,,,,
Dragalge,63,stat_alignment,7,Timid,0.3%,Speed,Attack,,,,,,
Dragalge,63,stat_alignment,8,Mild,0.2%,Sp. Atk,Defense,,,,,,
Dragalge,63,stat_alignment,9,Brave,0.1%,Attack,Speed,,,,,,
Dragalge,63,stat_alignment,10,Hasty,0.1%,Speed,Defense,,,,,,
Dragalge,63,stat_points,1,,31.3%,,,32,0,2,32,0,0
Dragalge,63,stat_points,2,,11.2%,,,32,0,1,23,0,0
Dragalge,63,stat_points,3,,8.3%,,,32,0,0,32,2,0
Dragalge,63,stat_points,4,,3.0%,,,32,0,32,0,2,0
Dragalge,63,stat_points,5,,2.3%,,,32,0,32,2,0,0
Dragalge,63,stat_points,6,,1.6%,,,31,0,16,19,0,0
Dragalge,63,stat_points,7,,1.5%,,,32,0,0,32,0,0
Dragalge,63,stat_points,8,,1.2%,,,2,0,0,32,32,0
Dragalge,63,stat_points,9,,1.2%,,,2,0,32,32,0,0
Dragalge,63,stat_points,10,,1.1%,,,0,0,32,32,2,0
Dragalge,63,stat_points,11,,1.0%,,,32,0,20,14,0,0
Dragalge,63,stat_points,12,,1.0%,,,0,0,2,32,32,0
Dragalge,63,ability,1,Adaptability,82.0%,,,,,,,,
Dragalge,63,ability,2,Poison Point,13.7%,,,,,,,,
Dragalge,63,ability,3,Poison Touch,4.2%,,,,,,,,
