pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dragapult,66,move,1,Dragon Darts,57.2%,,,,,,,,
Dragapult,66,move,2,Phantom Force,53.7%,,,,,,,,
Dragapult,66,move,3,Protect,49.5%,,,,,,,,
Dragapult,66,move,4,Psychic Fangs,31.3%,,,,,,,,
Dragapult,66,move,5,Will-O-Wisp,25.7%,,,,,,,,
Dragapult,66,move,6,Draco Meteor,24.8%,,,,,,,,
Dragapult,66,move,7,Shadow Ball,23.2%,,,,,,,,
Dragapult,66,move,8,U-turn,22.8%,,,,,,,,
Dragapult,66,move,9,Sucker Punch,21.8%,,,,,,,,
Dragapult,66,move,10,Dragon Claw,8.5%,,,,,,,,
Dragapult,66,held_item,1,Life Orb,38.6%,,,,,,,,
Dragapult,66,held_item,2,Focus Sash,21.6%,,,,,,,,
Dragapult,66,held_item,3,Dragon Fang,5.9%,,,,,,,,
Dragapult,66,held_item,4,Choice Scarf,3.9%,,,,,,,,
Dragapult,66,held_item,5,Lum Berry,3.0%,,,,,,,,
Dragapult,66,held_item,6,Sitrus Berry,2.7%,,,,,,,,
Dragapult,66,held_item,7,Light Clay,2.7%,,,,,,,,
Dragapult,66,held_item,8,White Herb,2.5%,,,,,,,,
Dragapult,66,held_item,9,Colbur Berry,2.2%,,,,,,,,
Dragapult,66,held_item,10,Leftovers,1.9%,,,,,,,,
Dragapult,66,teammate,1,Whimsicott,,,,,,,,,
Dragapult,66,teammate,2,Incineroar,,,,,,,,,
Dragapult,66,teammate,3,Sneasler,,,,,,,,,
Dragapult,66,teammate,4,Charizard,,,,,,,,,
Dragapult,66,teammate,5,Kingambit,,,,,,,,,
Dragapult,66,teammate,6,Sinistcha,,,,,,,,,
Dragapult,66,teammate,7,Raichu,,,,,,,,,
Dragapult,66,teammate,8,Sylveon,,,,,,,,,
Dragapult,66,teammate,9,Garchomp,,,,,,,,,
Dragapult,66,teammate,10,Metagross,,,,,,,,,
Dragapult,66,stat_alignment,1,Jolly,37.2%,Speed,Sp. Atk,,,,,,
Dragapult,66,stat_alignment,2,Adamant,23.5%,Attack,Sp. Atk,,,,,,
Dragapult,66,stat_alignment,3,Timid,17.6%,Speed,Attack,,,,,,
Dragapult,66,stat_alignment,4,Modest,9.2%,Sp. Atk,Attack,,,,,,
Dragapult,66,stat_alignment,5,Naive,5.0%,Speed,Sp. Def,,,,,,
Dragapult,66,stat_alignment,6,Hasty,2.5%,Speed,Defense,,,,,,
Dragapult,66,stat_alignment,7,Lonely,1.5%,Attack,Defense,,,,,,
Dragapult,66,stat_alignment,8,Naughty,1.4%,Attack,Sp. Def,,,,,,
Dragapult,66,stat_alignment,9,Mild,0.4%,Sp. Atk,Defense,,,,,,
Dragapult,66,stat_alignment,10,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Dragapult,66,stat_points,1,,32.8%,,,2,32,0,0,0,32
Dragapult,66,stat_points,2,,14.5%,,,2,0,0,32,0,32
Dragapult,66,stat_points,3,,6.8%,,,0,32,2,0,0,32
Dragapult,66,stat_points,4,,5.3%,,,0,32,0,0,2,32
Dragapult,66,stat_points,5,,2.0%,,,0,32,0,0,0,32
Dragapult,66,stat_points,6,,1.9%,,,0,0,0,32,2,32
Dragapult,66,stat_points,7,,1.7%,,,0,0,1,32,1,32
Dragapult,66,stat_points,8,,1.4%,,,0,0,2,32,0,32
Dragapult,66,stat_points,9,,1.3%,,,0,32,1,0,1,32
Dragapult,66,stat_points,10,,1.1%,,,1,32,0,0,0,32
Dragapult,66,stat_points,11,,0.9%,,,0,2,0,32,0,32
Dragapult,66,stat_points,12,,0.9%,,,6,32,0,0,0,28
Dragapult,66,ability,1,Clear Body,55.2%,,,,,,,,
Dragapult,66,ability,2,Infiltrator,34.8%,,,,,,,,
Dragapult,66,ability,3,Cursed Body,10.0%,,,,,,,,
