pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Dragonite,25,move,1,Protect,62.5%,,,,,,,,
Dragonite,25,move,2,Hurricane,42.7%,,,,,,,,
Dragonite,25,move,3,Extreme Speed,39.8%,,,,,,,,
Dragonite,25,move,4,Draco Meteor,37.9%,,,,,,,,
Dragonite,25,move,5,Dragon Pulse,33.6%,,,,,,,,
Dragonite,25,move,6,Tailwind,25.7%,,,,,,,,
Dragonite,25,move,7,Thunder,18.5%,,,,,,,,
Dragonite,25,move,8,Ice Beam,17.8%,,,,,,,,
Dragonite,25,move,9,Thunderbolt,17.5%,,,,,,,,
Dragonite,25,move,10,Dragon Claw,15.1%,,,,,,,,
Dragonite,25,held_item,1,Dragoninite,64.5%,,,,,,,,
Dragonite,25,held_item,2,Dragon Fang,7.3%,,,,,,,,
Dragonite,25,held_item,3,Leftovers,4.9%,,,,,,,,
Dragonite,25,held_item,4,Life Orb,4.6%,,,,,,,,
Dragonite,25,held_item,5,Sitrus Berry,3.1%,,,,,,,,
Dragonite,25,held_item,6,White Herb,2.7%,,,,,,,,
Dragonite,25,held_item,7,Lum Berry,2.6%,,,,,,,,
Dragonite,25,held_item,8,Expert Belt,1.4%,,,,,,,,
Dragonite,25,held_item,9,Quick Claw,1.2%,,,,,,,,
Dragonite,25,held_item,10,Choice Scarf,1.1%,,,,,,,,
Dragonite,25,teammate,1,Pelipper,,,,,,,,,
Dragonite,25,teammate,2,Basculegion Male,,,,,,,,,
Dragonite,25,teammate,3,Archaludon,,,,,,,,,
Dragonite,25,teammate,4,Sneasler,,,,,,,,,
Dragonite,25,teammate,5,Incineroar,,,,,,,,,
Dragonite,25,teammate,6,Swampert,,,,,,,,,
Dragonite,25,teammate,7,Sinistcha,,,,,,,,,
Dragonite,25,teammate,8,Kingambit,,,,,,,,,
Dragonite,25,teammate,9,Whimsicott,,,,,,,,,
Dragonite,25,teammate,10,Garchomp,,,,,,,,,
Dragonite,25,stat_alignment,1,Modest,62.8%,Sp. Atk,Attack,,,,,,
Dragonite,25,stat_alignment,2,Adamant,19.5%,Attack,Sp. Atk,,,,,,
Dragonite,25,stat_alignment,3,Timid,10.1%,Speed,Attack,,,,,,
Dragonite,25,stat_alignment,4,Jolly,2.3%,Speed,Sp. Atk,,,,,,
Dragonite,25,stat_alignment,5,Quiet,1.3%,Sp. Atk,Speed,,,,,,
Dragonite,25,stat_alignment,6,Mild,0.6%,Sp. Atk,Defense,,,,,,
Dragonite,25,stat_alignment,7,Rash,0.6%,Sp. Atk,Sp. Def,,,,,,
Dragonite,25,stat_alignment,8,Brave,0.5%,Attack,Speed,,,,,,
Dragonite,25,stat_alignment,9,Hasty,0.4%,Speed,Defense,,,,,,
Dragonite,25,stat_alignment,10,Careful,0.3%,Sp. Def,Sp. Atk,,,,,,
Dragonite,25,stat_points,1,,52.2%,,,2,0,0,32,0,32
Dragonite,25,stat_points,2,,9.1%,,,2,32,0,0,0,32
Dragonite,25,stat_points,3,,2.6%,,,32,0,0,32,0,2
Dragonite,25,stat_points,4,,1.8%,,,1,0,1,32,0,32
Dragonite,25,stat_points,5,,1.5%,,,32,0,2,32,0,0
Dragonite,25,stat_points,6,,1.4%,,,32,32,0,0,0,2
Dragonite,25,stat_points,7,,1.1%,,,11,0,0,32,0,23
Dragonite,25,stat_points,8,,1.0%,,,21,32,0,0,0,13
Dragonite,25,stat_points,9,,0.8%,,,32,32,2,0,0,0
Dragonite,25,stat_points,10,,0.7%,,,1,0,0,32,1,32
Dragonite,25,stat_points,11,,0.7%,,,0,0,2,32,0,32
Dragonite,25,stat_points,12,,0.7%,,,0,0,0,32,2,32
Dragonite,25,ability,1,Multiscale,83.6%,,,,,,,,
Dragonite,25,ability,2,Inner Focus,16.4%,,,,,,,,
