pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Drampa,76,move,1,Hyper Voice,84.9%,,,,,,,,
Drampa,76,move,2,Protect,70.9%,,,,,,,,
Drampa,76,move,3,Earth Power,49.7%,,,,,,,,
Drampa,76,move,4,Draco Meteor,39.7%,,,,,,,,
Drampa,76,move,5,Thunderbolt,31.8%,,,,,,,,
Drampa,76,move,6,Dragon Pulse,30.5%,,,,,,,,
Drampa,76,move,7,Calm Mind,19.6%,,,,,,,,
Drampa,76,move,8,Flamethrower,18.1%,,,,,,,,
Drampa,76,move,9,Heat Wave,13.6%,,,,,,,,
Drampa,76,move,10,Energy Ball,9.5%,,,,,,,,
Drampa,76,held_item,1,Drampanite,70.7%,,,,,,,,
Drampa,76,held_item,2,Life Orb,9.5%,,,,,,,,
Drampa,76,held_item,3,Sitrus Berry,3.2%,,,,,,,,
Drampa,76,held_item,4,Leftovers,2.6%,,,,,,,,
Drampa,76,held_item,5,White Herb,2.3%,,,,,,,,
Drampa,76,held_item,6,Quick Claw,1.7%,,,,,,,,
Drampa,76,held_item,7,Expert Belt,1.5%,,,,,,,,
Drampa,76,held_item,8,Focus Sash,1.4%,,,,,,,,
Drampa,76,held_item,9,Silk Scarf,1.4%,,,,,,,,
Drampa,76,held_item,10,Wise Glasses,1.4%,,,,,,,,
Drampa,76,teammate,1,Farigiraf,,,,,,,,,
Drampa,76,teammate,2,Sinistcha,,,,,,,,,
Drampa,76,teammate,3,Torkoal,,,,,,,,,
Drampa,76,teammate,4,Kingambit,,,,,,,,,
Drampa,76,teammate,5,Sylveon,,,,,,,,,
Drampa,76,teammate,6,Incineroar,,,,,,,,,
Drampa,76,teammate,7,Oranguru,,,,,,,,,
Drampa,76,teammate,8,Mawile,,,,,,,,,
Drampa,76,teammate,9,Hatterene,,,,,,,,,
Drampa,76,teammate,10,Staraptor,,,,,,,,,
Drampa,76,stat_alignment,1,Quiet,60.3%,Sp. Atk,Speed,,,,,,
Drampa,76,stat_alignment,2,Modest,35.8%,Sp. Atk,Attack,,,,,,
Drampa,76,stat_alignment,3,Bold,1.3%,Defense,Attack,,,,,,
Drampa,76,stat_alignment,4,Relaxed,1.1%,Defense,Speed,,,,,,
Drampa,76,stat_alignment,5,Sassy,0.6%,Sp. Def,Speed,,,,,,
Drampa,76,stat_alignment,6,Calm,0.5%,Sp. Def,Attack,,,,,,
Drampa,76,stat_alignment,7,Mild,0.1%,Sp. Atk,Defense,,,,,,
Drampa,76,stat_alignment,8,Timid,0.1%,Speed,Attack,,,,,,
Drampa,76,stat_alignment,9,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Drampa,76,stat_alignment,10,Gentle,0.0%,Sp. Def,Defense,,,,,,
Drampa,76,stat_points,1,,43.7%,,,32,0,2,32,0,0
Drampa,76,stat_points,2,,12.3%,,,32,0,0,32,2,0
Drampa,76,stat_points,3,,11.7%,,,32,0,0,32,0,2
Drampa,76,stat_points,4,,2.7%,,,32,0,8,25,1,0
Drampa,76,stat_points,5,,2.6%,,,32,0,0,32,0,0
Drampa,76,stat_points,6,,2.5%,,,32,0,1,32,1,0
Drampa,76,stat_points,7,,1.1%,,,2,0,32,32,0,0
Drampa,76,stat_points,8,,0.8%,,,0,0,32,32,2,0
Drampa,76,stat_points,9,,0.8%,,,2,0,0,32,32,0
Drampa,76,stat_points,10,,0.7%,,,32,0,9,25,0,0
Drampa,76,stat_points,11,,0.5%,,,0,0,2,32,32,0
Drampa,76,stat_points,12,,0.4%,,,32,0,1,32,0,0
Drampa,76,ability,1,Cloud Nine,62.8%,,,,,,,,
Drampa,76,ability,2,Berserk,35.1%,,,,,,,,
Drampa,76,ability,3,Sap Sipper,2.0%,,,,,,,,
