pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Eelektross,46,move,1,Protect,85.3%,,,,,,,,
Eelektross,46,move,2,Thunderbolt,55.8%,,,,,,,,
Eelektross,46,move,3,Giga Drain,52.2%,,,,,,,,
Eelektross,46,move,4,Flamethrower,51.1%,,,,,,,,
Eelektross,46,move,5,Discharge,34.3%,,,,,,,,
Eelektross,46,move,6,Dragon Pulse,16.5%,,,,,,,,
Eelektross,46,move,7,Drain Punch,13.5%,,,,,,,,
Eelektross,46,move,8,Grass Knot,13.0%,,,,,,,,
Eelektross,46,move,9,Supercell Slam,12.0%,,,,,,,,
Eelektross,46,move,10,Coil,10.1%,,,,,,,,
Eelektross,46,held_item,1,Eelektrossite,95.7%,,,,,,,,
Eelektross,46,held_item,2,Life Orb,0.8%,,,,,,,,
Eelektross,46,held_item,3,Sitrus Berry,0.6%,,,,,,,,
Eelektross,46,held_item,4,Leftovers,0.5%,,,,,,,,
Eelektross,46,held_item,5,Expert Belt,0.4%,,,,,,,,
Eelektross,46,held_item,6,Quick Claw,0.3%,,,,,,,,
Eelektross,46,held_item,7,Magnet,0.3%,,,,,,,,
Eelektross,46,held_item,8,Focus Sash,0.2%,,,,,,,,
Eelektross,46,held_item,9,Muscle Band,0.2%,,,,,,,,
Eelektross,46,held_item,10,Choice Scarf,0.2%,,,,,,,,
Eelektross,46,teammate,1,Garchomp,,,,,,,,,
Eelektross,46,teammate,2,Sinistcha,,,,,,,,,
Eelektross,46,teammate,3,Whimsicott,,,,,,,,,
Eelektross,46,teammate,4,Incineroar,,,,,,,,,
Eelektross,46,teammate,6,Kingambit,,,,,,,,,
Eelektross,46,teammate,7,Farigiraf,,,,,,,,,
Eelektross,46,teammate,8,Basculegion Male,,,,,,,,,
Eelektross,46,teammate,9,Sneasler,,,,,,,,,
Eelektross,46,teammate,10,Sylveon,,,,,,,,,
Eelektross,46,stat_alignment,1,Modest,62.5%,Sp. Atk,Attack,,,,,,
Eelektross,46,stat_alignment,2,Quiet,12.1%,Sp. Atk,Speed,,,,,,
Eelektross,46,stat_alignment,3,Adamant,11.3%,Attack,Sp. Atk,,,,,,
Eelektross,46,stat_alignment,4,Brave,4.9%,Attack,Speed,,,,,,
Eelektross,46,stat_alignment,5,Timid,4.6%,Speed,Attack,,,,,,
Eelektross,46,stat_alignment,6,Jolly,1.1%,Speed,Sp. Atk,,,,,,
Eelektross,46,stat_alignment,7,Careful,0.6%,Sp. Def,Sp. Atk,,,,,,
Eelektross,46,stat_alignment,8,Relaxed,0.5%,Defense,Speed,,,,,,
Eelektross,46,stat_alignment,9,Bold,0.4%,Defense,Attack,,,,,,
Eelektross,46,stat_alignment,10,Sassy,0.4%,Sp. Def,Speed,,,,,,
Eelektross,46,stat_points,1,,17.5%,,,32,0,2,32,0,0
Eelektross,46,stat_points,2,,8.3%,,,2,0,0,32,0,32
Eelektross,46,stat_points,3,,7.0%,,,32,0,0,32,0,2
Eelektross,46,stat_points,4,,4.7%,,,32,0,0,32,2,0
Eelektross,46,stat_points,5,,4.2%,,,7,0,4,32,0,23
Eelektross,46,stat_points,6,,3.2%,,,32,0,1,32,1,0
Eelektross,46,stat_points,7,,2.1%,,,32,32,2,0,0,0
Eelektross,46,stat_points,8,,1.9%,,,32,32,0,0,0,2
Eelektross,46,stat_points,9,,1.9%,,,32,32,0,0,2,0
Eelektross,46,stat_points,10,,1.3%,,,29,0,0,25,0,12
Eelektross,46,ability,1,Levitate,100.0%,,,,,,,,
