pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Emboar,189,move,1,Flare Blitz,85.7%,,,,,,,,
Emboar,189,move,2,Protect,64.7%,,,,,,,,
Emboar,189,move,3,Drain Punch,36.7%,,,,,,,,
Emboar,189,move,4,Close Combat,36.4%,,,,,,,,
Emboar,189,move,5,Sucker Punch,32.2%,,,,,,,,
Emboar,189,move,6,Wild Charge,26.8%,,,,,,,,
Emboar,189,move,7,Head Smash,12.0%,,,,,,,,
Emboar,189,move,8,Rock Slide,9.4%,,,,,,,,
Emboar,189,move,9,Bulk Up,9.2%,,,,,,,,
Emboar,189,move,10,Hammer Arm,8.7%,,,,,,,,
Emboar,189,held_item,1,Emboarite,65.1%,,,,,,,,
Emboar,189,held_item,2,Life Orb,8.4%,,,,,,,,
Emboar,189,held_item,3,Iron Ball,4.3%,,,,,,,,
Emboar,189,held_item,4,Quick Claw,2.7%,,,,,,,,
Emboar,189,held_item,5,Muscle Band,2.5%,,,,,,,,
Emboar,189,held_item,6,Choice Scarf,2.2%,,,,,,,,
Emboar,189,held_item,7,Leftovers,2.0%,,,,,,,,
Emboar,189,held_item,8,Shell Bell,1.8%,,,,,,,,
Emboar,189,held_item,9,Sitrus Berry,1.7%,,,,,,,,
Emboar,189,held_item,10,White Herb,1.5%,,,,,,,,
Emboar,189,teammate,1,Farigiraf,,,,,,,,,
Emboar,189,teammate,2,Sinistcha,,,,,,,,,
Emboar,189,teammate,3,Sylveon,,,,,,,,,
Emboar,189,teammate,4,Whimsicott,,,,,,,,,
Emboar,189,teammate,5,Torkoal,,,,,,,,,
Emboar,189,teammate,6,Kingambit,,,,,,,,,
Emboar,189,teammate,7,Metagross,,,,,,,,,
Emboar,189,teammate,8,Oranguru,,,,,,,,,
Emboar,189,teammate,9,Incineroar,,,,,,,,,
Emboar,189,teammate,10,Primarina,,,,,,,,,
Emboar,189,stat_alignment,1,Brave,43.5%,Attack,Speed,,,,,,
Emboar,189,stat_alignment,2,Adamant,43.4%,Attack,Sp. Atk,,,,,,
Emboar,189,stat_alignment,3,Sassy,3.0%,Sp. Def,Speed,,,,,,
Emboar,189,stat_alignment,4,Jolly,2.6%,Speed,Sp. Atk,,,,,,
Emboar,189,stat_alignment,5,Relaxed,2.1%,Defense,Speed,,,,,,
Emboar,189,stat_alignment,6,Careful,1.1%,Sp. Def,Sp. Atk,,,,,,
Emboar,189,stat_alignment,7,Naughty,0.9%,Attack,Sp. Def,,,,,,
Emboar,189,stat_alignment,8,Quiet,0.9%,Sp. Atk,Speed,,,,,,
Emboar,189,stat_alignment,9,Impish,0.9%,Defense,Sp. Atk,,,,,,
Emboar,189,stat_alignment,10,Lonely,0.8%,Attack,Defense,,,,,,
Emboar,189,stat_points,1,,24.3%,,,32,32,2,0,0,0
Emboar,189,stat_points,2,,18.2%,,,32,32,0,0,2,0
Emboar,189,stat_points,3,,4.7%,,,2,32,32,0,0,0
Emboar,189,stat_points,4,,4.2%,,,32,32,0,0,0,2
Emboar,189,stat_points,5,,3.2%,,,32,32,1,0,1,0
Emboar,189,stat_points,6,,2.9%,,,2,32,0,0,0,32
Emboar,189,stat_points,7,,2.7%,,,0,32,2,0,32,0
Emboar,189,stat_points,8,,2.1%,,,32,32,0,0,0,0
Emboar,189,stat_points,9,,1.9%,,,0,32,2,0,0,32
Emboar,189,stat_points,10,,1.6%,,,4,32,15,0,15,0
Emboar,189,ability,1,Reckless,81.8%,,,,,,,,
Emboar,189,ability,2,Blaze,18.2%,,,,,,,,
