pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Emolga,203,move,1,Nuzzle,45.5%,,,,,,,,
Emolga,203,move,2,Encore,39.7%,,,,,,,,
Emolga,203,move,3,Air Slash,39.6%,,,,,,,,
Emolga,203,move,4,Electroweb,28.7%,,,,,,,,
Emolga,203,move,5,Discharge,25.8%,,,,,,,,
Emolga,203,move,6,Protect,23.5%,,,,,,,,
Emolga,203,move,7,Volt Switch,22.8%,,,,,,,,
Emolga,203,move,8,Taunt,18.7%,,,,,,,,
Emolga,203,move,9,Energy Ball,17.5%,,,,,,,,
Emolga,203,move,10,Speed Swap,13.6%,,,,,,,,
Emolga,203,held_item,1,Focus Sash,51.4%,,,,,,,,
Emolga,203,held_item,2,Sitrus Berry,7.7%,,,,,,,,
Emolga,203,held_item,3,Choice Scarf,7.7%,,,,,,,,
Emolga,203,held_item,4,King's Rock,4.8%,,,,,,,,
Emolga,203,held_item,5,Magnet,4.1%,,,,,,,,
Emolga,203,held_item,6,Muscle Band,3.5%,,,,,,,,
Emolga,203,held_item,7,Leftovers,3.3%,,,,,,,,
Emolga,203,held_item,8,Life Orb,2.8%,,,,,,,,
Emolga,203,held_item,9,Charti Berry,2.0%,,,,,,,,
Emolga,203,held_item,10,Bright Powder,2.0%,,,,,,,,
Emolga,203,teammate,1,Raichu,,,,,,,,,
Emolga,203,teammate,2,Sinistcha,,,,,,,,,
Emolga,203,teammate,3,Garchomp,,,,,,,,,
Emolga,203,teammate,4,Sneasler,,,,,,,,,
Emolga,203,teammate,5,Bellibolt,,,,,,,,,
Emolga,203,teammate,6,Staraptor,,,,,,,,,
Emolga,203,teammate,7,Sceptile,,,,,,,,,
Emolga,203,teammate,8,Incineroar,,,,,,,,,
Emolga,203,teammate,9,Whimsicott,,,,,,,,,
Emolga,203,teammate,10,Meowstic,,,,,,,,,
Emolga,203,stat_alignment,1,Timid,58.1%,Speed,Attack,,,,,,
Emolga,203,stat_alignment,2,Modest,16.0%,Sp. Atk,Attack,,,,,,
Emolga,203,stat_alignment,3,Jolly,9.8%,Speed,Sp. Atk,,,,,,
Emolga,203,stat_alignment,4,Adamant,7.4%,Attack,Sp. Atk,,,,,,
Emolga,203,stat_alignment,5,Hasty,2.4%,Speed,Defense,,,,,,
Emolga,203,stat_alignment,6,Bold,2.2%,Defense,Attack,,,,,,
Emolga,203,stat_alignment,7,Impish,1.5%,Defense,Sp. Atk,,,,,,
Emolga,203,stat_alignment,8,Calm,0.8%,Sp. Def,Attack,,,,,,
Emolga,203,stat_alignment,9,Naive,0.7%,Speed,Sp. Def,,,,,,
Emolga,203,stat_alignment,10,Lax,0.3%,Defense,Sp. Def,,,,,,
Emolga,203,stat_points,1,,30.9%,,,2,0,0,32,0,32
Emolga,203,stat_points,2,,7.3%,,,32,2,0,0,0,32
Emolga,203,stat_points,3,,5.4%,,,32,0,2,0,0,32
Emolga,203,stat_points,4,,5.2%,,,32,0,0,2,0,32
Emolga,203,stat_points,5,,4.0%,,,1,0,1,32,0,32
Emolga,203,stat_points,6,,3.6%,,,16,25,7,0,7,11
Emolga,203,stat_points,7,,3.4%,,,0,0,0,32,2,32
Emolga,203,stat_points,8,,3.4%,,,2,32,0,0,0,32
Emolga,203,stat_points,9,,3.3%,,,0,0,2,32,0,32
Emolga,203,stat_points,10,,3.1%,,,0,32,0,0,2,32
Emolga,203,ability,1,Motor Drive,76.9%,,,,,,,,
Emolga,203,ability,2,Static,23.1%,,,,,,,,
