pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Empoleon,114,move,1,Flash Cannon,84.5%,,,,,,,,
Empoleon,114,move,2,Protect,72.3%,,,,,,,,
Empoleon,114,move,3,Ice Beam,61.5%,,,,,,,,
Empoleon,114,move,4,Hydro Pump,44.2%,,,,,,,,
Empoleon,114,move,5,Surf,36.2%,,,,,,,,
Empoleon,114,move,6,Vacuum Wave,19.6%,,,,,,,,
Empoleon,114,move,7,Grass Knot,12.4%,,,,,,,,
Empoleon,114,move,8,Blizzard,10.4%,,,,,,,,
Empoleon,114,move,9,Icy Wind,10.0%,,,,,,,,
Empoleon,114,move,10,Hydro Cannon,6.1%,,,,,,,,
Empoleon,114,held_item,1,Leftovers,22.3%,,,,,,,,
Empoleon,114,held_item,2,Chople Berry,13.0%,,,,,,,,
Empoleon,114,held_item,3,Sitrus Berry,12.9%,,,,,,,,
Empoleon,114,held_item,4,Life Orb,9.8%,,,,,,,,
Empoleon,114,held_item,5,Mystic Water,7.1%,,,,,,,,
Empoleon,114,held_item,6,Shuca Berry,6.9%,,,,,,,,
Empoleon,114,held_item,7,Quick Claw,5.1%,,,,,,,,
Empoleon,114,held_item,8,Focus Sash,4.1%,,,,,,,,
Empoleon,114,held_item,9,Expert Belt,2.6%,,,,,,,,
Empoleon,114,held_item,10,Wide Lens,2.6%,,,,,,,,
Empoleon,114,teammate,1,Sinistcha,,,,,,,,,
Empoleon,114,teammate,2,Garchomp,,,,,,,,,
Empoleon,114,teammate,3,Whimsicott,,,,,,,,,
Empoleon,114,teammate,4,Staraptor,,,,,,,,,
Empoleon,114,teammate,5,Raichu,,,,,,,,,
Empoleon,114,teammate,6,Farigiraf,,,,,,,,,
Empoleon,114,teammate,7,Incineroar,,,,,,,,,
Empoleon,114,teammate,8,Tyranitar,,,,,,,,,
Empoleon,114,teammate,9,Pelipper,,,,,,,,,
Empoleon,114,teammate,10,Charizard,,,,,,,,,
Empoleon,114,stat_alignment,1,Modest,55.5%,Sp. Atk,Attack,,,,,,
Empoleon,114,stat_alignment,2,Quiet,18.0%,Sp. Atk,Speed,,,,,,
Empoleon,114,stat_alignment,3,Bold,9.1%,Defense,Attack,,,,,,
Empoleon,114,stat_alignment,4,Calm,6.3%,Sp. Def,Attack,,,,,,
Empoleon,114,stat_alignment,5,Timid,5.0%,Speed,Attack,,,,,,
Empoleon,114,stat_alignment,6,Relaxed,2.2%,Defense,Speed,,,,,,
Empoleon,114,stat_alignment,7,Mild,1.3%,Sp. Atk,Defense,,,,,,
Empoleon,114,stat_alignment,8,Sassy,1.3%,Sp. Def,Speed,,,,,,
Empoleon,114,stat_alignment,9,Adamant,0.5%,Attack,Sp. Atk,,,,,,
Empoleon,114,stat_alignment,10,Naughty,0.3%,Attack,Sp. Def,,,,,,
Empoleon,114,stat_points,1,,16.8%,,,32,0,2,32,0,0
Empoleon,114,stat_points,2,,9.6%,,,32,0,0,32,2,0
Empoleon,114,stat_points,3,,3.4%,,,32,0,0,32,0,2
Empoleon,114,stat_points,4,,3.1%,,,2,0,32,32,0,0
Empoleon,114,stat_points,5,,3.1%,,,2,0,0,32,0,32
Empoleon,114,stat_points,6,,3.0%,,,0,0,32,32,2,0
Empoleon,114,stat_points,7,,2.9%,,,32,0,2,0,32,0
Empoleon,114,stat_points,8,,2.0%,,,2,0,0,32,32,0
Empoleon,114,stat_points,9,,1.9%,,,32,0,0,19,0,15
Empoleon,114,stat_points,10,,1.8%,,,32,0,15,19,0,0
Empoleon,114,stat_points,11,,1.7%,,,32,0,32,0,2,0
Empoleon,114,ability,1,Competitive,97.9%,,,,,,,,
Empoleon,114,ability,2,Torrent,2.1%,,,,,,,,
