pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Espathra,102,move,1,Protect,91.6%,,,,,,,,
Espathra,102,move,2,Lumina Crash,81.2%,,,,,,,,
Espathra,102,move,3,Calm Mind,77.9%,,,,,,,,
Espathra,102,move,4,Baton Pass,77.7%,,,,,,,,
Espathra,102,move,5,Stored Power,13.7%,,,,,,,,
Espathra,102,move,6,Dazzling Gleam,12.9%,,,,,,,,
Espathra,102,move,7,Hypnosis,5.6%,,,,,,,,
Espathra,102,move,8,Shadow Ball,3.4%,,,,,,,,
Espathra,102,move,9,Psychic Terrain,3.2%,,,,,,,,
Espathra,102,move,10,Skill Swap,3.2%,,,,,,,,
Espathra,102,held_item,1,Sitrus Berry,27.3%,,,,,,,,
Espathra,102,held_item,2,Focus Sash,21.2%,,,,,,,,
Espathra,102,held_item,3,Mental Herb,16.0%,,,,,,,,
Espathra,102,held_item,4,Leftovers,13.5%,,,,,,,,
Espathra,102,held_item,5,Colbur Berry,10.3%,,,,,,,,
Espathra,102,held_item,6,Life Orb,1.8%,,,,,,,,
Espathra,102,held_item,7,Bright Powder,1.7%,,,,,,,,
Espathra,102,held_item,8,Twisted Spoon,1.5%,,,,,,,,
Espathra,102,held_item,9,White Herb,1.2%,,,,,,,,
Espathra,102,held_item,10,Kasib Berry,1.1%,,,,,,,,
Espathra,102,teammate,1,Archaludon,,,,,,,,,
Espathra,102,teammate,2,Sinistcha,,,,,,,,,
Espathra,102,teammate,3,Sneasler,,,,,,,,,
Espathra,102,teammate,4,Sableye,,,,,,,,,
Espathra,102,teammate,5,Scovillain,,,,,,,,,
Espathra,102,teammate,6,Grimmsnarl,,,,,,,,,
Espathra,102,teammate,7,Incineroar,,,,,,,,,
Espathra,102,teammate,8,Politoed,,,,,,,,,
Espathra,102,teammate,9,Garchomp,,,,,,,,,
Espathra,102,teammate,10,Dragonite,,,,,,,,,
Espathra,102,stat_alignment,1,Timid,45.5%,Speed,Attack,,,,,,
Espathra,102,stat_alignment,2,Bold,25.5%,Defense,Attack,,,,,,
Espathra,102,stat_alignment,3,Modest,18.7%,Sp. Atk,Attack,,,,,,
Espathra,102,stat_alignment,4,Calm,7.6%,Sp. Def,Attack,,,,,,
Espathra,102,stat_alignment,5,Mild,0.7%,Sp. Atk,Defense,,,,,,
Espathra,102,stat_alignment,6,Quiet,0.6%,Sp. Atk,Speed,,,,,,
Espathra,102,stat_alignment,7,Hasty,0.4%,Speed,Defense,,,,,,
Espathra,102,stat_alignment,8,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Espathra,102,stat_alignment,9,Relaxed,0.2%,Defense,Speed,,,,,,
Espathra,102,stat_alignment,10,Docile,0.1%,,,,,,,,
Espathra,102,stat_points,1,,12.0%,,,32,0,9,0,6,19
Espathra,102,stat_points,2,,9.4%,,,2,0,0,32,0,32
Espathra,102,stat_points,3,,5.1%,,,32,0,32,0,2,0
Espathra,102,stat_points,4,,2.3%,,,32,0,2,0,0,32
Espathra,102,stat_points,5,,2.2%,,,0,0,2,32,0,32
Espathra,102,stat_points,6,,2.2%,,,32,0,26,0,8,0
Espathra,102,stat_points,7,,2.1%,,,32,0,0,32,0,2
Espathra,102,stat_points,8,,1.9%,,,2,0,32,0,32,0
Espathra,102,stat_points,9,,1.8%,,,32,0,32,0,0,2
Espathra,102,stat_points,10,,1.6%,,,32,0,20,0,14,0
Espathra,102,stat_points,11,,1.5%,,,0,0,0,32,2,32
Espathra,102,stat_points,12,,1.3%,,,32,0,0,2,0,32
Espathra,102,ability,1,Speed Boost,94.5%,,,,,,,,
Espathra,102,ability,2,Opportunist,5.0%,,,,,,,,
Espathra,102,ability,3,Frisk,0.4%,,,,,,,,
