pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Excadrill,51,move,1,Iron Head,96.2%,,,,,,,,
Excadrill,51,move,2,Protect,88.7%,,,,,,,,
Excadrill,51,move,3,Rock Slide,82.0%,,,,,,,,
Excadrill,51,move,4,Earthquake,64.4%,,,,,,,,
Excadrill,51,move,5,High Horsepower,43.4%,,,,,,,,
Excadrill,51,move,6,Swords Dance,5.1%,,,,,,,,
Excadrill,51,move,7,Drill Run,3.4%,,,,,,,,
Excadrill,51,move,8,Brick Break,2.8%,,,,,,,,
Excadrill,51,move,9,Stomping Tantrum,2.5%,,,,,,,,
Excadrill,51,move,10,Horn Drill,1.8%,,,,,,,,
Excadrill,51,held_item,1,Focus Sash,67.0%,,,,,,,,
Excadrill,51,held_item,2,Life Orb,14.6%,,,,,,,,
Excadrill,51,held_item,3,Excadrite,4.8%,,,,,,,,
Excadrill,51,held_item,4,Choice Scarf,4.8%,,,,,,,,
Excadrill,51,held_item,5,Soft Sand,1.1%,,,,,,,,
Excadrill,51,held_item,6,Lum Berry,1.1%,,,,,,,,
Excadrill,51,held_item,7,Expert Belt,0.9%,,,,,,,,
Excadrill,51,held_item,8,Sitrus Berry,0.9%,,,,,,,,
Excadrill,51,held_item,9,White Herb,0.8%,,,,,,,,
Excadrill,51,held_item,10,Chople Berry,0.7%,,,,,,,,
Excadrill,51,teammate,1,Tyranitar,,,,,,,,,
Excadrill,51,teammate,2,Sinistcha,,,,,,,,,
Excadrill,51,teammate,3,Staraptor,,,,,,,,,
Excadrill,51,teammate,4,Incineroar,,,,,,,,,
Excadrill,51,teammate,5,Corviknight,,,,,,,,,
Excadrill,51,teammate,6,Rotom Wash,,,,,,,,,
Excadrill,51,teammate,7,Whimsicott,,,,,,,,,
Excadrill,51,teammate,8,Sylveon,,,,,,,,,
Excadrill,51,teammate,9,Sneasler,,,,,,,,,
Excadrill,51,teammate,10,Basculegion Male,,,,,,,,,
Excadrill,51,stat_alignment,1,Adamant,72.4%,Attack,Sp. Atk,,,,,,
Excadrill,51,stat_alignment,2,Jolly,23.6%,Speed,Sp. Atk,,,,,,
Excadrill,51,stat_alignment,3,Naughty,0.9%,Attack,Sp. Def,,,,,,
Excadrill,51,stat_alignment,4,Lonely,0.9%,Attack,Defense,,,,,,
Excadrill,51,stat_alignment,5,Brave,0.7%,Attack,Speed,,,,,,
Excadrill,51,stat_alignment,6,Hasty,0.4%,Speed,Defense,,,,,,
Excadrill,51,stat_alignment,7,Naive,0.3%,Speed,Sp. Def,,,,,,
Excadrill,51,stat_alignment,8,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Excadrill,51,stat_alignment,9,Impish,0.2%,Defense,Sp. Atk,,,,,,
Excadrill,51,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Excadrill,51,stat_points,1,,52.5%,,,2,32,0,0,0,32
Excadrill,51,stat_points,2,,7.9%,,,0,32,2,0,0,32
Excadrill,51,stat_points,3,,6.4%,,,0,32,0,0,2,32
Excadrill,51,stat_points,4,,5.6%,,,1,32,0,0,1,32
Excadrill,51,stat_points,5,,3.9%,,,1,32,1,0,0,32
Excadrill,51,stat_points,6,,3.4%,,,0,32,1,0,1,32
Excadrill,51,stat_points,7,,3.0%,,,0,32,0,0,0,32
Excadrill,51,stat_points,8,,1.7%,,,32,32,0,0,0,2
Excadrill,51,stat_points,9,,1.5%,,,1,32,0,0,0,32
Excadrill,51,stat_points,10,,1.1%,,,32,32,2,0,0,0
Excadrill,51,stat_points,11,,0.7%,,,32,32,0,0,2,0
Excadrill,51,stat_points,12,,0.5%,,,0,32,1,0,0,32
Excadrill,51,ability,1,Sand Rush,85.9%,,,,,,,,
Excadrill,51,ability,2,Mold Breaker,11.2%,,,,,,,,
Excadrill,51,ability,3,Sand Force,3.0%,,,,,,,,
