pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Farigiraf,13,move,1,Trick Room,96.3%,,,,,,,,
Farigiraf,13,move,2,Psychic,59.3%,,,,,,,,
Farigiraf,13,move,3,Helping Hand,51.4%,,,,,,,,
Farigiraf,13,move,4,Protect,43.7%,,,,,,,,
Farigiraf,13,move,5,Thunderbolt,33.6%,,,,,,,,
Farigiraf,13,move,6,Hyper Voice,23.5%,,,,,,,,
Farigiraf,13,move,7,Twin Beam,23.3%,,,,,,,,
Farigiraf,13,move,8,Roar,7.0%,,,,,,,,
Farigiraf,13,move,9,Imprison,6.8%,,,,,,,,
Farigiraf,13,move,10,Rain Dance,5.4%,,,,,,,,
Farigiraf,13,held_item,1,Sitrus Berry,58.6%,,,,,,,,
Farigiraf,13,held_item,2,Colbur Berry,23.0%,,,,,,,,
Farigiraf,13,held_item,3,Mental Herb,5.1%,,,,,,,,
Farigiraf,13,held_item,4,Leftovers,5.1%,,,,,,,,
Farigiraf,13,held_item,5,Focus Sash,3.0%,,,,,,,,
Farigiraf,13,held_item,6,Life Orb,0.7%,,,,,,,,
Farigiraf,13,held_item,7,Light Clay,0.5%,,,,,,,,
Farigiraf,13,held_item,8,Silk Scarf,0.4%,,,,,,,,
Farigiraf,13,held_item,9,Wise Glasses,0.4%,,,,,,,,
Farigiraf,13,held_item,10,Lum Berry,0.4%,,,,,,,,
Farigiraf,13,teammate,1,Torkoal,,,,,,,,,
Farigiraf,13,teammate,2,Mawile,,,,,,,,,
Farigiraf,13,teammate,3,Kingambit,,,,,,,,,
Farigiraf,13,teammate,4,Sylveon,,,,,,,,,
Farigiraf,13,teammate,5,Basculegion Male,,,,,,,,,
Farigiraf,13,teammate,6,Incineroar,,,,,,,,,
Farigiraf,13,teammate,7,Garchomp,,,,,,,,,
Farigiraf,13,teammate,8,Whimsicott,,,,,,,,,
Farigiraf,13,teammate,9,Staraptor,,,,,,,,,
Farigiraf,13,teammate,10,Sinistcha,,,,,,,,,
Farigiraf,13,stat_alignment,1,Bold,29.4%,Defense,Attack,,,,,,
Farigiraf,13,stat_alignment,2,Quiet,20.7%,Sp. Atk,Speed,,,,,,
Farigiraf,13,stat_alignment,3,Relaxed,17.0%,Defense,Speed,,,,,,
Farigiraf,13,stat_alignment,4,Modest,13.1%,Sp. Atk,Attack,,,,,,
Farigiraf,13,stat_alignment,5,Sassy,11.7%,Sp. Def,Speed,,,,,,
Farigiraf,13,stat_alignment,6,Calm,6.1%,Sp. Def,Attack,,,,,,
Farigiraf,13,stat_alignment,7,Timid,0.8%,Speed,Attack,,,,,,
Farigiraf,13,stat_alignment,8,Mild,0.3%,Sp. Atk,Defense,,,,,,
Farigiraf,13,stat_alignment,9,Impish,0.2%,Defense,Sp. Atk,,,,,,
Farigiraf,13,stat_alignment,10,Brave,0.1%,Attack,Speed,,,,,,
Farigiraf,13,stat_points,1,,5.9%,,,17,0,19,10,20,0
Farigiraf,13,stat_points,2,,4.9%,,,32,0,20,0,14,0
Farigiraf,13,stat_points,3,,4.2%,,,25,0,26,0,15,0
Farigiraf,13,stat_points,4,,3.8%,,,32,0,2,32,0,0
Farigiraf,13,stat_points,5,,3.6%,,,32,0,32,0,2,0
Farigiraf,13,stat_points,6,,3.1%,,,32,0,27,0,7,0
Farigiraf,13,stat_points,7,,2.9%,,,25,0,10,0,24,7
Farigiraf,13,stat_points,8,,2.4%,,,32,0,0,32,2,0
Farigiraf,13,stat_points,9,,1.8%,,,32,0,23,0,11,0
Farigiraf,13,stat_points,10,,1.7%,,,31,0,14,13,8,0
Farigiraf,13,stat_points,11,,1.6%,,,31,0,19,6,10,0
Farigiraf,13,stat_points,12,,1.5%,,,32,0,14,0,20,0
Farigiraf,13,ability,1,Armor Tail,99.1%,,,,,,,,
Farigiraf,13,ability,2,Cud Chew,0.5%,,,,,,,,
Farigiraf,13,ability,3,Sap Sipper,0.4%,,,,,,,,
