pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Feraligatr,131,move,1,Liquidation,88.6%,,,,,,,,
Feraligatr,131,move,2,Protect,70.6%,,,,,,,,
Feraligatr,131,move,3,Ice Punch,43.2%,,,,,,,,
Feraligatr,131,move,4,Double-Edge,34.9%,,,,,,,,
Feraligatr,131,move,5,Rain Dance,32.9%,,,,,,,,
Feraligatr,131,move,6,Aqua Jet,28.9%,,,,,,,,
Feraligatr,131,move,7,Body Slam,18.8%,,,,,,,,
Feraligatr,131,move,8,Crunch,16.0%,,,,,,,,
Feraligatr,131,move,9,Rock Slide,9.9%,,,,,,,,
Feraligatr,131,move,10,Swords Dance,8.0%,,,,,,,,
Feraligatr,131,held_item,1,Feraligite,62.0%,,,,,,,,
Feraligatr,131,held_item,2,Life Orb,31.5%,,,,,,,,
Feraligatr,131,held_item,3,Sitrus Berry,1.1%,,,,,,,,
Feraligatr,131,held_item,4,Mystic Water,1.1%,,,,,,,,
Feraligatr,131,held_item,5,Expert Belt,0.7%,,,,,,,,
Feraligatr,131,held_item,6,Leftovers,0.6%,,,,,,,,
Feraligatr,131,held_item,7,Quick Claw,0.5%,,,,,,,,
Feraligatr,131,held_item,8,Choice Scarf,0.4%,,,,,,,,
Feraligatr,131,held_item,9,Focus Sash,0.4%,,,,,,,,
Feraligatr,131,held_item,10,Scope Lens,0.3%,,,,,,,,
Feraligatr,131,teammate,1,Sinistcha,,,,,,,,,
Feraligatr,131,teammate,2,Whimsicott,,,,,,,,,
Feraligatr,131,teammate,3,Incineroar,,,,,,,,,
Feraligatr,131,teammate,4,Sneasler,,,,,,,,,
Feraligatr,131,teammate,5,Kingambit,,,,,,,,,
Feraligatr,131,teammate,6,Raichu,,,,,,,,,
Feraligatr,131,teammate,7,Farigiraf,,,,,,,,,
Feraligatr,131,teammate,8,Garchomp,,,,,,,,,
Feraligatr,131,teammate,9,Pelipper,,,,,,,,,
Feraligatr,131,teammate,10,Sylveon,,,,,,,,,
Feraligatr,131,stat_alignment,1,Adamant,61.1%,Attack,Sp. Atk,,,,,,
Feraligatr,131,stat_alignment,2,Jolly,20.0%,Speed,Sp. Atk,,,,,,
Feraligatr,131,stat_alignment,3,Brave,14.2%,Attack,Speed,,,,,,
Feraligatr,131,stat_alignment,4,Careful,1.9%,Sp. Def,Sp. Atk,,,,,,
Feraligatr,131,stat_alignment,5,Impish,0.7%,Defense,Sp. Atk,,,,,,
Feraligatr,131,stat_alignment,6,Sassy,0.5%,Sp. Def,Speed,,,,,,
Feraligatr,131,stat_alignment,7,Lonely,0.4%,Attack,Defense,,,,,,
Feraligatr,131,stat_alignment,8,Naughty,0.3%,Attack,Sp. Def,,,,,,
Feraligatr,131,stat_alignment,9,Bold,0.2%,Defense,Attack,,,,,,
Feraligatr,131,stat_alignment,10,Serious,0.1%,,,,,,,,
Feraligatr,131,stat_points,1,,18.3%,,,2,32,0,0,0,32
Feraligatr,131,stat_points,2,,10.0%,,,32,32,0,0,2,0
Feraligatr,131,stat_points,3,,5.6%,,,32,32,2,0,0,0
Feraligatr,131,stat_points,4,,4.7%,,,32,32,0,0,0,2
Feraligatr,131,stat_points,5,,4.7%,,,0,32,0,0,2,32
Feraligatr,131,stat_points,6,,3.1%,,,32,20,0,0,0,14
Feraligatr,131,stat_points,7,,2.8%,,,0,32,2,0,0,32
Feraligatr,131,stat_points,8,,1.6%,,,20,32,0,0,0,14
Feraligatr,131,stat_points,9,,1.6%,,,32,32,1,0,1,0
Feraligatr,131,stat_points,10,,1.4%,,,0,32,0,0,0,32
Feraligatr,131,stat_points,11,,1.3%,,,2,32,32,0,0,0
Feraligatr,131,stat_points,12,,1.2%,,,31,32,0,0,0,3
Feraligatr,131,ability,1,Sheer Force,83.2%,,,,,,,,
Feraligatr,131,ability,2,Torrent,16.8%,,,,,,,,
