pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Flapple,235,move,1,Grav Apple,99.9%,,,,,,,,
Flapple,235,move,2,Dragon Rush,79.4%,,,,,,,,
Flapple,235,move,3,Protect,69.2%,,,,,,,,
Flapple,235,move,4,Sucker Punch,52.1%,,,,,,,,
Flapple,235,move,5,Dual Wingbeat,28.8%,,,,,,,,
Flapple,235,move,6,U-turn,22.0%,,,,,,,,
Flapple,235,move,7,Dragon Dance,19.1%,,,,,,,,
Flapple,235,move,8,Outrage,8.9%,,,,,,,,
Flapple,235,move,9,Giga Impact,2.9%,,,,,,,,
Flapple,235,move,10,Draco Meteor,2.4%,,,,,,,,
Flapple,235,held_item,1,Focus Sash,25.1%,,,,,,,,
Flapple,235,held_item,2,Choice Scarf,19.5%,,,,,,,,
Flapple,235,held_item,3,Miracle Seed,19.3%,,,,,,,,
Flapple,235,held_item,4,Life Orb,15.4%,,,,,,,,
Flapple,235,held_item,5,Wide Lens,5.3%,,,,,,,,
Flapple,235,held_item,6,Sitrus Berry,4.2%,,,,,,,,
Flapple,235,held_item,7,Yache Berry,3.9%,,,,,,,,
Flapple,235,held_item,8,White Herb,1.1%,,,,,,,,
Flapple,235,held_item,9,Roseli Berry,0.9%,,,,,,,,
Flapple,235,held_item,10,Expert Belt,0.8%,,,,,,,,
Flapple,235,teammate,1,Sableye,,,,,,,,,
Flapple,235,teammate,2,Farigiraf,,,,,,,,,
Flapple,235,teammate,3,Milotic,,,,,,,,,
Flapple,235,teammate,4,Maushold Family of Four,,,,,,,,,
Flapple,235,teammate,5,Meowstic,,,,,,,,,
Flapple,235,teammate,6,Kingambit,,,,,,,,,
Flapple,235,teammate,7,Camerupt,,,,,,,,,
Flapple,235,teammate,8,Raichu,,,,,,,,,
Flapple,235,teammate,9,Gengar,,,,,,,,,
Flapple,235,teammate,10,Delphox,,,,,,,,,
Flapple,235,stat_alignment,1,Jolly,37.0%,Speed,Sp. Atk,,,,,,
Flapple,235,stat_alignment,2,Adamant,36.4%,Attack,Sp. Atk,,,,,,
Flapple,235,stat_alignment,3,Brave,16.9%,Attack,Speed,,,,,,
Flapple,235,stat_alignment,4,Sassy,3.9%,Sp. Def,Speed,,,,,,
Flapple,235,stat_alignment,5,Naive,1.9%,Speed,Sp. Def,,,,,,
Flapple,235,stat_alignment,6,Hasty,1.4%,Speed,Defense,,,,,,
Flapple,235,stat_alignment,7,Impish,1.0%,Defense,Sp. Atk,,,,,,
Flapple,235,stat_alignment,8,Relaxed,0.4%,Defense,Speed,,,,,,
Flapple,235,stat_alignment,9,Naughty,0.3%,Attack,Sp. Def,,,,,,
Flapple,235,stat_alignment,10,Serious,0.2%,,,,,,,,
Flapple,235,stat_points,1,,31.6%,,,2,32,0,0,0,32
Flapple,235,stat_points,2,,10.4%,,,0,32,0,0,2,32
Flapple,235,stat_points,3,,8.6%,,,32,32,2,0,0,0
Flapple,235,stat_points,4,,8.1%,,,0,32,2,0,0,32
Flapple,235,stat_points,5,,4.6%,,,32,32,0,0,0,2
Flapple,235,stat_points,6,,4.2%,,,32,32,0,0,2,0
Flapple,235,stat_points,7,,3.5%,,,0,32,2,0,32,0
Flapple,235,stat_points,8,,3.4%,,,14,32,0,0,20,0
Flapple,235,stat_points,9,,2.4%,,,0,25,9,0,0,32
Flapple,235,stat_points,10,,2.0%,,,2,32,32,0,0,0
Flapple,235,stat_points,11,,1.8%,,,24,32,0,0,10,0
Flapple,235,ability,1,Hustle,89.7%,,,,,,,,
Flapple,235,ability,2,Ripen,7.6%,,,,,,,,
Flapple,235,ability,3,Gluttony,2.7%,,,,,,,,
