pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Floette,22,move,1,Protect,98.4%,,,,,,,,
Floette,22,move,2,Dazzling Gleam,93.4%,,,,,,,,
Floette,22,move,3,Moonblast,76.4%,,,,,,,,
Floette,22,move,4,Light of Ruin,56.3%,,,,,,,,
Floette,22,move,5,Calm Mind,43.8%,,,,,,,,
Floette,22,move,6,Draining Kiss,23.5%,,,,,,,,
Floette,22,move,7,Psychic,2.5%,,,,,,,,
Floette,22,move,8,Giga Drain,1.8%,,,,,,,,
Floette,22,move,9,Energy Ball,1.5%,,,,,,,,
Floette,22,move,10,Synthesis,0.5%,,,,,,,,
Floette,22,held_item,1,Floettite,99.3%,,,,,,,,
Floette,22,held_item,2,Choice Scarf,0.3%,,,,,,,,
Floette,22,held_item,3,Fairy Feather,0.2%,,,,,,,,
Floette,22,held_item,4,Life Orb,0.1%,,,,,,,,
Floette,22,held_item,5,Leftovers,0.0%,,,,,,,,
Floette,22,held_item,6,Sitrus Berry,0.0%,,,,,,,,
Floette,22,held_item,7,Metronome,0.0%,,,,,,,,
Floette,22,held_item,8,Focus Sash,0.0%,,,,,,,,
Floette,22,held_item,9,Babiri Berry,0.0%,,,,,,,,
Floette,22,held_item,10,Big Root,0.0%,,,,,,,,
Floette,22,teammate,1,Basculegion Male,,,,,,,,,
Floette,22,teammate,2,Garchomp,,,,,,,,,
Floette,22,teammate,3,Whimsicott,,,,,,,,,
Floette,22,teammate,4,Kingambit,,,,,,,,,
Floette,22,teammate,5,Charizard,,,,,,,,,
Floette,22,teammate,6,Sinistcha,,,,,,,,,
Floette,22,teammate,7,Incineroar,,,,,,,,,
Floette,22,teammate,8,Sneasler,,,,,,,,,
Floette,22,teammate,9,Grimmsnarl,,,,,,,,,
Floette,22,teammate,10,Aerodactyl,,,,,,,,,
Floette,22,stat_alignment,1,Modest,77.0%,Sp. Atk,Attack,,,,,,
Floette,22,stat_alignment,2,Timid,21.4%,Speed,Attack,,,,,,
Floette,22,stat_alignment,3,Bold,1.0%,Defense,Attack,,,,,,
Floette,22,stat_alignment,4,Quiet,0.4%,Sp. Atk,Speed,,,,,,
Floette,22,stat_alignment,5,Calm,0.1%,Sp. Def,Attack,,,,,,
Floette,22,stat_alignment,6,Relaxed,0.0%,Defense,Speed,,,,,,
Floette,22,stat_alignment,7,Jolly,0.0%,Speed,Sp. Atk,,,,,,
Floette,22,stat_alignment,8,Sassy,0.0%,Sp. Def,Speed,,,,,,
Floette,22,stat_alignment,9,Naive,0.0%,Speed,Sp. Def,,,,,,
Floette,22,stat_alignment,10,Adamant,0.0%,Attack,Sp. Atk,,,,,,
Floette,22,stat_points,1,,30.1%,,,2,0,0,32,0,32
Floette,22,stat_points,2,,6.4%,,,0,0,2,32,0,32
Floette,22,stat_points,3,,5.4%,,,10,0,19,5,0,32
Floette,22,stat_points,4,,4.9%,,,8,0,1,25,0,32
Floette,22,stat_points,5,,3.2%,,,4,0,25,5,0,32
Floette,22,stat_points,6,,2.1%,,,16,0,3,25,0,22
Floette,22,stat_points,7,,1.8%,,,10,0,12,21,0,23
Floette,22,stat_points,8,,1.3%,,,9,0,0,25,0,32
Floette,22,stat_points,9,,1.3%,,,1,0,1,32,0,32
Floette,22,stat_points,10,,1.3%,,,26,0,3,5,0,32
Floette,22,stat_points,11,,1.2%,,,32,0,2,32,0,0
Floette,22,ability,1,Flower Veil,99.2%,,,,,,,,
Floette,22,ability,2,Symbiosis,0.8%,,,,,,,,
