pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Florges Red Flower,196,move,1,Moonblast,70.1%,,,,,,,,
Florges Red Flower,196,move,2,Protect,57.9%,,,,,,,,
Florges Red Flower,196,move,3,Pollen Puff,49.3%,,,,,,,,
Florges Red Flower,196,move,4,Dazzling Gleam,35.5%,,,,,,,,
Florges Red Flower,196,move,5,Energy Ball,17.9%,,,,,,,,
Florges Red Flower,196,move,6,Psychic,17.8%,,,,,,,,
Florges Red Flower,196,move,7,Calm Mind,17.5%,,,,,,,,
Florges Red Flower,196,move,8,Grassy Terrain,15.0%,,,,,,,,
Florges Red Flower,196,move,9,Helping Hand,14.7%,,,,,,,,
Florges Red Flower,196,move,10,Giga Drain,14.4%,,,,,,,,
Florges Red Flower,196,held_item,1,Leftovers,23.6%,,,,,,,,
Florges Red Flower,196,held_item,2,Sitrus Berry,21.8%,,,,,,,,
Florges Red Flower,196,held_item,3,Choice Scarf,13.0%,,,,,,,,
Florges Red Flower,196,held_item,4,Fairy Feather,12.6%,,,,,,,,
Florges Red Flower,196,held_item,5,Quick Claw,4.3%,,,,,,,,
Florges Red Flower,196,held_item,6,Babiri Berry,4.2%,,,,,,,,
Florges Red Flower,196,held_item,7,Expert Belt,3.4%,,,,,,,,
Florges Red Flower,196,held_item,8,Life Orb,3.3%,,,,,,,,
Florges Red Flower,196,held_item,9,Focus Sash,1.8%,,,,,,,,
Florges Red Flower,196,held_item,10,Miracle Seed,1.7%,,,,,,,,
Florges Red Flower,196,teammate,1,Whimsicott,,,,,,,,,
Florges Red Flower,196,teammate,2,Incineroar,,,,,,,,,
Florges Red Flower,196,teammate,3,Garchomp,,,,,,,,,
Florges Red Flower,196,teammate,4,Chesnaught,,,,,,,,,
Florges Red Flower,196,teammate,5,Kingambit,,,,,,,,,
Florges Red Flower,196,teammate,6,Raichu,,,,,,,,,
Florges Red Flower,196,teammate,7,Sinistcha,,,,,,,,,
Florges Red Flower,196,teammate,8,Charizard,,,,,,,,,
Florges Red Flower,196,teammate,9,Basculegion Male,,,,,,,,,
Florges Red Flower,196,teammate,10,Gholdengo,,,,,,,,,
Florges Red Flower,196,stat_alignment,1,Modest,37.1%,Sp. Atk,Attack,,,,,,
Florges Red Flower,196,stat_alignment,2,Bold,28.8%,Defense,Attack,,,,,,
Florges Red Flower,196,stat_alignment,3,Timid,10.0%,Speed,Attack,,,,,,
Florges Red Flower,196,stat_alignment,4,Calm,8.3%,Sp. Def,Attack,,,,,,
Florges Red Flower,196,stat_alignment,5,Quiet,7.3%,Sp. Atk,Speed,,,,,,
Florges Red Flower,196,stat_alignment,6,Relaxed,2.3%,Defense,Speed,,,,,,
Florges Red Flower,196,stat_alignment,7,Jolly,1.8%,Speed,Sp. Atk,,,,,,
Florges Red Flower,196,stat_alignment,8,Sassy,1.0%,Sp. Def,Speed,,,,,,
Florges Red Flower,196,stat_alignment,9,Lax,1.0%,Defense,Sp. Def,,,,,,
Florges Red Flower,196,stat_alignment,10,Mild,0.9%,Sp. Atk,Defense,,,,,,
Florges Red Flower,196,stat_points,1,,10.0%,,,2,0,0,32,0,32
Florges Red Flower,196,stat_points,2,,8.3%,,,32,0,32,0,2,0
Florges Red Flower,196,stat_points,3,,4.4%,,,32,0,2,32,0,0
Florges Red Flower,196,stat_points,4,,4.1%,,,0,0,32,32,2,0
Florges Red Flower,196,stat_points,5,,4.1%,,,22,0,1,1,0,32
Florges Red Flower,196,stat_points,7,,3.7%,,,32,0,0,32,2,0
Florges Red Flower,196,stat_points,8,,3.6%,,,2,0,0,32,32,0
Florges Red Flower,196,stat_points,9,,3.4%,,,31,0,30,5,0,0
Florges Red Flower,196,stat_points,10,,3.4%,,,32,0,22,0,12,0
Florges Red Flower,196,stat_points,11,,2.4%,,,32,0,0,32,1,0
Florges Red Flower,196,ability,1,Flower Veil,73.3%,,,,,,,,
Florges Red Flower,196,ability,2,Symbiosis,26.7%,,,,,,,,
