pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Forretress,216,move,1,Body Press,59.2%,,,,,,,,
Forretress,216,move,2,Protect,52.5%,,,,,,,,
Forretress,216,move,3,Gyro Ball,42.2%,,,,,,,,
Forretress,216,move,4,Explosion,34.9%,,,,,,,,
Forretress,216,move,5,Iron Defense,25.0%,,,,,,,,
Forretress,216,move,6,Lunge,23.9%,,,,,,,,
Forretress,216,move,7,Iron Head,21.2%,,,,,,,,
Forretress,216,move,8,Curse,20.8%,,,,,,,,
Forretress,216,move,9,Volt Switch,10.8%,,,,,,,,
Forretress,216,move,10,Stealth Rock,10.7%,,,,,,,,
Forretress,216,held_item,1,Leftovers,41.9%,,,,,,,,
Forretress,216,held_item,2,Sitrus Berry,9.8%,,,,,,,,
Forretress,216,held_item,3,Life Orb,7.8%,,,,,,,,
Forretress,216,held_item,4,Bright Powder,7.0%,,,,,,,,
Forretress,216,held_item,5,Muscle Band,6.1%,,,,,,,,
Forretress,216,held_item,6,Occa Berry,5.9%,,,,,,,,
Forretress,216,held_item,7,Silk Scarf,5.0%,,,,,,,,
Forretress,216,held_item,8,Iron Ball,4.0%,,,,,,,,
Forretress,216,held_item,9,Quick Claw,3.8%,,,,,,,,
Forretress,216,held_item,10,Expert Belt,2.4%,,,,,,,,
Forretress,216,teammate,1,Farigiraf,,,,,,,,,
Forretress,216,teammate,2,Sinistcha,,,,,,,,,
Forretress,216,teammate,3,Mawile,,,,,,,,,
Forretress,216,teammate,4,Tyranitar,,,,,,,,,
Forretress,216,teammate,5,Whimsicott,,,,,,,,,
Forretress,216,teammate,6,Reuniclus,,,,,,,,,
Forretress,216,teammate,7,Metagross,,,,,,,,,
Forretress,216,teammate,8,Araquanid,,,,,,,,,
Forretress,216,teammate,9,Charizard,,,,,,,,,
Forretress,216,teammate,10,Staraptor,,,,,,,,,
Forretress,216,stat_alignment,1,Relaxed,35.7%,Defense,Speed,,,,,,
Forretress,216,stat_alignment,2,Adamant,15.3%,Attack,Sp. Atk,,,,,,
Forretress,216,stat_alignment,3,Impish,15.0%,Defense,Sp. Atk,,,,,,
Forretress,216,stat_alignment,4,Sassy,9.9%,Sp. Def,Speed,,,,,,
Forretress,216,stat_alignment,5,Brave,9.2%,Attack,Speed,,,,,,
Forretress,216,stat_alignment,6,Quiet,8.2%,Sp. Atk,Speed,,,,,,
Forretress,216,stat_alignment,7,Careful,2.1%,Sp. Def,Sp. Atk,,,,,,
Forretress,216,stat_alignment,8,Bold,1.6%,Defense,Attack,,,,,,
Forretress,216,stat_alignment,9,Naughty,0.8%,Attack,Sp. Def,,,,,,
Forretress,216,stat_alignment,10,Bashful,0.5%,,,,,,,,
Forretress,216,stat_points,1,,27.7%,,,32,0,32,0,2,0
Forretress,216,stat_points,2,,16.2%,,,32,2,32,0,0,0
Forretress,216,stat_points,3,,9.2%,,,32,32,2,0,0,0
Forretress,216,stat_points,4,,8.9%,,,2,32,32,0,0,0
Forretress,216,stat_points,5,,3.3%,,,0,32,0,0,2,32
Forretress,216,stat_points,6,,2.8%,,,32,0,2,0,32,0
Forretress,216,stat_points,7,,2.4%,,,2,32,0,0,32,0
Forretress,216,stat_points,8,,2.3%,,,2,32,0,0,0,32
Forretress,216,stat_points,9,,2.3%,,,32,0,32,0,0,0
Forretress,216,stat_points,10,,2.0%,,,2,0,32,0,32,0
Forretress,216,ability,1,Sturdy,87.4%,,,,,,,,
Forretress,216,ability,2,Overcoat,12.6%,,,,,,,,
