pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Furfrou Natural Form,219,move,1,Snarl,38.5%,,,,,,,,
Furfrou Natural Form,219,move,2,Sucker Punch,32.3%,,,,,,,,
Furfrou Natural Form,219,move,3,Cotton Guard,27.2%,,,,,,,,
Furfrou Natural Form,219,move,4,Last Resort,24.7%,,,,,,,,
Furfrou Natural Form,219,move,5,Psychic Fangs,22.5%,,,,,,,,
Furfrou Natural Form,219,move,6,Baby-Doll Eyes,22.0%,,,,,,,,
Furfrou Natural Form,219,move,7,Protect,19.6%,,,,,,,,
Furfrou Natural Form,219,move,8,Thunder Wave,19.3%,,,,,,,,
Furfrou Natural Form,219,move,9,Helping Hand,19.1%,,,,,,,,
Furfrou Natural Form,219,move,10,Charm,16.9%,,,,,,,,
Furfrou Natural Form,219,held_item,1,Leftovers,23.4%,,,,,,,,
Furfrou Natural Form,219,held_item,2,Focus Band,21.0%,,,,,,,,
Furfrou Natural Form,219,held_item,3,Sitrus Berry,18.5%,,,,,,,,
Furfrou Natural Form,219,held_item,4,Life Orb,10.4%,,,,,,,,
Furfrou Natural Form,219,held_item,5,Chople Berry,8.0%,,,,,,,,
Furfrou Natural Form,219,held_item,6,Expert Belt,6.1%,,,,,,,,
Furfrou Natural Form,219,held_item,7,Chesto Berry,3.4%,,,,,,,,
Furfrou Natural Form,219,held_item,8,Silk Scarf,2.6%,,,,,,,,
Furfrou Natural Form,219,held_item,9,Bright Powder,2.6%,,,,,,,,
Furfrou Natural Form,219,held_item,10,Mental Herb,1.6%,,,,,,,,
Furfrou Natural Form,219,teammate,1,Staraptor,,,,,,,,,
Furfrou Natural Form,219,teammate,2,Whimsicott,,,,,,,,,
Furfrou Natural Form,219,teammate,3,Charizard,,,,,,,,,
Furfrou Natural Form,219,teammate,4,Raichu,,,,,,,,,
Furfrou Natural Form,219,teammate,5,Torkoal,,,,,,,,,
Furfrou Natural Form,219,teammate,6,Kingambit,,,,,,,,,
Furfrou Natural Form,219,teammate,7,Polteageist,,,,,,,,,
Furfrou Natural Form,219,teammate,8,Incineroar,,,,,,,,,
Furfrou Natural Form,219,teammate,9,Sinistcha,,,,,,,,,
Furfrou Natural Form,219,teammate,10,Talonflame,,,,,,,,,
Furfrou Natural Form,219,stat_alignment,1,Jolly,34.5%,Speed,Sp. Atk,,,,,,
Furfrou Natural Form,219,stat_alignment,2,Impish,16.1%,Defense,Sp. Atk,,,,,,
Furfrou Natural Form,219,stat_alignment,3,Careful,10.6%,Sp. Def,Sp. Atk,,,,,,
Furfrou Natural Form,219,stat_alignment,4,Bold,9.6%,Defense,Attack,,,,,,
Furfrou Natural Form,219,stat_alignment,5,Sassy,7.0%,Sp. Def,Speed,,,,,,
Furfrou Natural Form,219,stat_alignment,6,Timid,5.7%,Speed,Attack,,,,,,
Furfrou Natural Form,219,stat_alignment,7,Adamant,4.8%,Attack,Sp. Atk,,,,,,
Furfrou Natural Form,219,stat_alignment,8,Calm,4.7%,Sp. Def,Attack,,,,,,
Furfrou Natural Form,219,stat_alignment,9,Brave,2.3%,Attack,Speed,,,,,,
Furfrou Natural Form,219,stat_alignment,10,Relaxed,2.0%,Defense,Speed,,,,,,
Furfrou Natural Form,219,stat_points,1,,22.5%,,,2,32,0,0,0,32
Furfrou Natural Form,219,stat_points,2,,8.4%,,,1,32,1,0,0,32
Furfrou Natural Form,219,stat_points,3,,6.1%,,,0,32,0,0,0,32
Furfrou Natural Form,219,stat_points,4,,6.1%,,,2,0,32,0,32,0
Furfrou Natural Form,219,stat_points,5,,5.8%,,,32,0,32,0,2,0
Furfrou Natural Form,219,stat_points,6,,3.7%,,,32,0,20,0,14,0
Furfrou Natural Form,219,stat_points,7,,3.6%,,,32,0,2,0,0,32
Furfrou Natural Form,219,stat_points,8,,3.4%,,,32,0,4,0,30,0
Furfrou Natural Form,219,stat_points,9,,2.5%,,,32,0,2,0,32,0
Furfrou Natural Form,219,stat_points,10,,2.1%,,,32,2,0,0,32,0
Furfrou Natural Form,219,stat_points,11,,1.8%,,,32,11,23,0,0,0
Furfrou Natural Form,219,stat_points,12,,1.5%,,,0,32,0,0,2,32
Furfrou Natural Form,219,ability,1,Fur Coat,100.0%,,,,,,,,
