pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Galarian Slowbro,142,move,1,Shell Side Arm,81.1%,,,,,,,,
Galarian Slowbro,142,move,2,Psychic,62.3%,,,,,,,,
Galarian Slowbro,142,move,3,Trick Room,47.8%,,,,,,,,
Galarian Slowbro,142,move,4,Ice Beam,33.2%,,,,,,,,
Galarian Slowbro,142,move,5,Protect,30.2%,,,,,,,,
Galarian Slowbro,142,move,6,Flamethrower,14.8%,,,,,,,,
Galarian Slowbro,142,move,7,Heal Pulse,9.0%,,,,,,,,
Galarian Slowbro,142,move,8,Toxic,7.2%,,,,,,,,
Galarian Slowbro,142,move,9,Sludge Bomb,6.8%,,,,,,,,
Galarian Slowbro,142,move,10,Power Gem,6.1%,,,,,,,,
Galarian Slowbro,142,held_item,1,Quick Claw,46.7%,,,,,,,,
Galarian Slowbro,142,held_item,2,Sitrus Berry,12.7%,,,,,,,,
Galarian Slowbro,142,held_item,3,Leftovers,12.4%,,,,,,,,
Galarian Slowbro,142,held_item,4,Life Orb,5.8%,,,,,,,,
Galarian Slowbro,142,held_item,5,Focus Sash,3.6%,,,,,,,,
Galarian Slowbro,142,held_item,6,Shuca Berry,2.9%,,,,,,,,
Galarian Slowbro,142,held_item,7,Colbur Berry,2.8%,,,,,,,,
Galarian Slowbro,142,held_item,8,Expert Belt,2.5%,,,,,,,,
Galarian Slowbro,142,held_item,9,Mental Herb,1.8%,,,,,,,,
Galarian Slowbro,142,held_item,10,Bright Powder,1.7%,,,,,,,,
Galarian Slowbro,142,teammate,1,Farigiraf,,,,,,,,,
Galarian Slowbro,142,teammate,2,Torkoal,,,,,,,,,
Galarian Slowbro,142,teammate,3,Sinistcha,,,,,,,,,
Galarian Slowbro,142,teammate,4,Kingambit,,,,,,,,,
Galarian Slowbro,142,teammate,5,Sylveon,,,,,,,,,
Galarian Slowbro,142,teammate,6,Whimsicott,,,,,,,,,
Galarian Slowbro,142,teammate,7,Incineroar,,,,,,,,,
Galarian Slowbro,142,teammate,8,Garchomp,,,,,,,,,
Galarian Slowbro,142,teammate,9,Raichu,,,,,,,,,
Galarian Slowbro,142,teammate,10,Mawile,,,,,,,,,
Galarian Slowbro,142,stat_alignment,1,Quiet,41.8%,Sp. Atk,Speed,,,,,,
Galarian Slowbro,142,stat_alignment,2,Modest,21.2%,Sp. Atk,Attack,,,,,,
Galarian Slowbro,142,stat_alignment,3,Relaxed,9.8%,Defense,Speed,,,,,,
Galarian Slowbro,142,stat_alignment,4,Sassy,8.2%,Sp. Def,Speed,,,,,,
Galarian Slowbro,142,stat_alignment,5,Bold,6.5%,Defense,Attack,,,,,,
Galarian Slowbro,142,stat_alignment,6,Brave,5.3%,Attack,Speed,,,,,,
Galarian Slowbro,142,stat_alignment,7,Calm,3.2%,Sp. Def,Attack,,,,,,
Galarian Slowbro,142,stat_alignment,8,Adamant,1.7%,Attack,Sp. Atk,,,,,,
Galarian Slowbro,142,stat_alignment,9,Mild,0.7%,Sp. Atk,Defense,,,,,,
Galarian Slowbro,142,stat_alignment,10,Impish,0.7%,Defense,Sp. Atk,,,,,,
Galarian Slowbro,142,stat_points,1,,18.7%,,,32,0,0,32,2,0
Galarian Slowbro,142,stat_points,2,,11.9%,,,32,0,2,32,0,0
Galarian Slowbro,142,stat_points,3,,5.7%,,,2,0,32,32,0,0
Galarian Slowbro,142,stat_points,4,,4.5%,,,0,0,2,32,32,0
Galarian Slowbro,142,stat_points,5,,3.0%,,,2,0,0,32,32,0
Galarian Slowbro,142,stat_points,6,,2.3%,,,0,0,32,32,2,0
Galarian Slowbro,142,stat_points,7,,2.2%,,,32,0,2,0,32,0
Galarian Slowbro,142,stat_points,8,,1.4%,,,24,0,0,32,10,0
Galarian Slowbro,142,stat_points,9,,1.3%,,,32,0,32,0,2,0
Galarian Slowbro,142,stat_points,10,,1.1%,,,22,0,0,32,12,0
Galarian Slowbro,142,ability,1,Quick Draw,71.2%,,,,,,,,
Galarian Slowbro,142,ability,2,Regenerator,24.7%,,,,,,,,
Galarian Slowbro,142,ability,3,Own Tempo,4.2%,,,,,,,,
