pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Galarian Stunfisk,229,move,1,Snap Trap,82.8%,,,,,,,,
Galarian Stunfisk,229,move,2,Protect,53.0%,,,,,,,,
Galarian Stunfisk,229,move,3,Yawn,37.2%,,,,,,,,
Galarian Stunfisk,229,move,4,Earth Power,23.2%,,,,,,,,
Galarian Stunfisk,229,move,5,Earthquake,21.3%,,,,,,,,
Galarian Stunfisk,229,move,6,Fissure,18.5%,,,,,,,,
Galarian Stunfisk,229,move,7,Foul Play,17.0%,,,,,,,,
Galarian Stunfisk,229,move,8,Terrain Pulse,16.0%,,,,,,,,
Galarian Stunfisk,229,move,9,Flash Cannon,13.4%,,,,,,,,
Galarian Stunfisk,229,move,10,Stomping Tantrum,13.4%,,,,,,,,
Galarian Stunfisk,229,held_item,1,Leftovers,45.1%,,,,,,,,
Galarian Stunfisk,229,held_item,2,Sitrus Berry,14.0%,,,,,,,,
Galarian Stunfisk,229,held_item,3,Quick Claw,9.4%,,,,,,,,
Galarian Stunfisk,229,held_item,4,Passho Berry,6.8%,,,,,,,,
Galarian Stunfisk,229,held_item,5,Muscle Band,4.0%,,,,,,,,
Galarian Stunfisk,229,held_item,6,Shuca Berry,3.4%,,,,,,,,
Galarian Stunfisk,229,held_item,7,Focus Band,2.1%,,,,,,,,
Galarian Stunfisk,229,held_item,8,Shell Bell,2.1%,,,,,,,,
Galarian Stunfisk,229,held_item,9,Soft Sand,1.9%,,,,,,,,
Galarian Stunfisk,229,held_item,10,Bright Powder,1.5%,,,,,,,,
Galarian Stunfisk,229,teammate,1,Incineroar,,,,,,,,,
Galarian Stunfisk,229,teammate,2,Raichu,,,,,,,,,
Galarian Stunfisk,229,teammate,3,Sinistcha,,,,,,,,,
Galarian Stunfisk,229,teammate,4,Oranguru,,,,,,,,,
Galarian Stunfisk,229,teammate,5,Torkoal,,,,,,,,,
Galarian Stunfisk,229,teammate,6,Drampa,,,,,,,,,
Galarian Stunfisk,229,teammate,7,Farigiraf,,,,,,,,,
Galarian Stunfisk,229,teammate,8,Dragonite,,,,,,,,,
Galarian Stunfisk,229,teammate,9,Tyranitar,,,,,,,,,
Galarian Stunfisk,229,teammate,10,Sneasler,,,,,,,,,
Galarian Stunfisk,229,stat_alignment,1,Impish,25.3%,Defense,Sp. Atk,,,,,,
Galarian Stunfisk,229,stat_alignment,2,Careful,16.2%,Sp. Def,Sp. Atk,,,,,,
Galarian Stunfisk,229,stat_alignment,3,Quiet,13.0%,Sp. Atk,Speed,,,,,,
Galarian Stunfisk,229,stat_alignment,4,Adamant,12.6%,Attack,Sp. Atk,,,,,,
Galarian Stunfisk,229,stat_alignment,5,Brave,9.6%,Attack,Speed,,,,,,
Galarian Stunfisk,229,stat_alignment,6,Relaxed,5.9%,Defense,Speed,,,,,,
Galarian Stunfisk,229,stat_alignment,7,Modest,5.1%,Sp. Atk,Attack,,,,,,
Galarian Stunfisk,229,stat_alignment,8,Sassy,4.3%,Sp. Def,Speed,,,,,,
Galarian Stunfisk,229,stat_alignment,9,Jolly,3.2%,Speed,Sp. Atk,,,,,,
Galarian Stunfisk,229,stat_alignment,10,Bold,2.3%,Defense,Attack,,,,,,
Galarian Stunfisk,229,stat_points,1,,9.2%,,,16,0,24,0,26,0
Galarian Stunfisk,229,stat_points,2,,9.1%,,,32,0,32,0,0,0
Galarian Stunfisk,229,stat_points,3,,8.9%,,,32,0,0,32,2,0
Galarian Stunfisk,229,stat_points,4,,7.9%,,,0,0,32,0,32,0
Galarian Stunfisk,229,stat_points,5,,6.0%,,,32,0,2,0,32,0
Galarian Stunfisk,229,stat_points,6,,5.3%,,,2,32,0,0,32,0
Galarian Stunfisk,229,stat_points,7,,5.1%,,,32,32,2,0,0,0
Galarian Stunfisk,229,stat_points,8,,4.7%,,,0,32,32,0,2,0
Galarian Stunfisk,229,stat_points,9,,4.7%,,,24,0,0,32,10,0
Galarian Stunfisk,229,stat_points,10,,3.0%,,,32,32,0,0,2,0
Galarian Stunfisk,229,stat_points,11,,2.8%,,,32,0,20,0,14,0
Galarian Stunfisk,229,ability,1,Mimicry,100.0%,,,,,,,,
