pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gallade,55,move,1,Sacred Sword,94.9%,,,,,,,,
Gallade,55,move,2,Psycho Cut,70.5%,,,,,,,,
Gallade,55,move,3,Leaf Blade,55.0%,,,,,,,,
Gallade,55,move,4,Protect,52.9%,,,,,,,,
Gallade,55,move,5,Trick Room,38.2%,,,,,,,,
Gallade,55,move,6,Night Slash,27.4%,,,,,,,,
Gallade,55,move,7,Wide Guard,18.2%,,,,,,,,
Gallade,55,move,8,Triple Axel,4.2%,,,,,,,,
Gallade,55,move,9,Rock Slide,3.7%,,,,,,,,
Gallade,55,move,10,Shadow Sneak,3.5%,,,,,,,,
Gallade,55,held_item,1,Focus Sash,45.5%,,,,,,,,
Gallade,55,held_item,2,Life Orb,11.0%,,,,,,,,
Gallade,55,held_item,3,Galladite,9.5%,,,,,,,,
Gallade,55,held_item,4,Choice Scarf,8.9%,,,,,,,,
Gallade,55,held_item,5,Scope Lens,3.8%,,,,,,,,
Gallade,55,held_item,6,White Herb,3.8%,,,,,,,,
Gallade,55,held_item,7,Expert Belt,3.5%,,,,,,,,
Gallade,55,held_item,8,Iron Ball,2.4%,,,,,,,,
Gallade,55,held_item,9,Sitrus Berry,2.2%,,,,,,,,
Gallade,55,held_item,10,Black Belt,1.7%,,,,,,,,
Gallade,55,teammate,1,Farigiraf,,,,,,,,,
Gallade,55,teammate,2,Mawile,,,,,,,,,
Gallade,55,teammate,3,Torkoal,,,,,,,,,
Gallade,55,teammate,4,Staraptor,,,,,,,,,
Gallade,55,teammate,5,Maushold Family of Four,,,,,,,,,
Gallade,55,teammate,6,Kingambit,,,,,,,,,
Gallade,55,teammate,7,Whimsicott,,,,,,,,,
Gallade,55,teammate,8,Incineroar,,,,,,,,,
Gallade,55,teammate,9,Kangaskhan,,,,,,,,,
Gallade,55,teammate,10,Sinistcha,,,,,,,,,
Gallade,55,stat_alignment,1,Adamant,58.0%,Attack,Sp. Atk,,,,,,
Gallade,55,stat_alignment,2,Jolly,19.5%,Speed,Sp. Atk,,,,,,
Gallade,55,stat_alignment,3,Brave,18.4%,Attack,Speed,,,,,,
Gallade,55,stat_alignment,4,Impish,1.8%,Defense,Sp. Atk,,,,,,
Gallade,55,stat_alignment,5,Relaxed,0.6%,Defense,Speed,,,,,,
Gallade,55,stat_alignment,6,Careful,0.4%,Sp. Def,Sp. Atk,,,,,,
Gallade,55,stat_alignment,7,Lonely,0.3%,Attack,Defense,,,,,,
Gallade,55,stat_alignment,8,Naughty,0.2%,Attack,Sp. Def,,,,,,
Gallade,55,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Gallade,55,stat_alignment,10,Sassy,0.2%,Sp. Def,Speed,,,,,,
Gallade,55,stat_points,1,,40.8%,,,2,32,0,0,0,32
Gallade,55,stat_points,2,,14.4%,,,32,32,2,0,0,0
Gallade,55,stat_points,3,,7.7%,,,0,32,2,0,0,32
Gallade,55,stat_points,4,,4.0%,,,32,32,0,0,2,0
Gallade,55,stat_points,5,,3.3%,,,0,32,0,0,2,32
Gallade,55,stat_points,6,,1.5%,,,2,32,32,0,0,0
Gallade,55,stat_points,7,,1.3%,,,0,32,0,0,0,32
Gallade,55,stat_points,8,,1.0%,,,32,32,0,0,0,2
Gallade,55,stat_points,9,,0.8%,,,0,32,32,0,2,0
Gallade,55,stat_points,10,,0.7%,,,3,32,0,0,0,31
Gallade,55,stat_points,11,,0.6%,,,2,32,0,0,32,0
Gallade,55,ability,1,Sharpness,94.8%,,,,,,,,
Gallade,55,ability,2,Justified,3.7%,,,,,,,,
Gallade,55,ability,3,Steadfast,1.5%,,,,,,,,
