pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Garbodor,225,move,1,Gunk Shot,,,,,,,,,
Garbodor,225,move,2,Explosion,56.8%,,,,,,,,
Garbodor,225,move,3,Haze,45.9%,,,,,,,,
Garbodor,225,move,4,Protect,42.7%,,,,,,,,
Garbodor,225,move,5,Spikes,30.6%,,,,,,,,
Garbodor,225,move,6,Drain Punch,24.9%,,,,,,,,
Garbodor,225,move,7,Stomping Tantrum,24.3%,,,,,,,,
Garbodor,225,move,8,Toxic Spikes,14.3%,,,,,,,,
Garbodor,225,move,9,Poison Jab,13.7%,,,,,,,,
Garbodor,225,move,10,Toxic,10.8%,,,,,,,,
Garbodor,225,held_item,1,Quick Claw,34.8%,,,,,,,,
Garbodor,225,held_item,2,Leftovers,20.6%,,,,,,,,
Garbodor,225,held_item,3,Silk Scarf,9.6%,,,,,,,,
Garbodor,225,held_item,4,Focus Sash,8.6%,,,,,,,,
Garbodor,225,held_item,5,Life Orb,6.9%,,,,,,,,
Garbodor,225,held_item,6,Sitrus Berry,5.6%,,,,,,,,
Garbodor,225,held_item,7,King's Rock,3.9%,,,,,,,,
Garbodor,225,held_item,8,Wide Lens,1.7%,,,,,,,,
Garbodor,225,held_item,9,Scope Lens,1.5%,,,,,,,,
Garbodor,225,held_item,10,Poison Barb,1.5%,,,,,,,,
Garbodor,225,teammate,1,Charizard,,,,,,,,,
Garbodor,225,teammate,2,Floette,,,,,,,,,
Garbodor,225,teammate,3,Basculegion Female,,,,,,,,,
Garbodor,225,teammate,4,Politoed,,,,,,,,,
Garbodor,225,teammate,5,Orthworm,,,,,,,,,
Garbodor,225,teammate,6,Grimmsnarl,,,,,,,,,
Garbodor,225,teammate,7,Sableye,,,,,,,,,
Garbodor,225,teammate,8,Scrafty,,,,,,,,,
Garbodor,225,teammate,9,Farigiraf,,,,,,,,,
Garbodor,225,teammate,10,Staraptor,,,,,,,,,
Garbodor,225,stat_alignment,1,Adamant,51.9%,Attack,Sp. Atk,,,,,,
Garbodor,225,stat_alignment,2,Impish,9.7%,Defense,Sp. Atk,,,,,,
Garbodor,225,stat_alignment,3,Brave,9.2%,Attack,Speed,,,,,,
Garbodor,225,stat_alignment,4,Lonely,9.1%,Attack,Defense,,,,,,
Garbodor,225,stat_alignment,5,Relaxed,7.2%,Defense,Speed,,,,,,
Garbodor,225,stat_alignment,6,Jolly,4.5%,Speed,Sp. Atk,,,,,,
Garbodor,225,stat_alignment,7,Careful,3.1%,Sp. Def,Sp. Atk,,,,,,
Garbodor,225,stat_alignment,8,Sassy,1.5%,Sp. Def,Speed,,,,,,
Garbodor,225,stat_alignment,9,Timid,0.8%,Speed,Attack,,,,,,
Garbodor,225,stat_alignment,10,Serious,0.8%,,,,,,,,
Garbodor,225,stat_points,1,,31.5%,,,2,32,0,0,32,0
Garbodor,225,stat_points,2,,10.2%,,,2,32,0,0,0,32
Garbodor,225,stat_points,3,,9.2%,,,32,32,0,0,0,2
Garbodor,225,stat_points,4,,6.3%,,,32,32,2,0,0,0
Garbodor,225,stat_points,5,,4.6%,,,32,2,32,0,0,0
Garbodor,225,stat_points,6,,3.0%,,,32,0,32,0,2,0
Garbodor,225,stat_points,7,,2.8%,,,19,15,32,0,0,0
Garbodor,225,stat_points,8,,2.1%,,,32,32,0,0,0,0
Garbodor,225,stat_points,9,,2.0%,,,0,32,2,0,32,0
Garbodor,225,stat_points,10,,2.0%,,,32,2,0,0,32,0
Garbodor,225,stat_points,11,,1.9%,,,32,32,0,0,2,0
Garbodor,225,stat_points,12,,1.8%,,,0,18,32,0,16,0
Garbodor,225,ability,1,Aftermath,55.5%,,,,,,,,
Garbodor,225,ability,2,Stench,28.0%,,,,,,,,
Garbodor,225,ability,3,Weak Armor,16.6%,,,,,,,,
