pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Garchomp,1,move,1,Dragon Claw,89.1%,,,,,,,,
Garchomp,1,move,2,Rock Slide,84.3%,,,,,,,,
Garchomp,1,move,3,Earthquake,78.8%,,,,,,,,
Garchomp,1,move,4,Protect,73.0%,,,,,,,,
Garchomp,1,move,5,Stomping Tantrum,32.1%,,,,,,,,
Garchomp,1,move,6,Poison Jab,16.2%,,,,,,,,
Garchomp,1,move,7,Rock Tomb,8.6%,,,,,,,,
Garchomp,1,move,8,Scale Shot,2.8%,,,,,,,,
Garchomp,1,move,9,Iron Head,2.5%,,,,,,,,
Garchomp,1,move,10,Swords Dance,2.3%,,,,,,,,
Garchomp,1,held_item,1,Life Orb,57.4%,,,,,,,,
Garchomp,1,held_item,2,Sitrus Berry,10.5%,,,,,,,,
Garchomp,1,held_item,3,Choice Scarf,10.4%,,,,,,,,
Garchomp,1,held_item,4,Roseli Berry,8.4%,,,,,,,,
Garchomp,1,held_item,5,Soft Sand,2.2%,,,,,,,,
Garchomp,1,held_item,6,Focus Sash,1.5%,,,,,,,,
Garchomp,1,held_item,7,White Herb,1.2%,,,,,,,,
Garchomp,1,held_item,8,Garchompite,1.1%,,,,,,,,
Garchomp,1,held_item,9,Yache Berry,1.0%,,,,,,,,
Garchomp,1,held_item,10,Haban Berry,1.0%,,,,,,,,
Garchomp,1,teammate,1,Whimsicott,,,,,,,,,
Garchomp,1,teammate,2,Charizard,,,,,,,,,
Garchomp,1,teammate,3,Basculegion Male,,,,,,,,,
Garchomp,1,teammate,4,Kingambit,,,,,,,,,
Garchomp,1,teammate,5,Staraptor,,,,,,,,,
Garchomp,1,teammate,6,Sylveon,,,,,,,,,
Garchomp,1,teammate,7,Incineroar,,,,,,,,,
Garchomp,1,teammate,8,Sinistcha,,,,,,,,,
Garchomp,1,teammate,9,Sneasler,,,,,,,,,
Garchomp,1,teammate,10,Gholdengo,,,,,,,,,
Garchomp,1,stat_alignment,1,Jolly,66.2%,Speed,Sp. Atk,,,,,,
Garchomp,1,stat_alignment,2,Adamant,31.3%,Attack,Sp. Atk,,,,,,
Garchomp,1,stat_alignment,3,Brave,0.6%,Attack,Speed,,,,,,
Garchomp,1,stat_alignment,4,Naughty,0.3%,Attack,Sp. Def,,,,,,
Garchomp,1,stat_alignment,5,Impish,0.3%,Defense,Sp. Atk,,,,,,
Garchomp,1,stat_alignment,6,Lonely,0.2%,Attack,Defense,,,,,,
Garchomp,1,stat_alignment,7,Naive,0.2%,Speed,Sp. Def,,,,,,
Garchomp,1,stat_alignment,8,Careful,0.2%,Sp. Def,Sp. Atk,,,,,,
Garchomp,1,stat_alignment,9,Hasty,0.2%,Speed,Defense,,,,,,
Garchomp,1,stat_alignment,10,Timid,0.1%,Speed,Attack,,,,,,
Garchomp,1,stat_points,1,,47.3%,,,2,32,0,0,0,32
Garchomp,1,stat_points,2,,5.9%,,,0,30,4,0,0,32
Garchomp,1,stat_points,3,,4.8%,,,0,32,2,0,0,32
Garchomp,1,stat_points,4,,4.5%,,,0,32,0,0,2,32
Garchomp,1,stat_points,5,,1.6%,,,22,10,0,0,2,32
Garchomp,1,stat_points,6,,1.5%,,,14,20,0,0,0,32
Garchomp,1,stat_points,7,,1.5%,,,0,32,0,0,0,32
Garchomp,1,stat_points,8,,1.3%,,,6,25,3,0,0,32
Garchomp,1,stat_points,9,,1.3%,,,6,28,0,0,0,32
Garchomp,1,stat_points,10,,1.2%,,,4,30,0,0,0,32
Garchomp,1,stat_points,11,,1.0%,,,10,30,4,0,0,22
Garchomp,1,stat_points,12,,1.0%,,,0,32,1,0,1,32
Garchomp,1,ability,1,Rough Skin,97.6%,,,,,,,,
Garchomp,1,ability,2,Sand Veil,2.4%,,,,,,,,
