pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gardevoir,45,move,1,Protect,83.5%,,,,,,,,
Gardevoir,45,move,2,Hyper Voice,80.3%,,,,,,,,
Gardevoir,45,move,3,Psychic,53.3%,,,,,,,,
Gardevoir,45,move,4,Trick Room,34.3%,,,,,,,,
Gardevoir,45,move,5,Psyshock,22.4%,,,,,,,,
Gardevoir,45,move,6,Moonblast,21.9%,,,,,,,,
Gardevoir,45,move,7,Calm Mind,12.2%,,,,,,,,
Gardevoir,45,move,8,Dazzling Gleam,11.5%,,,,,,,,
Gardevoir,45,move,9,Vacuum Wave,11.2%,,,,,,,,
Gardevoir,45,move,10,Mystical Fire,9.5%,,,,,,,,
Gardevoir,45,held_item,1,Gardevoirite,82.7%,,,,,,,,
Gardevoir,45,held_item,2,Focus Sash,5.9%,,,,,,,,
Gardevoir,45,held_item,3,Choice Scarf,4.9%,,,,,,,,
Gardevoir,45,held_item,4,Fairy Feather,1.2%,,,,,,,,
Gardevoir,45,held_item,5,Life Orb,1.0%,,,,,,,,
Gardevoir,45,held_item,6,Sitrus Berry,0.9%,,,,,,,,
Gardevoir,45,held_item,7,Wise Glasses,0.6%,,,,,,,,
Gardevoir,45,held_item,8,Leftovers,0.5%,,,,,,,,
Gardevoir,45,held_item,9,Quick Claw,0.4%,,,,,,,,
Gardevoir,45,held_item,10,Mental Herb,0.3%,,,,,,,,
Gardevoir,45,teammate,1,Garchomp,,,,,,,,,
Gardevoir,45,teammate,2,Incineroar,,,,,,,,,
Gardevoir,45,teammate,3,Basculegion Male,,,,,,,,,
Gardevoir,45,teammate,4,Whimsicott,,,,,,,,,
Gardevoir,45,teammate,5,Kingambit,,,,,,,,,
Gardevoir,45,teammate,6,Sinistcha,,,,,,,,,
Gardevoir,45,teammate,7,Maushold Family of Four,,,,,,,,,
Gardevoir,45,teammate,8,Sneasler,,,,,,,,,
Gardevoir,45,teammate,9,Charizard,,,,,,,,,
Gardevoir,45,teammate,10,Talonflame,,,,,,,,,
Gardevoir,45,stat_alignment,1,Modest,69.8%,Sp. Atk,Attack,,,,,,
Gardevoir,45,stat_alignment,2,Timid,18.2%,Speed,Attack,,,,,,
Gardevoir,45,stat_alignment,3,Quiet,7.9%,Sp. Atk,Speed,,,,,,
Gardevoir,45,stat_alignment,4,Bold,1.9%,Defense,Attack,,,,,,
Gardevoir,45,stat_alignment,5,Calm,0.8%,Sp. Def,Attack,,,,,,
Gardevoir,45,stat_alignment,6,Relaxed,0.6%,Defense,Speed,,,,,,
Gardevoir,45,stat_alignment,7,Mild,0.3%,Sp. Atk,Defense,,,,,,
Gardevoir,45,stat_alignment,8,Sassy,0.2%,Sp. Def,Speed,,,,,,
Gardevoir,45,stat_alignment,9,Hasty,0.1%,Speed,Defense,,,,,,
Gardevoir,45,stat_alignment,10,Gentle,0.1%,Sp. Def,Defense,,,,,,
Gardevoir,45,stat_points,1,,25.3%,,,2,0,0,32,0,32
Gardevoir,45,stat_points,2,,8.2%,,,32,0,2,32,0,0
Gardevoir,45,stat_points,3,,3.4%,,,0,0,2,32,0,32
Gardevoir,45,stat_points,4,,3.1%,,,32,0,0,32,0,2
Gardevoir,45,stat_points,5,,2.6%,,,0,0,0,32,2,32
Gardevoir,45,stat_points,6,,2.5%,,,30,0,16,10,1,9
Gardevoir,45,stat_points,7,,2.5%,,,32,0,0,32,2,0
Gardevoir,45,stat_points,8,,2.0%,,,2,0,6,25,1,32
Gardevoir,45,stat_points,9,,1.9%,,,16,0,2,32,0,16
Gardevoir,45,stat_points,10,,1.7%,,,32,0,7,25,2,0
Gardevoir,45,stat_points,11,,1.4%,,,0,0,0,32,0,32
Gardevoir,45,stat_points,12,,1.3%,,,32,0,9,25,0,0
Gardevoir,45,ability,1,Trace,68.3%,,,,,,,,
Gardevoir,45,ability,2,Telepathy,26.5%,,,,,,,,
Gardevoir,45,ability,3,Synchronize,5.1%,,,,,,,,
