pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gengar,37,move,1,Shadow Ball,92.7%,,,,,,,,
Gengar,37,move,2,Protect,81.0%,,,,,,,,
Gengar,37,move,3,Perish Song,52.7%,,,,,,,,
Gengar,37,move,4,Sludge Bomb,50.0%,,,,,,,,
Gengar,37,move,5,Disable,34.0%,,,,,,,,
Gengar,37,move,6,Icy Wind,14.8%,,,,,,,,
Gengar,37,move,7,Sludge Wave,12.7%,,,,,,,,
Gengar,37,move,8,Destiny Bond,9.9%,,,,,,,,
Gengar,37,move,9,Psychic,4.8%,,,,,,,,
Gengar,37,move,10,Trick Room,4.6%,,,,,,,,
Gengar,37,held_item,1,Gengarite,74.3%,,,,,,,,
Gengar,37,held_item,2,Focus Sash,16.2%,,,,,,,,
Gengar,37,held_item,3,Life Orb,2.5%,,,,,,,,
Gengar,37,held_item,4,Choice Scarf,2.4%,,,,,,,,
Gengar,37,held_item,5,Wise Glasses,0.5%,,,,,,,,
Gengar,37,held_item,6,Quick Claw,0.5%,,,,,,,,
Gengar,37,held_item,7,Sitrus Berry,0.4%,,,,,,,,
Gengar,37,held_item,8,Spell Tag,0.4%,,,,,,,,
Gengar,37,held_item,9,Expert Belt,0.4%,,,,,,,,
Gengar,37,held_item,10,Poison Barb,0.3%,,,,,,,,
Gengar,37,teammate,1,Incineroar,,,,,,,,,
Gengar,37,teammate,2,Sinistcha,,,,,,,,,
Gengar,37,teammate,3,Politoed,,,,,,,,,
Gengar,37,teammate,4,Garchomp,,,,,,,,,
Gengar,37,teammate,5,Archaludon,,,,,,,,,
Gengar,37,teammate,6,Whimsicott,,,,,,,,,
Gengar,37,teammate,7,Kingambit,,,,,,,,,
Gengar,37,teammate,8,Sneasler,,,,,,,,,
Gengar,37,teammate,9,Sableye,,,,,,,,,
Gengar,37,teammate,10,Grimmsnarl,,,,,,,,,
Gengar,37,stat_alignment,1,Timid,72.2%,Speed,Attack,,,,,,
Gengar,37,stat_alignment,2,Modest,20.6%,Sp. Atk,Attack,,,,,,
Gengar,37,stat_alignment,3,Bold,2.5%,Defense,Attack,,,,,,
Gengar,37,stat_alignment,4,Calm,1.8%,Sp. Def,Attack,,,,,,
Gengar,37,stat_alignment,5,Quiet,1.6%,Sp. Atk,Speed,,,,,,
Gengar,37,stat_alignment,6,Hasty,0.3%,Speed,Defense,,,,,,
Gengar,37,stat_alignment,7,Mild,0.2%,Sp. Atk,Defense,,,,,,
Gengar,37,stat_alignment,8,Jolly,0.2%,Speed,Sp. Atk,,,,,,
Gengar,37,stat_alignment,9,Relaxed,0.1%,Defense,Speed,,,,,,
Gengar,37,stat_alignment,10,Sassy,0.1%,Sp. Def,Speed,,,,,,
Gengar,37,stat_points,1,,36.8%,,,2,0,0,32,0,32
Gengar,37,stat_points,2,,8.0%,,,32,0,9,1,1,23
Gengar,37,stat_points,3,,4.6%,,,30,0,1,1,28,6
Gengar,37,stat_points,4,,4.1%,,,32,0,2,0,0,32
Gengar,37,stat_points,5,,2.4%,,,0,0,0,32,2,32
Gengar,37,stat_points,6,,2.2%,,,0,0,2,32,0,32
Gengar,37,stat_points,7,,2.1%,,,32,0,0,2,0,32
Gengar,37,stat_points,8,,1.7%,,,30,0,12,0,0,24
Gengar,37,stat_points,9,,1.3%,,,30,0,0,9,13,14
Gengar,37,stat_points,10,,1.1%,,,0,0,0,32,0,32
Gengar,37,ability,1,Cursed Body,100.0%,,,,,,,,
