pokemon,column_position,category,rank,name,percentage,stat_up,stat_down,hp_points,attack_points,defense_points,sp_atk_points,sp_def_points,speed_points
Gholdengo,19,move,1,Make It Rain,98.6%,,,,,,,,
Gholdengo,19,move,2,Shadow Ball,98.0%,,,,,,,,
Gholdengo,19,move,3,Protect,79.1%,,,,,,,,
Gholdengo,19,move,4,Nasty Plot,55.1%,,,,,,,,
Gholdengo,19,move,5,Power Gem,30.6%,,,,,,,,
Gholdengo,19,move,6,Thunderbolt,11.4%,,,,,,,,
Gholdengo,19,move,7,Trick,8.9%,,,,,,,,
Gholdengo,19,move,8,Dazzling Gleam,5.1%,,,,,,,,
Gholdengo,19,move,9,Flash Cannon,2.5%,,,,,,,,
Gholdengo,19,move,10,Focus Blast,1.9%,,,,,,,,
Gholdengo,19,held_item,1,Life Orb,55.1%,,,,,,,,
Gholdengo,19,held_item,2,Choice Scarf,15.4%,,,,,,,,
Gholdengo,19,held_item,3,White Herb,7.3%,,,,,,,,
Gholdengo,19,held_item,4,Metal Coat,6.4%,,,,,,,,
Gholdengo,19,held_item,5,Leftovers,5.0%,,,,,,,,
Gholdengo,19,held_item,6,Focus Sash,3.2%,,,,,,,,
Gholdengo,19,held_item,7,Sitrus Berry,2.5%,,,,,,,,
Gholdengo,19,held_item,8,Wise Glasses,1.1%,,,,,,,,
Gholdengo,19,held_item,9,Colbur Berry,0.8%,,,,,,,,
Gholdengo,19,held_item,10,Kasib Berry,0.6%,,,,,,,,
Gholdengo,19,teammate,1,Garchomp,,,,,,,,,
Gholdengo,19,teammate,2,Whimsicott,,,,,,,,,
Gholdengo,19,teammate,3,Staraptor,,,,,,,,,
Gholdengo,19,teammate,4,Basculegion Male,,,,,,,,,
Gholdengo,19,teammate,5,Sinistcha,,,,,,,,,
Gholdengo,19,teammate,6,Incineroar,,,,,,,,,
Gholdengo,19,teammate,7,Raichu,,,,,,,,,
Gholdengo,19,teammate,8,Grimmsnarl,,,,,,,,,
Gholdengo,19,teammate,9,Sylveon,,,,,,,,,
Gholdengo,19,teammate,10,Charizard,,,,,,,,,
Gholdengo,19,stat_alignment,1,Modest,68.3%,Sp. Atk,Attack,,,,,,
Gholdengo,19,stat_alignment,2,Timid,27.7%,Speed,Attack,,,,,,
Gholdengo,19,stat_alignment,3,Quiet,1.5%,Sp. Atk,Speed,,,,,,
Gholdengo,19,stat_alignment,4,Bold,0.7%,Defense,Attack,,,,,,
Gholdengo,19,stat_alignment,5,Calm,0.6%,Sp. Def,Attack,,,,,,
Gholdengo,19,stat_alignment,6,Mild,0.6%,Sp. Atk,Defense,,,,,,
Gholdengo,19,stat_alignment,7,Hasty,0.1%,Speed,Defense,,,,,,
Gholdengo,19,stat_alignment,8,Jolly,0.1%,Speed,Sp. Atk,,,,,,
Gholdengo,19,stat_alignment,9,Sassy,0.1%,Sp. Def,Speed,,,,,,
Gholdengo,19,stat_alignment,10,Relaxed,0.1%,Defense,Speed,,,,,,
Gholdengo,19,stat_points,1,,36.9%,,,2,0,0,32,0,32
Gholdengo,19,stat_points,2,,6.5%,,,32,0,2,10,3,19
Gholdengo,19,stat_points,3,,4.0%,,,0,0,0,32,2,32
Gholdengo,19,stat_points,4,,3.7%,,,3,0,2,29,0,32
Gholdengo,19,stat_points,5,,3.5%,,,3,0,0,31,0,32
Gholdengo,19,stat_points,6,,3.2%,,,0,0,2,32,0,32
Gholdengo,19,stat_points,7,,2.2%,,,32,0,0,32,2,0
Gholdengo,19,stat_points,8,,2.1%,,,32,0,0,32,0,2
Gholdengo,19,stat_points,9,,1.6%,,,32,0,2,32,0,0
Gholdengo,19,stat_points,10,,1.4%,,,15,0,0,32,0,19
Gholdengo,19,stat_points,11,,1.1%,,,0,0,0,32,0,32
Gholdengo,19,stat_points,12,,1.0%,,,7,0,0,32,0,27
Gholdengo,19,ability,1,Good as Gold,100.0%,,,,,,,,
